"POINTID","Coarse","Clay","Sand","Silt","geometry"
30483396,20,20,22,57,c(-8.85285355, 52.17776176)
30501876,15,24,37,39,c(-4.65372989, 38.86661824)
30501930,45,16,52,32,c(-4.762089981, 39.34574204)
30502088,30,9,33,58,c(-5.092180733, 40.74501503)
30502308,38,15,62,23,c(-5.586666674, 42.68699556)
30522076,20,6,74,20,c(-5.043203029, 40.6424551)
30541864,38,13,44,43,c(-4.584794438, 38.76699871)
30562072,24,8,70,22,c(-4.988263029, 40.61420465)
30562086,61,17,31,52,c(-5.018170646, 40.73806394)
30562306,39,9,67,24,c(-5.510155436, 42.68051456)
30562338,35,26,28,46,c(-5.585329692, 42.96244472)
30582064,18,7,76,17,c(-4.94807274, 40.54696981)
30582366,32,22,17,61,c(-5.627750307, 43.21274845)
30602044,22,8,72,20,c(-4.882703063, 40.37347829)
30602066,26,6,80,14,c(-4.929135469, 40.56822052)
30602080,21,3,83,14,c(-4.958888204, 40.69210889)
30622070,23,10,68,22,c(-4.914424643, 40.6071682)
30623392,19,21,22,57,c(-8.638990505, 52.17531492)
30623428,17,17,25,59,c(-8.774146006, 52.48649255)
30642062,14,10,66,25,c(-4.874320258, 40.53989958)
30642080,15,5,81,15,c(-4.912433865, 40.69921092)
30662054,21,7,66,27,c(-4.834314461, 40.47260657)
30662072,24,4,74,21,c(-4.872255948, 40.63195018)
30662324,15,17,43,40,c(-5.432267931, 42.85763091)
30662334,30,21,24,55,c(-5.455656916, 42.9457556)
30663392,37,22,27,51,c(-8.582136958, 52.18442839)
30681656,27,16,42,42,c(-4.036018431, 36.93983337)
30682052,12,7,63,30,c(-4.806967944, 40.45841997)
30682344,19,22,20,58,c(-5.455052786, 43.03756359)
30702012,21,8,62,30,c(-4.700741921, 40.10760461)
30702072,26,4,83,14,c(-4.825837184, 40.63901026)
30702324,28,10,73,18,c(-5.384227304, 42.86499599)
30721702,15,42,17,41,c(-4.075566102, 37.35647901)
30722052,26,6,75,20,c(-4.760667308, 40.46544626)
30722062,35,8,65,27,c(-4.781605563, 40.55399677)
30722074,12,16,40,44,c(-4.806837874, 40.66023739)
30742058,19,6,68,25,c(-4.750048572, 40.52208679)
30743386,5,13,49,37,c(-8.44624701, 52.15065268)
30761848,40,13,56,31,c(-4.305359774, 38.66246016)
30762052,17,11,62,28,c(-4.71435772, 40.47245081)
30762060,9,6,61,32,c(-4.731052887, 40.54330154)
30762064,35,8,69,23,c(-4.739419725, 40.57872328)
30763396,16,11,41,48,c(-8.454671493, 52.24170799)
30781660,25,25,25,50,c(-3.933085956, 36.99198842)
30781868,4,54,11,35,c(-4.321466615, 38.84358662)
30782344,18,19,27,54,c(-5.334580157, 43.0559692)
30801700,3,55,15,30,c(-3.983328296, 37.35189823)
30801836,26,20,48,32,c(-4.237221722, 38.56253832)
30801848,16,19,53,29,c(-4.260246551, 38.66922057)
30802052,24,3,88,9,c(-4.668039205, 40.47943362)
30802312,21,10,59,31,c(-5.236417904, 42.77748722)
30822344,19,12,46,42,c(-5.286372508, 43.06329167)
30842072,19,12,65,24,c(-4.663300253, 40.66354885)
30861660,8,52,12,36,c(-3.844920752, 37.00508784)
30862070,12,7,65,28,c(-4.635904601, 40.64931869)
30882072,12,7,71,22,c(-4.616840868, 40.67051078)
30882342,25,25,20,55,c(-5.209411924, 43.05659795)
30882346,22,24,20,56,c(-5.218674169, 43.09186695)
30901656,15,33,14,53,c(-3.793711027, 36.97592018)
30902070,30,26,6,68,c(-4.589453085, 40.65626745)
30902340,36,27,16,57,c(-5.180684253, 43.04259569)
30922076,21,5,81,15,c(-4.57867921, 40.71288361)
30922310,20,9,67,24,c(-5.087840103, 42.78158485)
30922324,14,20,36,43,c(-5.119816183, 42.905099)
30923436,20,10,44,46,c(-8.374209397, 52.62397391)
30941650,33,29,17,54,c(-3.739009004, 36.92887426)
30942046,58,14,48,38,c(-4.493532028, 40.45052728)
30942340,23,26,13,60,c(-5.132472181, 43.04984489)
30961660,23,36,16,49,c(-3.734674468, 37.02134631)
30962066,13,13,41,46,c(-4.511496251, 40.63120884)
30962308,10,11,72,18,c(-5.035286009, 42.77113547)
30981646,43,7,55,38,c(-3.687907414, 36.89964175)
30981722,28,31,21,48,c(-3.823600773, 37.5775195)
30981728,5,36,24,40,c(-3.834475931, 37.63099745)
31001702,20,49,12,39,c(-3.765353799, 37.40247033)
31001840,25,19,49,33,c(-4.019429138, 38.63154519)
31002074,55,21,30,49,c(-4.48153602, 40.70898677)
31002080,51,18,34,48,c(-4.49393606, 40.76214673)
31002282,6,19,49,32,c(-4.928756637, 42.54877982)
31003388,38,3,81,17,c(-8.083540764, 52.22612913)
31003394,17,18,35,47,c(-8.105284765, 52.27812644)
31021708,36,55,6,39,c(-3.753944803, 37.45921923)
31021812,30,25,28,48,c(-3.944341532, 38.38570708)
31022060,11,12,57,31,c(-4.429504473, 40.5883594)
31022078,22,7,80,13,c(-4.466534485, 40.74787074)
31022086,14,10,71,19,c(-4.483074915, 40.81874928)
31042070,19,9,72,19,c(-4.426802545, 40.68041617)
31042080,17,9,67,24,c(-4.447391326, 40.76903032)
31042322,17,17,44,39,c(-4.970920887, 42.90903359)
31042344,26,24,14,62,c(-5.021041952, 43.10315862)
31061644,25,8,67,26,c(-3.596323011, 36.89465341)
31061706,35,37,20,43,c(-3.705984346, 37.44786651)
31062058,26,9,59,32,c(-4.378992903, 40.57748096)
31062076,14,17,39,44,c(-4.415883007, 40.73701777)
31062288,8,18,38,44,c(-4.870373489, 42.61244064)
31081710,7,55,18,28,c(-3.690946727, 37.48677156)
31081714,29,40,27,33,c(-3.698107495, 37.52244145)
31083448,59,4,83,13,c(-8.188542213, 52.76374418)
31102292,10,20,45,35,c(-4.831389547, 42.65486228)
31102296,5,17,52,31,c(-4.840321609, 42.69018755)
31102302,15,19,53,28,c(-4.853746367, 42.74317114)
31102306,26,33,24,43,c(-4.862714027, 42.77849067)
31121740,23,30,36,34,c(-3.700343313, 37.76071795)
31122070,22,13,53,34,c(-4.33381061, 40.69409529)
31122088,28,6,81,13,c(-4.370703755, 40.85363052)
31122298,37,13,51,36,c(-4.82080468, 42.71139398)
31122304,33,21,50,30,c(-4.834219898, 42.76437952)
31123410,14,14,35,52,c(-7.991798711, 52.44334705)
31141652,42,15,48,36,c(-3.522155397, 36.97886558)
31141666,40,14,42,44,c(-3.546621582, 37.10384659)
31141720,29,39,22,39,c(-3.642179272, 37.58562888)
31142296,36,23,47,30,c(-4.792355974, 42.69726878)
31142300,19,18,37,45,c(-4.801275309, 42.73259663)
