"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
45723100,"DE","DED","DED2","DED2F",c(13.57381481, 50.95617484)
45723304,"DE","DE4","DE40","DE405",c(13.72206815, 52.78700375)
45723316,"DE","DE4","DE40","DE405",c(13.73126358, 52.89467718)
45723664,"SE","SE2","SE22","SE224",c(14.02430985, 56.01672618)
45723772,"SE","SE2","SE21","SE212",c(14.12695483, 56.9856427)
45723844,"SE","SE2","SE21","SE211",c(14.19891872, 57.63164496)
45724000,"SE","SE1","SE12","SE124",c(14.36549426, 59.03157224)
45724432,"SE","SE3","SE32","SE322",c(14.91974344, 62.91143039)
45724726,"SE","SE3","SE33","SE331",c(15.40078257, 65.55589833)
45742046,"IT","ITI","ITI4","ITI44",c(13.01741661, 41.46996371)
45742268,"IT","ITI","ITI3","ITI32",c(13.11971082, 43.47318366)
45742532,"IT","ITH","ITH4","ITH42",c(13.25420582, 45.85101084)
45742568,"IT","ITH","ITH4","ITH42",c(13.27374174, 46.17494248)
45742754,"AT","AT3","AT31","AT315",c(13.37971804, 47.84755543)
45742934,"CZ","CZ0","CZ03","CZ032",c(13.49103053, 49.46479902)
45742960,"CZ","CZ0","CZ03","CZ032",c(13.50788273, 49.69830444)
45743036,"CZ","CZ0","CZ04","CZ042",c(13.55833434, 50.38073834)
45743266,"DE","DE3","DE30","DE300",c(13.72269239, 52.44510881)
45743608,"SE","SE2","SE22","SE224",c(14.00503424, 55.51335316)
45743654,"SE","SE2","SE22","SE224",c(14.04703958, 55.92600813)
45743672,"SE","SE2","SE22","SE224",c(14.06376471, 56.0874836)
45743828,"SE","SE2","SE21","SE211",c(14.21592453, 57.48702883)
45743942,"SE","SE2","SE23","SE232",c(14.33597077, 58.50994888)
45743978,"SE","SE2","SE23","SE232",c(14.37557161, 58.83302032)
45744008,"SE","SE1","SE12","SE124",c(14.40922535, 59.10226549)
45744058,"SE","SE3","SE31","SE311",c(14.46667988, 59.55104942)
45744224,"SE","SE3","SE31","SE312",c(14.67061, 61.04145619)
45744230,"SE","SE3","SE31","SE312",c(14.67838687, 61.09534084)
45744292,"SE","SE3","SE31","SE313",c(14.76053062, 61.65221549)
45744320,"SE","SE3","SE32","SE322",c(14.79872661, 61.90374887)
45744346,"SE","SE3","SE32","SE322",c(14.83482973, 62.13733992)
45744436,"SE","SE3","SE32","SE322",c(14.96475625, 62.94611597)
45762134,"IT","ITI","ITI4","ITI42",c(13.08101475, 42.26374329)
45762596,"IT","ITH","ITH4","ITH42",c(13.31511922, 46.42604175)
45762794,"AT","AT3","AT31","AT311",c(13.4305462, 48.2062195)
45763046,"CZ","CZ0","CZ04","CZ042",c(13.59324995, 50.46964178)
45763604,"SE","SE2","SE22","SE224",c(14.03299971, 55.47646837)
45763802,"SE","SE2","SE21","SE211",c(14.22267548, 57.25270016)
45763820,"SE","SE2","SE21","SE211",c(14.24098025, 57.41419081)
45764378,"SE","SE3","SE32","SE321",c(14.91857918, 62.423616)
45764414,"SE","SE3","SE32","SE322",c(14.97112257, 62.74711777)
45764468,"SE","SE3","SE32","SE322",c(15.05238658, 63.23246424)
45764630,"SE","SE3","SE33","SE331",c(15.31541325, 64.68923683)
45764738,"SE","SE3","SE33","SE331",c(15.50874234, 65.66108785)
45764748,"SE","SE3","SE33","SE331",c(15.52744743, 65.75110304)
45782694,"AT","AT3","AT32","AT322",c(13.39739192, 47.30654331)
45782960,"CZ","CZ0","CZ03","CZ032",c(13.5632654, 49.69657406)
45783000,"CZ","CZ0","CZ02","CZ020",c(13.5900083, 50.05575639)
45783058,"CZ","CZ0","CZ04","CZ042",c(13.62969037, 50.57648634)
45784048,"SE","SE1","SE12","SE124",c(14.52529816, 59.45901591)
45784076,"SE","SE1","SE12","SE124",c(14.55855479, 59.71033423)
45784094,"SE","SE1","SE12","SE124",c(14.58023618, 59.87190564)
45784116,"SE","SE3","SE31","SE312",c(14.60706341, 60.0693925)
45784130,"SE","SE3","SE31","SE312",c(14.62432608, 60.19507228)
45784138,"SE","SE3","SE31","SE312",c(14.63425799, 60.26689156)
45784174,"SE","SE3","SE31","SE312",c(14.67957021, 60.59009945)
45784336,"SE","SE3","SE32","SE322",c(14.89684322, 62.04501098)
45784512,"SE","SE3","SE32","SE322",c(15.16089058, 63.62669674)
45784544,"SE","SE3","SE32","SE322",c(15.21243709, 63.91440921)
45784566,"SE","SE3","SE32","SE322",c(15.24855797, 64.11223707)
45784742,"SE","SE3","SE33","SE331",c(15.55928053, 65.69565706)
45784746,"SE","SE3","SE33","SE331",c(15.56682608, 65.73166117)
45802088,"IT","ITI","ITI4","ITI45",c(13.10800963, 41.84703501)
45802206,"IT","ITI","ITI3","ITI33",c(13.1634238, 42.91184327)
45802574,"IT","ITH","ITH4","ITH42",c(13.35465272, 46.22651532)
45802578,"IT","ITH","ITH4","ITH42",c(13.3568997, 46.26250033)
45803232,"DE","DE4","DE40","DE406",c(13.7847558, 52.13724179)
45803340,"DE","DE4","DE40","DE40I",c(13.8691301, 53.10624833)
45803988,"SE","SE1","SE12","SE124",c(14.49048689, 58.91940419)
45804726,"SE","SE3","SE33","SE331",c(15.57216531, 65.55020984)
45821652,"IT","ITG","ITG1","ITG12",c(12.94679757, 37.9016936)
45822522,"IT","ITH","ITH4","ITH42",c(13.35144439, 45.75782481)
45822558,"IT","ITH","ITH4","ITH42",c(13.37150853, 46.08175378)
45822588,"IT","ITH","ITH4","ITH42",c(13.38846851, 46.35164145)
45822828,"AT","AT3","AT31","AT311",c(13.5325144, 48.50918011)
45822886,"CZ","CZ0","CZ03","CZ031",c(13.56971658, 49.03021862)
45822918,"CZ","CZ0","CZ03","CZ032",c(13.59066927, 49.3176354)
45822958,"CZ","CZ0","CZ03","CZ032",c(13.61729984, 49.67685691)
45823044,"CZ","CZ0","CZ04","CZ042",c(13.67626924, 50.44901193)
45823278,"DE","DE","DE4","DE40",c(13.84958578, 52.54904187)
45823296,"DE","DE4","DE40","DE409",c(13.86376072, 52.71053826)
45823602,"SE","SE2","SE22","SE224",c(14.12584235, 55.45547601)
45823686,"SE","SE2","SE22","SE224",c(14.20552219, 56.20893451)
45823776,"SE","SE2","SE21","SE211",c(14.29507849, 57.01624771)
45823804,"SE","SE2","SE21","SE211",c(14.3238728, 57.26742487)
45823818,"SE","SE2","SE21","SE211",c(14.33844198, 57.3930164)
45823962,"SE","SE2","SE23","SE232",c(14.49531119, 58.68496272)
45824010,"SE","SE1","SE12","SE124",c(14.55061446, 59.11568627)
45824244,"SE","SE3","SE31","SE312",c(14.84469934, 61.21621508)
45824658,"SE","SE3","SE33","SE331",c(15.4897384, 64.93693505)
45841630,"IT","ITG","ITG1","ITG14",c(12.96074744, 37.701473)
45842026,"IT","ITI","ITI4","ITI44",c(13.12745051, 41.28564079)
45842538,"IT","ITH","ITH4","ITH42",c(13.38604234, 45.90098584)
45842658,"AT","AT2","AT21","AT212",c(13.45515561, 46.98036456)
45842740,"AT","AT3","AT32","AT323",c(13.50451974, 47.7175344)
45842754,"AT","AT3","AT31","AT315",c(13.51312906, 47.84336232)
45842800,"AT","AT3","AT31","AT311",c(13.54180049, 48.25673808)
45842808,"AT","AT3","AT31","AT311",c(13.54684775, 48.32862057)
45842920,"CZ","CZ0","CZ03","CZ032",c(13.61947412, 49.3347164)
45842998,"CZ","CZ0","CZ02","CZ020",c(13.67231584, 50.0351304)
45843316,"DE","DE4","DE40","DE405",c(13.90933712, 52.8890102)
45843604,"SE","SE2","SE22","SE224",c(14.1592606, 55.47238195)
45843664,"SE","SE2","SE22","SE224",c(14.21629332, 56.01054869)
45843766,"SE","SE2","SE21","SE211",c(14.31766231, 56.92546506)
45844024,"SE","SE1","SE12","SE124",c(14.60194603, 59.24016338)
45844060,"SE","SE1","SE12","SE124",c(14.64516585, 59.56323428)
45844090,"SE","SE1","SE12","SE124",c(14.68191176, 59.83248177)
45844198,"SE","SE3","SE31","SE312",c(14.81998505, 60.80195568)
45844294,"SE","SE3","SE31","SE313",c(14.95089402, 61.66398434)
45844306,"SE","SE3","SE31","SE313",c(14.96783647, 61.77175807)
45844414,"SE","SE3","SE32","SE322",c(15.12652481, 62.74194263)
45844432,"SE","SE3","SE32","SE322",c(15.15410938, 62.90368084)
45844438,"SE","SE3","SE32","SE322",c(15.1633796, 62.9575963)
45844474,"SE","SE3","SE32","SE322",c(15.21980854, 63.28111813)
45861662,"IT","ITG","ITG1","ITG11",c(12.995892, 37.99095987)
45862112,"IT","ITF","ITF1","ITF11",c(13.19125365, 42.06142645)
45862158,"IT","ITF","ITF1","ITF11",c(13.21324504, 42.47654386)
45862576,"SI","SI0","SI04","SI043",c(13.43342061, 46.24204157)
45862878,"CZ","CZ0","CZ03","CZ031",c(13.61907697, 48.95660484)
45863040,"CZ","CZ0","CZ04","CZ042",c(13.72968385, 50.41128693)
45863044,"CZ","CZ0","CZ04","CZ042",c(13.73252252, 50.44719469)
45863256,"DE","DE4","DE40","DE40C",c(13.89106434, 52.34974433)
45863292,"DE","DE4","DE40","DE409",c(13.91966018, 52.6727285)
45863670,"SE","SE2","SE22","SE224",c(14.25413514, 56.06330666)
45863796,"SE","SE2","SE21","SE211",c(14.38157982, 57.19347684)
45863868,"SE","SE2","SE21","SE211",c(14.45856769, 57.83935008)
45864066,"SE","SE1","SE12","SE124",c(14.68773979, 59.61589983)
45864106,"SE","SE1","SE12","SE124",c(14.73743718, 59.97489247)
45864138,"SE","SE3","SE31","SE312",c(14.77808586, 60.26211397)
45864232,"SE","SE3","SE31","SE312",c(14.90230984, 61.10598234)
45864318,"SE","SE3","SE32","SE322",c(15.02269145, 61.87825868)
45864696,"SE","SE3","SE33","SE331",c(15.64376421, 65.27590982)
45882538,"IT","ITH","ITH4","ITH43",c(13.43747809, 45.89933493)
45882564,"IT","ITH","ITH4","ITH42",c(13.45237068, 46.13325572)
45882610,"IT","ITH","ITH4","ITH42",c(13.47913314, 46.54702765)
45882618,"AT","AT2","AT21","AT212",c(13.48384238, 46.61897682)
45882676,"AT","AT3","AT32","AT321",c(13.51848206, 47.1405132)
45882892,"CZ","CZ0","CZ03","CZ031",c(13.65565417, 49.0814635)
45882928,"CZ","CZ0","CZ03","CZ032",c(13.67985392, 49.4047771)
45882946,"CZ","CZ0","CZ03","CZ032",c(13.6921057, 49.5664171)
45883320,"DE","DE4","DE40","DE405",c(13.97195769, 52.9229461)
45883662,"SE","SE2","SE22","SE224",c(14.27831475, 55.99048773)
45883738,"SE","SE2","SE21","SE212",c(14.35434429, 56.67214031)
45883824,"SE","SE2","SE21","SE211",c(14.4443531, 57.44353089)
45883846,"SE","SE2","SE21","SE211",c(14.46809153, 57.64087485)
45883896,"SE","SE2","SE21","SE211",c(14.52317119, 58.08940574)
45883968,"SE","SE1","SE12","SE124",c(14.60535505, 58.73535353)
45884256,"SE","SE3","SE31","SE312",c(14.97235726, 61.32021598)
45884278,"SE","SE3","SE31","SE313",c(15.00321645, 61.5177605)
45884526,"SE","SE3","SE32","SE322",c(15.38418405, 63.74576849)
45901624,"IT","ITG","ITG1","ITG14",c(13.0258487, 37.64492458)
45902074,"IT","ITI","ITI4","ITI45",c(13.22124347, 41.71684974)
45902110,"IT","ITF","ITF1","ITF11",c(13.23841363, 42.04183523)
45902272,"IT","ITI","ITI3","ITI32",c(13.31884542, 43.50305337)
45902624,"AT","AT2","AT21","AT211",c(13.51347386, 46.67208777)
45902768,"AT","AT3","AT31","AT315",c(13.60202602, 47.9665807)
45902992,"CZ","CZ0","CZ02","CZ020",c(13.75173665, 49.97853335)
45903010,"CZ","CZ0","CZ02","CZ020",c(13.76445395, 50.14013281)
45903028,"CZ","CZ0","CZ04","CZ042",c(13.77727945, 50.30172252)
45903046,"CZ","CZ0","CZ04","CZ042",c(13.79021448, 50.46330279)
45903064,"CZ","CZ0","CZ04","CZ042",c(13.80326038, 50.62487391)
45903358,"DE","DE4","DE40","DE40I",c(14.03330692, 53.26283413)
45903754,"SE","SE2","SE21","SE212",c(14.40342299, 56.81455092)
45903844,"SE","SE2","SE21","SE211",c(14.49928804, 57.62180774)
45903880,"SE","SE2","SE21","SE211",c(14.53903213, 57.9447345)
45904000,"SE","SE1","SE12","SE124",c(14.67769806, 59.02129217)
45904078,"SE","SE1","SE12","SE124",c(14.77329227, 59.72119387)
45904114,"SE","SE1","SE12","SE124",c(14.81896697, 60.04426966)
45904126,"SE","SE3","SE31","SE312",c(14.83441839, 60.15196834)
45904150,"SE","SE3","SE31","SE312",c(14.8656685, 60.36737628)
45904180,"SE","SE3","SE31","SE312",c(14.90539561, 60.63665682)
45904216,"SE","SE3","SE31","SE312",c(14.95407017, 60.95982524)
45904450,"SE","SE3","SE32","SE322",c(15.29980256, 63.06139734)
45921620,"IT","ITG","ITG1","ITG14",c(13.0467252, 37.607923)
45922208,"IT","ITI","ITI3","ITI34",c(13.31084339, 42.92522069)
45922258,"IT","ITI","ITI3","ITI33",c(13.33627788, 43.3760518)
45922538,"IT","ITH","ITH4","ITH43",c(13.48891099, 45.89765915)
45922694,"AT","AT3","AT32","AT322",c(13.58221638, 47.30060871)
45922802,"AT","AT3","AT31","AT311",c(13.65068032, 48.27120359)
45922898,"CZ","CZ0","CZ03","CZ031",c(13.71440306, 49.13355096)
45923006,"CZ","CZ0","CZ02","CZ020",c(13.78954106, 50.10329761)
45923018,"CZ","CZ0","CZ02","CZ020",c(13.79812619, 50.21102417)
45923114,"DE","DED","DED2","DED21",c(13.86859458, 51.0726899)
45923158,"DE","DE4","DE40","DE40B",c(13.90199217, 51.46754086)
45923252,"DE","DE4","DE40","DE40C",c(13.97578645, 52.31094528)
45923270,"DE","DE4","DE40","DE409",c(13.99031145, 52.47242904)
45923672,"SE","SE2","SE22","SE224",c(14.35223003, 56.07801798)
45923680,"SE","SE2","SE22","SE224",c(14.36024471, 56.14976547)
45923756,"SE","SE2","SE21","SE212",c(14.43817495, 56.83138111)
45923810,"SE","SE2","SE21","SE211",c(14.49559089, 57.31571065)
45924022,"SE","SE1","SE12","SE124",c(14.73908024, 59.21749434)
45924062,"SE","SE1","SE12","SE124",c(14.78854827, 59.57640634)
45924116,"SE","SE1","SE12","SE124",c(14.85727095, 60.06099199)
45924530,"SE","SE3","SE32","SE322",c(15.47130181, 63.77892823)
45924670,"SE","SE3","SE33","SE331",c(15.72158536, 65.03762514)
45924692,"SE","SE3","SE33","SE331",c(15.76329088, 65.23549801)
45941624,"IT","ITG","ITG1","ITG14",c(13.07080532, 37.64348123)
45943730,"SE","SE2","SE21","SE212",c(14.44361876, 56.59708471)
45943784,"SE","SE2","SE21","SE212",c(14.50061647, 57.08138718)
45943910,"SE","SE1","SE12","SE123",c(14.6406002, 58.21153268)
45944126,"SE","SE3","SE31","SE312",c(14.9060788, 60.14949745)
45944144,"SE","SE3","SE31","SE312",c(14.92981656, 60.31103858)
45944558,"SE","SE3","SE32","SE322",c(15.55992453, 64.02917478)
45944594,"SE","SE3","SE32","SE322",c(15.62360577, 64.3527841)
45944666,"SE","SE3","SE33","SE331",c(15.75604784, 65.00016762)
45944738,"SE","SE3","SE33","SE331",c(15.89571966, 65.64778063)
45962662,"AT","AT2","AT21","AT212",c(13.6150654, 47.01118125)
45962734,"AT","AT3","AT31","AT315",c(13.66035556, 47.65838088)
45962820,"AT","AT3","AT31","AT311",c(13.71639425, 48.4311225)
45963310,"DE","DE4","DE40","DE409",c(14.08232502, 52.82925931)
45963320,"DE","DE4","DE40","DE405",c(14.09073657, 52.91895917)
45963328,"DE","DE4","DE40","DE40I",c(14.09749634, 52.990718)
45963382,"DE","DE8","DE80","DE80N",c(14.14384729, 53.47506769)
45963796,"SE","SE2","SE21","SE211",c(14.54649918, 57.18787633)
45963828,"SE","SE2","SE21","SE211",c(14.58159046, 57.47487488)
45963860,"SE","SE2","SE21","SE211",c(14.6173277, 57.76188382)
45963878,"SE","SE2","SE21","SE211",c(14.63772036, 57.92333148)
45964012,"SE","SE1","SE12","SE124",c(14.79646112, 59.1253648)
45964084,"SE","SE1","SE12","SE124",c(14.88713976, 59.77136429)
45964184,"SE","SE3","SE31","SE312",c(15.01991934, 60.6687765)
45964246,"SE","SE3","SE31","SE312",c(15.10653046, 61.22530034)
45964616,"SE","SE3","SE33","SE331",c(15.70464052, 64.54910502)
45964850,"SE","SE3","SE33","SE332",c(16.17344791, 66.65405795)
45981666,"IT","ITG","ITG1","ITG12",c(13.13310204, 38.02286809)
45982782,"AT","AT3","AT31","AT315",c(13.71817178, 48.08881509)
45982944,"CZ","CZ0","CZ02","CZ020",c(13.82874793, 49.54385972)
45982980,"CZ","CZ0","CZ02","CZ020",c(13.85446101, 49.86707447)
45983106,"DE","DED","DED2","DED2F",c(13.94796648, 50.99801514)
45983142,"DE","DED","DED2","DED2C",c(13.9757312, 51.32106209)
45983214,"DE","DE4","DE40","DE406",c(14.03273651, 51.96706621)
45983232,"DE","DE4","DE40","DE40C",c(14.04730451, 52.12855026)
45984276,"SE","SE3","SE31","SE312",c(15.18700646, 61.49330722)
46002108,"IT","ITF","ITF1","ITF11",c(13.35767538, 42.0198365)
46002576,"SI","SI0","SI04","SI043",c(13.6145664, 46.23606754)
46002792,"AT","AT3","AT31","AT311",c(13.75161667, 48.17775205)
46002900,"CZ","CZ0","CZ03","CZ031",c(13.82527615, 49.1478285)
46002912,"CZ","CZ0","CZ03","CZ031",c(13.83368741, 49.25558748)
46003030,"CZ","CZ0","CZ04","CZ042",c(13.91894495, 50.31495816)
46003038,"CZ","CZ0","CZ04","CZ042",c(13.9248977, 50.38676406)
46003080,"CZ","CZ0","CZ04","CZ042",c(13.95652302, 50.76371508)
46003300,"DE","DE4","DE40","DE409",c(14.13309515, 52.73753004)
46003696,"SE","SE2","SE22","SE221",c(14.50525068, 56.28881838)
46003740,"SE","SE2","SE21","SE212",c(14.55168461, 56.68338554)
46003818,"SE","SE2","SE21","SE211",c(14.63685712, 57.38287495)
46003858,"SE","SE2","SE21","SE211",c(14.68201735, 57.74160804)
46003894,"SE","SE2","SE21","SE211",c(14.72355818, 58.06448301)
46004088,"SE","SE1","SE12","SE124",c(14.96322683, 59.80475956)
46004172,"SE","SE3","SE31","SE312",c(15.07607669, 60.55851328)
46004196,"SE","SE3","SE31","SE312",c(15.10942152, 60.77390288)
46004290,"SE","SE3","SE31","SE313",c(15.24504331, 61.61766213)
46004452,"SE","SE3","SE32","SE322",c(15.49932606, 63.07243877)
46004596,"SE","SE3","SE32","SE322",c(15.75029724, 64.36636249)
46004610,"SE","SE3","SE33","SE331",c(15.77609252, 64.49220435)
46004632,"SE","SE3","SE33","SE331",c(15.81715994, 64.68997227)
46004640,"SE","SE3","SE33","SE331",c(15.83225732, 64.76189291)
46021624,"IT","ITG","ITG1","ITG12",c(13.16071357, 37.64053072)
46022134,"IT","ITF","ITF1","ITF11",c(13.39482093, 42.25366115)
46022620,"AT","AT2","AT21","AT211",c(13.66750419, 46.63089403)
46022632,"AT","AT2","AT21","AT211",c(13.67497545, 46.73879624)
46022704,"AT","AT2","AT22","AT222",c(13.72063914, 47.38606036)
46022902,"CZ","CZ0","CZ03","CZ031",c(13.85406129, 49.1648505)
46022934,"CZ","CZ0","CZ03","CZ031",c(13.87677676, 49.45218779)
46023042,"CZ","CZ0","CZ04","CZ042",c(13.95598983, 50.42169954)
46023718,"SE","SE2","SE21","SE212",c(14.56070342, 56.48496346)
46023802,"SE","SE2","SE21","SE211",c(14.65210073, 57.23822275)
46023838,"SE","SE2","SE21","SE211",c(14.69261528, 57.56106464)
46023898,"SE","SE2","SE21","SE211",c(14.76202357, 58.09916448)
46024000,"SE","SE1","SE12","SE124",c(14.88573591, 59.01404523)
46024108,"SE","SE1","SE12","SE124",c(15.02521508, 59.98294064)
46024234,"SE","SE3","SE31","SE312",c(15.20014422, 61.11364812)
46024420,"SE","SE3","SE32","SE322",c(15.48576616, 62.78360461)
46024690,"SE","SE3","SE33","SE331",c(15.97093729, 65.20991906)
46024708,"SE","SE3","SE33","SE331",c(16.00677449, 65.37177909)
46024734,"SE","SE3","SE33","SE331",c(16.05940055, 65.60560199)
46042706,"AT","AT2","AT22","AT222",c(13.74837926, 47.40312874)
46042842,"AT","AT3","AT31","AT313",c(13.83945042, 48.62505863)
46043058,"CZ","CZ0","CZ04","CZ042",c(13.99626298, 50.56432349)
46043076,"CZ","CZ0","CZ04","CZ042",c(14.01006183, 50.72586214)
46043346,"DE","DE4","DE40","DE40I",c(14.23220148, 53.14804252)
46043364,"DE","DE8","DE80","DE80N",c(14.24809712, 53.30947458)
46043728,"SE","SE2","SE21","SE212",c(14.60381119, 56.57348647)
46043778,"SE","SE2","SE21","SE212",c(14.658379, 57.02183699)
46043868,"SE","SE2","SE21","SE211",c(14.76056704, 57.82891643)
46043872,"SE","SE2","SE21","SE211",c(14.76523188, 57.86478849)
46044034,"SE","SE1","SE12","SE124",c(14.9636335, 59.31779264)
46044606,"SE","SE3","SE33","SE331",c(15.851005, 64.45325097)
46044700,"SE","SE3","SE33","SE331",c(16.03320579, 65.29828317)
46044840,"SE","SE3","SE33","SE332",c(16.32957597, 66.55755398)
46062232,"IT","ITI","ITI3","ITI35",c(13.49445163, 43.13591329)
46062258,"IT","ITI","ITI3","ITI33",c(13.50842572, 43.37029659)
46062628,"AT","AT2","AT21","AT211",c(13.72468177, 46.70103584)
46062978,"CZ","CZ0","CZ02","CZ020",c(13.96410696, 49.84529177)
46063266,"DE","DE4","DE40","DE40C",c(14.19263415, 52.42947736)
46063684,"SE","SE2","SE22","SE224",c(14.58915049, 56.17780473)
46063842,"SE","SE2","SE21","SE211",c(14.76384075, 57.59455946)
46063882,"SE","SE2","SE21","SE211",c(14.81060114, 57.95326336)
46064008,"SE","SE1","SE12","SE124",c(14.96522744, 59.08331628)
46064040,"SE","SE1","SE12","SE124",c(15.00637373, 59.3703541)
46064098,"SE","SE1","SE12","SE124",c(15.08301454, 59.89065995)
46064116,"SE","SE3","SE31","SE312",c(15.10735802, 60.05214829)
46064152,"SE","SE3","SE31","SE312",c(15.15686577, 60.37514657)
46064206,"SE","SE3","SE31","SE312",c(15.23324849, 60.85970165)
46064260,"SE","SE3","SE31","SE312",c(15.31229285, 61.34433167)
46064526,"SE","SE3","SE32","SE322",c(15.74554471, 63.7328844)
46081642,"IT","ITG","ITG1","ITG12",c(13.23580493, 37.80149623)
46082614,"AT","AT2","AT21","AT211",c(13.74189902, 46.57424737)
46082678,"AT","AT3","AT32","AT321",c(13.78295124, 47.14962803)
46082830,"AT","AT3","AT31","AT313",c(13.88525065, 48.51539121)
46082944,"CZ","CZ0","CZ02","CZ020",c(13.96673217, 49.53909321)
46083010,"CZ","CZ0","CZ02","CZ020",c(14.01590829, 50.13155379)
46083316,"PL","PL4","PL42","PL428",c(14.26535086, 52.87688489)
46083880,"SE","SE2","SE21","SE211",c(14.84187887, 57.93411387)
46083988,"SE","SE1","SE12","SE124",c(14.97446414, 58.90267519)
46084384,"SE","SE3","SE32","SE321",c(15.54311501, 62.45608977)
46084432,"SE","SE3","SE32","SE322",c(15.6224846, 62.88710304)
46084576,"SE","SE3","SE32","SE322",c(15.87695073, 64.18062838)
46084600,"SE","SE3","SE33","SE331",c(15.92193061, 64.39629156)
46084666,"SE","SE3","SE33","SE331",c(16.0497326, 64.98948384)
46084690,"SE","SE3","SE33","SE331",c(16.09776225, 65.20523438)
46101646,"IT","ITG","ITG1","ITG12",c(13.26005501, 37.83699641)
46102154,"IT","ITF","ITF1","ITF11",c(13.50181846, 42.43080106)
46102520,"IT","ITH","ITH4","ITH44",c(13.70927275, 45.72787631)
46102726,"AT","AT2","AT22","AT222",c(13.84104915, 47.58010261)
46102852,"AT","AT3","AT31","AT313",c(13.92778205, 48.71203121)
46102910,"CZ","CZ0","CZ03","CZ031",c(13.96940478, 49.23286222)
46102952,"CZ","CZ0","CZ02","CZ020",c(14.00024713, 49.6099391)
46102964,"CZ","CZ0","CZ02","CZ020",c(14.0091702, 49.71766416)
46103018,"CZ","CZ0","CZ02","CZ020",c(14.04994921, 50.2023686)
46103050,"CZ","CZ0","CZ04","CZ042",c(14.07460804, 50.48955815)
46103060,"CZ","CZ0","CZ04","CZ042",c(14.08239089, 50.5792987)
46103168,"DE","DED","DED2","DED2C",c(14.16886271, 51.54832551)
46103252,"DE","DE4","DE40","DE40C",c(14.23932488, 52.30182378)
46103702,"SE","SE2","SE22","SE221",c(14.67278755, 56.33687899)
46103738,"SE","SE2","SE21","SE212",c(14.71217051, 56.65965192)
46103788,"SE","SE2","SE21","SE212",c(14.76819618, 57.10795818)
46103798,"SE","SE2","SE21","SE212",c(14.7795914, 57.19762134)
46103828,"SE","SE2","SE21","SE211",c(14.81416678, 57.46661549)
46103878,"SE","SE2","SE21","SE211",c(14.87312445, 57.91495734)
46103960,"SE","SE1","SE12","SE123",c(14.97358847, 58.65030061)
46104050,"SE","SE1","SE12","SE124",c(15.08960643, 59.45749977)
46104170,"SE","SE3","SE31","SE312",c(15.25450462, 60.53400587)
46104418,"SE","SE3","SE32","SE322",c(15.63791649, 62.7599433)
46104530,"SE","SE3","SE32","SE322",c(15.83303811, 63.7658406)
46104554,"SE","SE3","SE32","SE322",c(15.87686735, 63.98144879)
46121612,"IT","ITG","ITG1","ITG14",c(13.26793774, 37.52788386)
46122128,"IT","ITF","ITF1","ITF11",c(13.51234669, 42.19538671)
46122272,"IT","ITI","ITI3","ITI32",c(13.58993932, 43.4939217)
46122606,"SI","SI0","SI04","SI042",c(13.78885106, 46.50048633)
46122668,"AT","AT3","AT32","AT321",c(13.82901252, 47.05789194)
46122678,"AT","AT3","AT32","AT321",c(13.83559313, 47.14777814)
46122858,"CZ","CZ0","CZ03","CZ031",c(13.95920146, 48.76495352)
46122902,"CZ","CZ0","CZ03","CZ031",c(13.99097924, 49.16005933)
46123766,"SE","SE2","SE21","SE212",c(14.77608369, 56.90950861)
46123802,"SE","SE2","SE21","SE211",c(14.81717934, 57.23228216)
46123910,"SE","SE1","SE12","SE123",c(14.94564433, 58.20066919)
46124594,"SE","SE3","SE32","SE322",c(15.9925775, 64.33930437)
46141618,"IT","ITG","ITG1","ITG14",c(13.29296681, 37.5815285)
46142604,"SI","SI0","SI04","SI042",c(13.81356522, 46.4815812)
46142734,"AT","AT2","AT22","AT222",c(13.89956238, 47.65010797)
46142788,"AT","AT3","AT31","AT312",c(13.93676805, 48.1352633)
46142896,"CZ","CZ0","CZ03","CZ031",c(14.01395884, 49.1052085)
46142928,"CZ","CZ0","CZ03","CZ031",c(14.03757232, 49.39251359)
46142982,"CZ","CZ0","CZ02","CZ020",c(14.07822268, 49.87725941)
46143688,"SE","SE2","SE22","SE221",c(14.72197111, 56.20901221)
46143720,"SE","SE2","SE21","SE212",c(14.75714521, 56.49589983)
46143760,"SE","SE2","SE21","SE212",c(14.80199918, 56.85451455)
46143814,"SE","SE2","SE21","SE211",c(14.86416878, 57.33865848)
46143922,"SE","SE1","SE12","SE123",c(14.99440251, 58.30702172)
46143954,"SE","SE1","SE12","SE123",c(15.03458417, 58.59396997)
46144030,"SE","SE1","SE12","SE124",c(15.1331221, 59.27553239)
46144062,"SE","SE1","SE12","SE124",c(15.17597436, 59.56253494)
46144080,"SE","SE1","SE12","SE124",c(15.20044701, 59.7239822)
46144454,"SE","SE3","SE32","SE322",c(15.77751817, 63.0802754)
46144602,"SE","SE3","SE33","SE331",c(16.04896486, 64.40963164)
46162908,"CZ","CZ0","CZ03","CZ031",c(14.05018264, 49.21196607)
46162926,"CZ","CZ0","CZ03","CZ031",c(14.06358603, 49.37356814)
46163088,"CZ","CZ0","CZ04","CZ042",c(14.1894247, 50.8275023)
46163970,"SE","SE1","SE12","SE123",c(15.08935037, 58.73616966)
