"POINTID_2015","POINTID_2018","SURVEY_DATE","Revisited_point","Elevation","Coarse","Clay","Sand","Silt","pH_CaCl2_2015","pH_CaCl2_2018","pH_H20","pH_H2O","EC_2015","EC_2018","OC_2015","OC_2018","OC..20.30.cm.","CaCO3_2015","CaCO3_2018","CaCO3..20.30.cm.","P_2015","P_2018","N_2015","N_2018","K_2015","K_2018","LC_2015","LC_2018","LU_2015","LU_2018","NUTS_0_2015","NUTS_0_2018","NUTS_1_2015","NUTS_1_2018","NUTS_2_2015","NUTS_2_2018","NUTS_3_2015","NUTS_3_2018","Soil_Stones","Depth","Ox_Al","Ox_Fe","Elev","TH_LAT","TH_LONG"
26961834,26961834,"30-06-18","No",65,NA,NA,NA,NA,5.1,4.8,5.62,5.74,3.82,4.66,13.7,"13.6","",0,"1",NA,4.1,"< LOD",1.2,"1.1",73.4,"96.8","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,145,37.80194714,-8.517892982
26962018,26962018,"05-07-18","No",209,NA,NA,NA,NA,5.3,5,5.73,5.67,14.89,12.67,33.6,"39.8","",0,NA,NA,5,"< LOD",2,"2.4",116.1,"110.1","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",1,"0-20 cm",NA,NA,259,39.41382056,-8.981530426
27001846,27001846,"01-07-18","No",572,NA,NA,NA,NA,4.8,4.5,5.45,5.31,2.05,3.69,4.2,"3.3","",0,"1",NA,4.1,"< LOD",0.4,"0.3",22,"27.7","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,129,37.91600888,-8.502923022
27001864,27001864,"19-06-18","No",215,NA,NA,NA,NA,5.2,4.5,5.79,5.49,4.92,5.75,24.6,"32.5","",0,"1",NA,5,"< LOD",1.9,"2.1",93.9,"201.6","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,255,38.07396855,-8.547006763
27001882,27001882,"17-06-18","No",265,NA,NA,NA,NA,4.7,4.8,5.09,5.47,11.4,7.58,7.6,"8.2","7.3",0,NA,NA,42.1,"38.5",0.7,"0.7",34.7,"42.6","B41","B23","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,146,38.23186429,-8.591381992
27001936,27001936,"09-07-18","No",192,NA,NA,NA,NA,6.1,5.7,6.42,6.28,4.16,4.53,6.4,"6.5","",0,NA,NA,22.5,"22.5",0.7,"0.7",46.5,"38.6","F40","E30","U112","U112","PT","PT","PT1","PT1","PT17","PT17","PT170","PT170",2,"0-20 cm",NA,NA,99,38.70516812,-8.726281891
27002038,27002038,"30-06-18","No",202,NA,NA,NA,NA,6.7,6.1,7.05,6.64,13.8,13.26,9.2,"11.5","",2,NA,NA,46.7,"81.6",0.9,"1.3",139.2,"186","B72","B72","U111","U111","PT","PT","PT1","PT1","PT16","PT16","PT16B","PT16B",1,"0-20 cm",NA,NA,71,39.59761767,-8.988560552
27021938,27021938,"09-07-18","No",157,NA,NA,NA,NA,3.6,NA,4.28,NA,3.19,NA,9.4,"","2.8",0,"",NA,6.6,"",0.4,"",23.1,"","C10","C10","U120","U120","PT","PT","PT1","PT1","PT17","PT17","PT170","PT170",1,"20-30 cm",NA,NA,106,38.72710826,-8.708951935
27022016,27022016,"07-05-18","No",272,NA,NA,NA,NA,5.2,6.4,5.89,6.93,7,7.05,18.9,"6.4","5.8",0,"1",NA,4.8,NA,1.7,"0.5",134.5,"57.7","C10","B81","U120","U111","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",1,"0-20 cm",1.4,2.6,221,39.40977721,-8.908556192
27041840,27041840,"30-06-18","No",379,NA,NA,NA,NA,4.3,4.7,5.11,5.71,2.89,4.83,4.7,"6.2","",0,NA,NA,11.9,"13.5",0.6,"0.8",22.7,"45.1","E20","E20","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,118,37.87204858,-8.444053459
