"POINTID","pH_CaCl2","pH_H2O","EC","OC","CaCO3","P","N","K","Ox_Al","Ox_Fe","Elev","LC","LC_0","LU","BDsample_0","coarse_mas","geometry"
38762662,3.5,4.13,11.22,39.4,NA,19.4,3.3,76.6,NA,NA,407,"C23","C","U120",1.0415,0.21,c(4.156732019, 46.91363253)
38762680,4.9,5.43,19.01,84.6,NA,21.8,5.9,315.6,NA,NA,486,"C10","C","U120",0.804,0.67,c(4.138708472, 47.07510757)
38762780,7.2,7.86,15.71,15,199,NA,1.8,200.8,NA,NA,249,"B41","B","U111",1.0635,0.13,c(4.035925387, 47.97186586)
38782566,5.1,5.42,8.67,26.9,NA,NA,2.6,99.4,NA,NA,588,"E20","E","U111",1.175,0.21,c(4.276256008, 46.05350016)
38782872,7.4,8.05,30.85,18.5,779,58.3,2.6,371.6,0.4,0.5,193,"B33","B","U111",1.255,0.12,c(3.964353744, 48.7979009)
38802318,7.4,8.06,13.31,11.2,169,NA,1,168.4,NA,NA,111,"E20","E","U111",1.433,0.04,c(4.525188452, 43.82641843)
38822584,3.6,4.12,9.37,30.9,NA,20.8,2.1,74.6,NA,NA,454,"C23","C","U120",1.016,0.31,c(4.31070666, 46.21784913)
38822848,7.3,8.04,26.64,23.5,724,43.3,1.8,271.2,NA,NA,160,"B21","B","U111",1.2215,0.2,c(4.044437493, 48.58574793)
38842342,6.8,7.18,6.75,6.1,3,31.6,0.7,132.5,0.7,0.8,235,"B31","B","U111",1.5135,0.2,c(4.554286069, 44.04489504)
38842486,4.6,5.25,15.92,99.3,1,42.9,8.5,244.5,NA,NA,999,"E20","E","U111",0.353,0.19,c(4.427416341, 45.33917627)
38842810,7.3,7.93,22.08,26.5,573,14,3.1,130.9,NA,NA,157,"B13","B","U111",0.9865,0.3,c(4.111566122, 48.24657823)
38843040,6.6,6.97,8.8,14.4,NA,61.6,1.6,184.4,NA,NA,195,"B11","B","U111",1.5,0.06,c(3.857818148, 50.30720554)
38862448,4.7,5.47,5.8,13.6,NA,26.1,1.2,144,NA,NA,673,"E20","E","U420",1.055,0.27,c(4.486913558, 44.9991004)
38862478,3.5,3.97,20.6,198.4,NA,33,10.7,156.4,NA,NA,1200,"C23","C","U120",0.281,0.27,c(4.460058239, 45.26864918)
38863036,5.4,5.98,11.44,25.9,1,18.5,2.7,85.2,NA,NA,202,"E20","E","U111",1.085,0.05,c(3.890437646, 50.27288833)
38882480,4,4.46,16.78,79.1,NA,46.7,6.8,223.9,NA,NA,1222,"C10","C","U111",0.455,0.31,c(4.483654871, 45.2879519)
38882614,5.2,5.87,10.22,22.1,NA,10.7,2.4,72.5,NA,NA,355,"E20","E","U111",1.277,0.1,c(4.359869495, 46.49125247)
38882650,5,5.54,12.48,47.1,NA,24.3,4.5,130.1,NA,NA,370,"E20","E","U111",0.778,0.1,c(4.32537424, 46.81434237)
38902586,4.8,5.52,13.26,35.2,NA,83.7,3.3,293,NA,NA,550,"E20","E","U111",1.1835,0.24,c(4.412172459, 46.24126363)
38902676,5.5,6.11,10.95,21.2,NA,12.5,2.2,44.6,NA,NA,362,"B32","B","U111",1.2705,0.04,c(4.326358254, 47.04901887)
38902826,7.2,7.99,24.55,21.2,578,45.4,1.8,271.6,NA,NA,205,"B13","B","U111",1.076,0.15,c(4.175542369, 48.39429148)
38902838,7.3,8.05,20.39,21.3,686,92.4,2.3,374.8,NA,NA,173,"B22","B","U111",1.058,0.33,c(4.163033564, 48.50186391)
38903014,5.8,6.32,18.05,58.4,NA,25.1,5.9,288.8,NA,NA,248,"E20","E","U111",0.8975,0.18,c(3.971451772, 50.07883905)
38922362,6.9,7.47,19.57,15.9,158,33.2,1.4,124.7,NA,NA,114,"B82","B","U111",1.101,0.11,c(4.636832598, 44.22995504)
38922584,3.6,4.08,9.24,75.7,NA,NA,2.8,83.5,NA,NA,706,"C33","C","U120",0.7585,0.17,c(4.439878252, 46.22465726)
38922812,7,7.41,29.76,35.2,25,48.1,3.9,437.8,NA,NA,158,"E20","E","U111",0.8945,0.31,c(4.216912542, 48.27019313)
38922830,7.4,7.82,19.26,13.9,777,24.4,2.1,150.6,NA,NA,207,"B13","B","U111",1.1445,0.23,c(4.198327745, 48.43156662)
38922992,6,6.61,13.01,20.2,NA,27.2,2.2,124.1,NA,NA,217,"B21","B","U111",1.1145,0.12,c(4.024009635, 49.88325597)
38942352,7.1,7.78,15.39,11.9,132,11.4,1.2,296.7,NA,NA,93,"E30","E","U112",1.127,0.39,c(4.670170249, 44.14131102)
38942568,5.2,5.64,15.63,47,NA,51.5,3.8,278.4,NA,NA,499,"E20","E","U111",0.881,0.18,c(4.480474568, 46.08233909)
38942726,6.2,6.68,8.9,11,1,22.7,1.4,111,NA,NA,314,"B13","B","U111",1.3295,0.25,c(4.330128052, 47.5003427)
38943000,5.9,6.43,13.2,39.7,NA,81.9,4.1,294.1,NA,NA,247,"E20","E","U111",1.09,0.14,c(4.042849192, 49.95637661)
38943176,6.8,7.52,15.27,17.1,58,38.7,1.7,231.7,NA,NA,2,"E20","E","U111",1.175,0.07,c(3.838048246, 51.53231618)
38962578,4.9,5.48,7.78,23.9,1,42.2,2.5,105.9,NA,NA,698,"E20","E","U111",1.154,0.33,c(4.497075835, 46.17346418)
38982480,5.2,5.83,10.67,36.5,NA,48.6,3.7,423.8,NA,NA,551,"E20","E","U111",1.033,0.22,c(4.610667061, 45.2945347)
38982792,6.2,6.98,7.44,12.3,NA,73.4,1.4,228.7,1.3,3.4,266,"B11","B","U111",1.2985,0.1,c(4.317698117, 48.09504931)
38982814,7.2,7.49,19.09,10.7,4,61,1.3,254.8,0.4,1.7,186,"B13","B","U111",1.277,0.08,c(4.295477636, 48.29232187)
38982868,7.2,8,33.7,29.7,709,54.7,2.4,271.3,NA,NA,202,"B11","B","U111",1.2045,0.24,c(4.239990653, 48.77643749)
38982940,7,7.71,20.51,21.6,739,26.7,2.2,174.3,NA,NA,113,"F40","F","U111",1.186,0.12,c(4.163849234, 49.42171695)
39002340,7.4,8.31,15.28,10.7,192,15.3,1.2,180.1,4.3,6.7,108,"B82","B","U111",1.0905,0.06,c(4.754754778, 44.03719608)
39002614,5.1,5.87,9.29,25.5,NA,22,2.5,185.2,NA,NA,343,"E20","E","U111",1.067,0.2,c(4.515675409, 46.499338)
39002952,7,7.69,19.33,13.7,396,14.9,1.6,157.5,NA,NA,144,"F40","F","U111",1.4445,0.1,c(4.178462657, 49.53066807)
39002980,5.7,6.25,14.57,31.8,NA,19.3,3.6,132.1,0.9,3.9,274,"E20","E","U111",1.049,0.15,c(4.148135877, 49.78154367)
39002992,6.7,7.15,13.6,18.1,1,45.6,2.1,205,2.7,12.3,262,"B16","B","U111",1.339,0.08,c(4.13501722, 49.88905192)
39003046,7,7.44,18.21,11,NA,59.5,1.3,203.5,0.6,1.7,175,"B16","B","U111",1.4065,0.06,c(4.075062251, 50.37276841)
39022590,4.5,5.12,13.08,15.4,NA,44.4,1.7,353.8,NA,NA,465,"B55","B","U111",1.3465,0.15,c(4.563621186, 46.28518443)
39062614,5.5,6.01,20.76,37.5,NA,15.1,3.9,104.8,NA,NA,265,"E10","E","U111",1.1395,0.12,c(4.593594249, 46.50329599)
39062686,6.4,6.91,15.82,54.8,1,17.4,5,256.9,NA,NA,454,"E20","E","U111",0.728,0.16,c(4.526910561, 47.1495732)
39062704,6.8,7.17,18.63,26.9,3,25,2.9,211.1,1,3.1,399,"B32","B","U111",1.1775,0.09,c(4.509907711, 47.31109783)
39062920,7.5,7.85,20.91,20.1,811,58.5,2.5,213.1,NA,NA,227,"B11","B","U111",1.057,0.19,c(4.294824659, 49.24812348)
39082546,6.3,6.87,8.25,16.7,NA,42.5,1.6,211.4,NA,NA,376,"B82","B","U111",1.408,0.12,c(4.680369231, 45.89393806)
39082654,6.1,6.73,12.75,13.2,1,21.4,1.3,163.2,NA,NA,370,"E20","E","U111",1.375,0.09,c(4.582957702, 46.86369172)
39082708,5.9,6.35,9.53,31.8,NA,10,3.2,155.3,0.9,1.9,553,"B52","B","U111",1.1625,0.13,c(4.532502585, 47.34832101)
39082754,6.9,7.39,16.28,24.5,7,45.1,2.7,378.6,NA,NA,364,"B11","B","U111",1.3325,0.19,c(4.48856212, 47.76103095)
39082798,6.9,7.62,16.34,16.5,7,37.3,1.9,221.9,NA,NA,302,"B11","B","U111",1.267,0.08,c(4.445680177, 48.15569618)
39082838,7.3,8.03,18.79,19.6,713,36.2,2.3,380.9,2.4,3.9,171,"B11","B","U111",1.192,0.08,c(4.405953543, 48.51440069)
39082862,7,7.78,24.88,27.1,795,59.2,2.8,180.2,NA,NA,238,"B22","B","U111",1.197,0.06,c(4.381769953, 48.7295872)
39103154,7,7.78,14.63,12,30,77.7,1.3,206.2,NA,NA,2,"B23","B","U111",1.652,0.1,c(4.093561989, 51.34722646)
39122320,7.3,8.01,28.34,13.2,408,22.4,1.7,295.7,NA,NA,82,"B72","B","U111",1.325,0.16,c(4.919798907, 43.86471713)
39122716,7.1,7.63,22.33,40.1,225,49.4,4.5,311.4,0.6,2.4,551,"B11","B","U111",1.0545,0.28,c(4.577784532, 47.42275198)
39122928,7.2,7.94,19.59,19.9,252,28.2,2.3,613.4,NA,NA,167,"B13","B","U111",1.192,0.11,c(4.368759417, 49.32398135)
39123108,5.4,5.91,19.26,12.3,NA,64.3,1.4,242.3,NA,NA,106,"B16","B","U111",1.219,0.04,c(4.17454053, 50.93671902)
39162358,7.5,8.04,16.86,15,108,29.2,1.4,391.9,NA,NA,166,"E30","E","U111",1.518,0.15,c(4.939264063, 44.20903458)
39162670,7,7.61,19.97,27.8,95,17.7,3.2,408.9,NA,NA,569,"F40","F","U111",0.655,0.42,c(4.673029773, 47.01252341)
39162828,7.3,8.06,15.91,22.9,271,28.6,2.3,266,NA,NA,163,"B22","B","U111",1.1115,0.39,c(4.523760892, 48.4301218)
39162930,7.1,7.86,18.36,13.2,296,20.5,1.8,262.8,NA,NA,191,"B11","B","U111",1.2015,0.11,c(4.421592467, 49.34464725)
39182614,5.7,5.93,31.9,39.9,NA,20.2,3.6,79.2,NA,NA,301,"C10","C","U111",1.118,0.16,c(4.749462963, 46.51104235)
39202282,7,7.43,30.57,140.2,369,21.3,5.3,354.6,NA,NA,44,"E20","E","U111",1.0225,0.06,c(5.048250167, 43.52755061)
39202414,7,7.19,20.3,42.5,272,NA,3.3,221.3,NA,NA,306,"C10","C","U370",0.6735,0.14,c(4.944337492, 44.71513229)
39222334,7.3,8.15,20.57,12.3,403,19.9,1.4,277.4,NA,NA,107,"F40","F","U111",1.448,0.11,c(5.032829249, 43.99673074)
39222348,7.2,8.35,10.3,11.2,225,14.7,0.6,95.9,NA,NA,148,"B82","B","U111",1.435,0.11,c(5.02189634, 44.12269583)
39222708,7.3,7.56,33.57,42.2,31,27.8,4.2,569.7,NA,NA,591,"B16","B","U111",0.8915,0.27,c(4.717278229, 47.3574601)
39222802,7.2,7.87,19.39,20.4,646,22.7,2.6,171.3,NA,NA,247,"B13","B","U111",1.0985,0.19,c(4.629554657, 48.20088417)
39222852,7.2,8.04,20.82,13.3,794,34.8,1.9,135.8,NA,NA,179,"B11","B","U111",1.343,0.06,c(4.581362524, 48.6493397)
39222870,7.3,7.99,22.94,15.8,744,28.1,2.4,225.5,NA,NA,211,"B11","B","U111",1.324,0.19,c(4.563744011, 48.81075566)
39242962,5.4,5.81,8.14,42.5,NA,74.3,4.3,164.5,NA,NA,264,"E20","E","U111",0.9,0.1,c(4.499006741, 49.63690032)
39262484,5.8,6.35,13.28,8.9,NA,42.3,1.1,210.3,NA,NA,299,"A30","A","U319",1.5285,0.07,c(4.963161117, 45.34810607)
39262586,5.6,6,5.03,6,NA,34.7,0.8,73.6,NA,NA,228,"B11","B","U111",1.5305,0.15,c(4.877561564, 46.26460176)
39262766,4.7,5.36,7.37,32.1,1,NA,2.4,136,NA,NA,377,"C10","C","U120",1.051,0.1,c(4.716922483, 47.88050618)
39262964,5,5.61,9.94,37.5,NA,22.4,3.8,133.1,NA,NA,242,"E20","E","U111",0.711,0.03,c(4.524595518, 49.65616995)
39302608,6.9,7.54,21.29,26.2,57,53.3,2.4,215.6,NA,NA,224,"B16","B","U111",1.1615,0.1,c(4.910522632, 46.46467498)
39302712,6.9,7.57,30.87,65.7,80,72.8,7,1139.1,3.6,4.6,597,"B32","B","U111",0.9535,0.35,c(4.819304373, 47.39844519)
39302766,7.1,7.8,18.4,22.5,12,26.9,2.5,300,NA,NA,378,"B11","B","U111",1.2395,0.41,c(4.770263119, 47.88306377)
39302924,7.1,7.78,26.82,27.6,768,52.6,3,317.4,NA,NA,220,"B22","B","U111",1.095,0.09,c(4.619728561, 49.30022992)
39322368,7.5,7.87,17.95,9.6,347,14.7,1.8,168,NA,NA,429,"B81","B","U111",1.0545,0.16,c(5.13102148, 44.30855953)
39322890,7.4,7.95,19.51,21.3,442,48.6,2.3,167.5,NA,NA,233,"B13","B","U111",1.205,0.11,c(4.680307653, 48.99666562)
39342876,7.2,7.87,18.97,14.1,775,22.8,1.8,158.2,0.6,1.6,216,"B11","B","U111",1.4005,0.15,c(4.72100391, 48.8724058)
39342958,5.7,6.11,10.29,36.7,NA,17.1,3.3,289,NA,NA,275,"C10","C","U120",0.8915,0.05,c(4.641097055, 49.60768291)
39362548,4.3,4.77,7.01,22,NA,58.1,2,106.4,NA,NA,330,"E30","E","U112",1.2245,0.13,c(5.038418728, 45.92931444)
39362596,7.4,8.05,18.12,19.4,146,18,1.5,254,NA,NA,245,"B16","B","U111",1.3945,0.17,c(4.9985189, 46.3605562)
39362740,6.2,6.58,25.6,102.6,11,17.4,7.3,415.5,NA,NA,461,"C10","C","U120",0.5615,0.45,c(4.873682199, 47.65351518)
39362952,6.9,7.52,16.77,13.8,3,34,1.7,210.2,NA,NA,232,"B11","B","U111",1.3635,0.24,c(4.674623371, 49.55519701)
39382432,4.4,5.1,6.09,25.6,NA,NA,1.8,40.5,NA,NA,1127,"C10","C","U120",0.8335,0.1,c(5.156753077, 44.88774181)
39382558,5.7,5.84,11.42,11.5,NA,29.9,1.4,52.6,NA,NA,327,"B55","B","U111",1.3715,0.06,c(5.055925423, 46.02036701)
39382738,7.2,7.86,35.46,46.3,159,25.2,4,320.3,NA,NA,530,"B16","B","U111",1.26,0.58,c(4.902017232, 47.63680744)
39383058,6.9,7.22,13.02,12.9,1,59.6,1.4,204.2,0.7,1.7,191,"B11","B","U111",1.29,0.09,c(4.595687768, 50.50667022)
39422452,6.3,6.85,13.65,17.9,1,31.7,2.1,266.7,1.2,5.2,248,"B11","B","U111",0.824,0.31,c(5.191731516, 45.06992298)
39422614,5.8,6.41,29.78,13.1,NA,30.2,1.6,162.5,1.6,7.4,250,"B16","B","U111",1.3575,0.13,c(5.061320418, 46.52585629)
39442442,7,7.19,15.51,11.4,1,19.8,1.1,212.6,NA,NA,1084,"E20","E","U111",1.326,0.04,c(5.224763075, 44.98115285)
39442712,7.5,7.9,21,20.4,744,28.1,2.1,263.1,NA,NA,350,"B13","B","U111",1.0765,0.37,c(5.004297303, 47.40709823)
39442798,6.1,6.51,11.84,45.1,NA,NA,3.1,218.3,NA,NA,363,"C10","C","U120",1.2935,0.23,c(4.928417519, 48.17898189)
39462542,6.6,6.9,23.69,15.8,2,29.1,1.9,190.9,0.5,1.7,262,"B16","B","U111",1.263,0.06,c(5.17177559, 45.88131649)
39462812,7.1,7.86,21.44,26,178,16.3,3.1,476.2,4.8,7,354,"B32","B","U111",1.211,0.17,c(4.942682515, 48.30583919)
39482550,5.8,6.04,19.68,11.3,NA,38.4,1.5,165.4,NA,NA,339,"B16","B","U111",1.366,0.03,c(5.191091263, 45.95437792)
39482622,5.3,5.69,16.31,31.1,NA,34.5,3,167.5,NA,NA,243,"E20","E","U111",1.031,0.15,c(5.132734481, 46.60128209)
39482816,7.2,7.94,21.48,25.7,36,30.8,3,396.1,2.1,3,369,"B32","B","U111",1.0425,0.32,c(4.965994691, 48.34296028)
39522304,7.2,7.97,13.25,17,67,NA,1.4,134.9,NA,NA,301,"E20","E","U420",1.472,0.06,c(5.426959898, 43.74391982)
39522778,6.1,6.68,11.79,18.3,1,24.5,2.1,200.6,NA,NA,404,"B11","B","U111",1.3945,0.05,c(5.05327788, 48.0043738)
39523056,7.2,7.54,16.84,11.7,1,58.2,1.3,257.9,NA,NA,196,"B22","B","U111",1.344,0.11,c(4.794602199, 50.49785126)
39542722,6.5,6.79,12.1,30,NA,18.9,3.2,541.3,3.6,5.5,335,"B52","B","U111",1.1155,0.2,c(5.128022134, 47.50287126)
39562918,6.8,7.33,21.09,14.7,3,32.2,1.8,161.2,0.9,1.2,224,"B11","B","U111",1.1345,0.15,c(4.98198834, 49.26293631)
39582964,6,6.4,18.34,24,NA,25.8,2.7,141.6,NA,NA,204,"B55","B","U111",0.939,0.07,c(4.966865326, 49.67673409)
39583216,5.2,5.49,57.3,251.7,NA,96.3,22.1,283.8,NA,NA,-3,"E20","E","U111",0.594,0.29,c(4.716682082, 51.93563916)
39602980,3.6,4.07,13.96,117.8,NA,16,6.5,86.9,NA,NA,343,"C23","C","U120",0.793,0.39,c(4.979588433, 49.82145166)
39622348,6.5,6.96,28.82,91.3,9,17.7,8.1,366.4,NA,NA,1273,"E10","E","U111",0.507,0.28,c(5.519886903, 44.14546139)
39622352,7,7.13,26.5,98.3,101,15.2,5.2,203,NA,NA,1096,"C32","C","U420",0.389,0.79,c(5.517063108, 44.18146548)
39622376,7.3,7.81,21.77,40.1,257,NA,3,456.3,NA,NA,852,"D10","D","U111",0.821,0.46,c(5.500021148, 44.3974672)
39622388,6.9,7.56,25.2,39.8,353,21.3,3.9,515.8,NA,NA,1079,"E20","E","U111",1.1595,0.35,c(5.491435906, 44.50545353)
39622438,5,5.59,35.2,439.2,NA,89.8,19.2,377.4,NA,NA,1324,"C33","C","U120",0.1305,0.22,c(5.455195124, 44.95529468)
39622492,6.2,6.8,12.19,18.9,1,48.6,2,68.6,NA,NA,573,"B18","B","U111",1.45,0.15,c(5.415185927, 45.44094413)
39622514,7.1,7.48,40.8,109.8,494,23,8.2,44.5,NA,NA,292,"C10","C","U120",0.702,0.22,c(5.398620596, 45.63874984)
39622528,7.2,7.63,35.24,40.8,66,71.3,4.5,221.3,NA,NA,329,"B16","B","U111",1.1935,0.39,c(5.38799761, 45.76461107)
39622718,4.7,5.4,7.54,25.7,NA,12.6,1.9,185.6,NA,NA,350,"C10","C","U120",0.7125,0.23,c(5.237271669, 47.47163893)
39622726,7,7.69,19.3,24.5,41,94.6,2.9,418,NA,NA,329,"F40","F","U111",0.678,0.39,c(5.230645443, 47.54347213)
39622978,3.5,4.08,26.7,145.8,NA,47.7,8.6,187.1,NA,NA,314,"C10","C","U120",0.803,0.54,c(5.009186743, 49.80474076)
39642470,6,6.05,42.07,160.4,NA,27.6,14.3,164.6,NA,NA,385,"E20","E","U111",0.586,0.45,c(5.456993131, 45.24420887)
39642830,7.1,7.64,19.48,35.3,33,37.2,3.9,318.6,NA,NA,369,"B32","B","U111",0.937,0.2,c(5.169306205, 48.47820758)
39642992,4.3,4.92,9.37,70.2,NA,11,5.3,108.6,NA,NA,440,"C21","C","U120",0.749,0.29,c(5.023914853, 49.93151291)
39662496,7,7.17,83.84,134.6,161,27.9,13.3,134.8,NA,NA,437,"A30","A","U319",0.57,0.26,c(5.463193816, 45.4791156)
39662870,5.8,6.43,7.97,14.2,NA,44.8,1.7,162.7,NA,NA,313,"B32","B","U111",1.502,0.04,c(5.161594239, 48.8383312)
39662878,5.5,6.37,4.63,10.3,NA,15.2,1.1,135.8,NA,NA,301,"E30","E","U112",1.5825,0.07,c(5.154576725, 48.91011297)
39662924,6.6,6.95,39.2,56.1,70,NA,4.2,362.7,NA,NA,302,"C10","C","U120",0.7675,0.04,c(5.113722559, 49.3228076)
39663018,5,5.68,5.7,16.6,NA,22.2,1.9,73.6,NA,NA,224,"E20","E","U111",1.2055,0.25,c(5.027481981, 50.16588804)
39702792,7,7.53,32.53,33.4,5,93.1,3.6,856.6,2.2,3.1,438,"B32","B","U111",1.1375,0.14,c(5.282324354, 48.14062552)
39722740,6.7,7.26,15.56,23.5,5,60.7,2.6,266.1,NA,NA,324,"B13","B","U111",1.3795,0.12,c(5.351854237, 47.67490456)
39742788,6,6.5,10.75,35.2,NA,22.1,3.4,436.8,NA,NA,488,"E20","E","U111",0.985,0.11,c(5.339261598, 48.10700067)
39742824,7.1,7.74,17.28,22.5,8,25.6,2.6,486.6,NA,NA,382,"B13","B","U111",1.283,0.06,c(5.30932608, 48.43015856)
39742828,7.3,8.08,18.43,21.8,305,17.8,2.1,282,NA,NA,357,"B16","B","U111",1.298,0.2,c(5.305969753, 48.46606146)
39762280,6.8,7.04,23.6,119.3,9,16.3,6.7,301.5,NA,NA,582,"C10","C","U420",0.684,0.4,c(5.739729936, 43.54053321)
39762394,6.8,7.22,21.4,73.4,57,11.5,5.6,212.3,NA,NA,1289,"C32","C","U120",0.4875,0.51,c(5.662772828, 44.56690798)
39763194,7.2,7.85,13.31,17.2,8,67.7,2,174.3,NA,NA,3,"B22","B","U111",1.533,0.05,c(4.999818125, 51.74987818)
39782470,7.2,8.1,18.57,17.5,193,17.6,1.5,60.7,NA,NA,246,"B16","B","U111",1.406,0.02,c(5.634793279, 45.25173723)
39782614,5.6,5.9,14.24,35.3,NA,12.8,3.9,128.3,1.1,5.9,533,"E20","E","U111",0.973,0.06,c(5.529388996, 46.54637889)
39782890,6.9,7.5,19.7,19.9,4,43.1,2.3,407.9,1.8,2.6,351,"B13","B","U111",1.21,0.25,c(5.307743299, 49.02477425)
39783064,7.1,7.46,19.72,13.1,NA,36.3,1.5,259.7,NA,NA,221,"B21","B","U111",1.17,0.03,c(5.152973862, 50.58560494)
39783196,6,6.32,34.2,82.4,2,29.3,8.4,230.5,NA,NA,-2,"E20","E","U111",1.0255,0.15,c(5.02674845, 51.76903309)
39802484,5.8,6.3,11.65,34.3,1,21.4,3.8,64.6,NA,NA,502,"E20","E","U111",1.128,0.07,c(5.65028992, 45.37871235)
39802538,6.6,6.81,34.3,126.6,106,15.9,7.3,129.9,NA,NA,774,"C21","C","U120",0.4845,0.09,c(5.611518394, 45.86430972)
39802682,6.2,6.74,14.51,11.6,NA,19,1.4,111.8,NA,NA,354,"B16","B","U111",1.151,0.04,c(5.503594785, 47.15843364)
39802946,6.5,6.96,8.69,13.9,NA,33.2,1.5,261.5,NA,NA,231,"B11","B","U111",1.3675,0.11,c(5.286868665, 49.5283863)
39803036,6.2,6.8,5.3,12.7,NA,27.4,1.5,169,1,2.3,368,"B55","B","U111",1.312,0.25,c(5.206778358, 50.33568639)
39803096,6.7,7.04,26.4,27.2,7,100.2,2.9,581.5,NA,NA,73,"B72","B","U111",1.086,0.06,c(5.151465461, 50.87373688)
39803204,5.8,6.31,22.9,59.4,1,106.9,6.2,896.2,2.1,17.9,1,"E20","E","U111",1.0555,0.09,c(5.047798058, 51.84196423)
39822308,7.5,8.12,19.45,15,381,13.2,1.9,482,NA,NA,343,"B32","B","U111",1.4,0.31,c(5.795445266, 43.79576856)
39822552,5.9,6.3,26.9,196.6,3,18.3,9.7,196.5,NA,NA,1128,"C33","C","U120",0.363,0.59,c(5.627066173, 45.99123873)
39842378,7.4,8.09,13.93,13.9,258,NA,1,158.7,NA,NA,784,"D10","D","U420",1.107,0.41,c(5.773929145, 44.42702911)
39842492,5,5.4,8.11,35.4,NA,15.2,3.8,113.9,NA,NA,885,"E20","E","U111",1.1445,0.11,c(5.695593487, 45.45275589)
39842798,7.3,7.85,20.92,33.1,69,15.4,3.7,231.4,NA,NA,460,"B11","B","U111",1.115,0.15,c(5.465243247, 48.2023764)
39882450,7.4,7.85,16.36,45.2,131,12.1,2.7,177.8,NA,NA,338,"E20","E","U420",1.212,0.28,c(5.775543434, 45.07700279)
39882750,4.1,4.74,5.68,23.7,NA,NA,1.7,49.7,NA,NA,358,"C10","C","U120",1.1525,0.02,c(5.556720394, 47.7735497)
39882756,6.7,7.22,92.29,82.7,5,38.5,8.2,181.8,NA,NA,295,"E20","E","U111",0.7015,0.04,c(5.552043419, 47.82743327)
39882832,7.1,7.63,28.61,34.9,43,24.1,4.1,517.6,NA,NA,356,"B11","B","U111",0.681,0.16,c(5.491697908, 48.50981799)
39902596,7.1,7.55,25.33,50.6,393,NA,4.9,287.7,NA,NA,736,"E20","E","U111",0.962,0.35,c(5.698548948, 46.3909784)
39922842,6.9,7.58,21.63,26.8,17,25.2,2.9,378.3,NA,NA,426,"B32","B","U111",0.9125,0.2,c(5.537734468, 48.60177616)
39942574,5.9,6.14,75.7,259.1,NA,38.9,15.2,173.7,NA,NA,1135,"C33","C","U120",0.262,0.16,c(5.766073123, 46.19527614)
39942730,6.9,7.51,17.58,18.1,6,61.5,2.1,459.7,NA,NA,302,"B52","B","U111",1.02,0.12,c(5.651836363, 47.59712596)
39942766,4.4,4.98,5.99,20.7,NA,NA,1.3,35.4,NA,NA,428,"C21","C","U120",1.274,0.1,c(5.624337114, 47.9204592)
39943050,6.9,7.43,10.4,12.4,1,83.4,1.5,218,NA,NA,317,"B55","B","U111",1.419,0.04,c(5.390842141, 50.46932346)
39962440,5.6,6.22,14.89,36.9,1,19.1,4,109.5,NA,NA,1124,"E20","E","U111",1.1165,0.32,c(5.883508224, 44.9910514)
39982520,6,6.53,10.08,46.8,NA,NA,3.7,160,NA,NA,604,"C10","C","U120",0.8585,0.04,c(5.855080646, 45.71173339)
39982712,5.8,6.4,12.03,24.6,1,69.4,2.9,393.7,NA,NA,250,"B16","B","U111",1.1675,0.2,c(5.718338999, 47.43753027)
39982762,6.2,6.43,22.92,59.8,1,11.5,5.8,333.2,NA,NA,313,"E20","E","U111",1.1675,0.02,c(5.680793273, 47.88665118)
39982874,6.9,7.21,38.5,126.4,376,16.6,7.7,374.3,NA,NA,309,"C10","C","U120",0.645,0.13,c(5.593564805, 48.89227909)
39982916,5.5,5.99,35.37,86.3,NA,53.6,9.3,278.8,NA,NA,257,"E20","E","U111",0.6195,0.09,c(5.559689849, 49.2692571)
40002632,6.8,7.12,32,62.6,76,23.5,7.4,134.8,NA,NA,558,"E20","E","U111",0.7185,0.03,c(5.802811322, 46.71970533)
40002704,7.1,7.25,22.51,30.4,9,37.8,2.9,305.3,NA,NA,313,"B12","B","U111",1.078,0.23,c(5.750692989, 47.36669554)
40002938,6.8,7.35,17.25,19.4,6,65.5,2.2,372.9,NA,NA,364,"B55","B","U111",1.319,0.09,c(5.569227822, 49.46778171)
40022234,5,5.83,5.48,25.5,NA,NA,1.7,93.2,NA,NA,120,"C10","C","U420",1.001,0.2,c(6.088067969, 43.13882821)
40022388,6.3,6.76,12.67,26.6,NA,NA,3.2,99.1,NA,NA,1127,"E20","E","U111",0.9325,0.21,c(5.992911405, 44.52597365)
40022438,6,6.38,10.89,45.4,1,13.7,4.8,103.9,2,1.4,1102,"B52","B","U111",1.294,0.44,c(5.960679959, 44.97600582)
40022914,6.1,6.49,16.82,48.7,NA,31.4,5.3,267.7,1.7,3.5,250,"B32","B","U111",0.975,0.22,c(5.616168388, 49.25346297)
40042506,7.2,7.82,20.82,21.6,193,NA,2.1,197.2,0.6,1.2,431,"B55","B","U111",1.2555,0.22,c(5.94129953, 45.5887857)
40062714,4.1,4.88,6.8,19.2,NA,NA,1.4,52.9,NA,NA,302,"C10","C","U120",0.917,0.07,c(5.822736246, 47.45960948)
40062742,6.1,6.49,23.11,23.8,1,NA,2.7,115.2,1.1,3.4,309,"B32","B","U111",1.2525,0.08,c(5.802309939, 47.71115212)
40062904,7.4,7.68,16.25,18,10,36.9,2.2,453.2,1.9,1.4,252,"B32","B","U111",1.328,0.03,c(5.67894131, 49.1658316)
