"POINTID","SURVEY_DATE","Depth","pH_CaCl2","pH_H2O","EC","OC","OC..20.30.cm.","CaCO3","CaCO3..20.30.cm.","P","N","K","Ox_Al","Ox_Fe","Elev","NUTS_0","NUTS_1","NUTS_2","NUTS_3","TH_LAT","TH_LONG","LC","LU"
45723304,"07-07-18","0-20 cm",3.2,4.01,6,"32.1","","1",NA,"29.6","1.5","50.9",NA,NA,89,"DE","DE4","DE40","DE405",52.78700375,13.72206815,"C10","U120"
45723316,"07-07-18","0-20 cm",3.4,4.2,6.95,"40.2","","1",NA,"12.8","2.3","59.3",NA,NA,56,"DE","DE4","DE40","DE405",52.89467718,13.73126358,"C31","U420"
45723664,"05-08-18","0-20 cm",3.5,4.16,11.28,"69.9","","1",NA,"43.2","3.9","69",NA,NA,31,"SE","SE2","SE22","SE224",56.01672618,14.02430985,"C31","U120"
45723772,"29-08-18","0-20 cm",4.2,4.56,22.3,"36.4","",NA,NA,"34.8","3","65.1",NA,NA,178,"SE","SE2","SE21","SE212",56.9856427,14.12695483,"C21","U120"
45723844,"07-08-18","0-20 cm",4.4,5.25,2.78,"4.7","",NA,NA,"< LOD","0.3","20.8",NA,NA,208,"SE","SE2","SE21","SE211",57.63164496,14.19891872,"F40","U140"
45724000,"07-08-18","0-20 cm",3.1,3.82,21.7,"492.5","","1",NA,"25.4","16.8","238.3",NA,NA,-3,"SE","SE1","SE12","SE124",59.03157224,14.36549426,"C10","U120"
45724432,"07-07-18","0-20 cm",4.8,5.41,13.35,"139.9","","2",NA,"18.1","5.5","142.1",NA,NA,10384,"SE","SE3","SE32","SE322",62.91143039,14.91974344,"C31","U120"
45724726,"22-07-18","0-20 cm",4,4.78,9.54,"54.7","",NA,NA,"27.7","2.8","71.8",NA,NA,387,"SE","SE3","SE33","SE331",65.55589833,15.40078257,"C21","U120"
45742046,"21-05-18","0-20 cm",7.5,8.3,28.88,"24.8","","377",NA,"58.2","2.6","791",NA,NA,53,"IT","ITI","ITI4","ITI44",41.46996371,13.01741661,"B43","U111"
45742268,"05-07-18","0-20 cm",7.4,7.85,14.33,"7.7","","287",NA,"< LOD","0.9","161.1",NA,NA,377,"IT","ITI","ITI3","ITI32",43.47318366,13.11971082,"B12","U111"
45742532,"07-06-18","0-20 cm",7.3,7.84,19.73,"30.1","","181",NA,"< LOD","1.3","97.9",2,5.5,49,"IT","ITH","ITH4","ITH42",45.85101084,13.25420582,"B13","U111"
45742568,"09-06-18","0-20 cm",4.1,4.46,17.99,"23.5","",NA,NA,"< LOD","2.1","75.9",NA,NA,233,"IT","ITH","ITH4","ITH42",46.17494248,13.27374174,"C10","U120"
45742754,"30-05-18","0-20 cm",4.8,5.26,16.82,"39","","3",NA,"10","3.4","146.3",NA,NA,670,"AT","AT3","AT31","AT315",47.84755543,13.37971804,"C31","U120"
45742934,"17-07-18","0-20 cm",3.7,4.33,9.61,"32.5","","1",NA,"24.8","1.9","93.5",NA,NA,531,"CZ","CZ0","CZ03","CZ032",49.46479902,13.49103053,"C21","U120"
45742960,"07-08-18","0-20 cm",4.1,4.59,26.1,"138.3","","5",NA,"29.4","7","133.3",NA,NA,372,"CZ","CZ0","CZ03","CZ032",49.69830444,13.50788273,"C21","U120"
45743036,"07-08-18","0-20 cm",6,6.69,11.2,"18.7","",NA,NA,"18.1","2","268.9",NA,NA,288,"CZ","CZ0","CZ04","CZ042",50.38073834,13.55833434,"B11","U111"
45743122,"25-09-18","0-20 cm",5.6,5.9,5.48,"86.6","","3",NA,"24.8","6.9","87",NA,NA,170,"DE","DED","DED2","DED2E",51.15277261,13.61765849,"C10","U420"
45743266,"24-07-18","0-20 cm",4.5,5.26,6.81,"31","","2",NA,"14","1.6","22.6",NA,NA,46,"DE","DE3","DE30","DE300",52.44510881,13.72269239,"C22","U120"
45743608,"25-09-18","0-20 cm",6.7,7.24,17.91,"8.7","","1",NA,"122.1","1","95.7",NA,NA,66,"SE","SE2","SE22","SE224",55.51335316,14.00503424,"B32","U111"
45743654,"10-08-18","0-20 cm",6.4,6.93,18.47,"11.2","",NA,NA,"89.9","1.4","157.8",NA,NA,-10,"SE","SE2","SE22","SE224",55.92600813,14.04703958,"B13","U111"
45743672,"11-08-18","0-20 cm",6.9,7.63,18.29,"14.1","","26",NA,"14.9","1.6","102.1",0.9,1.7,-28,"SE","SE2","SE22","SE224",56.0874836,14.06376471,"B12","U111"
45743828,"25-09-18","0-10 cm",4.2,4.62,5.17,"42.6","",NA,NA,"21.1","1.8","38.5",NA,NA,228,"SE","SE2","SE21","SE211",57.48702883,14.21592453,"C23","U120"
45743942,"25-08-18","0-20 cm",3,3.89,12.83,"179.5","","1",NA,"118.1","6.9","135.4",NA,NA,147,"SE","SE2","SE23","SE232",58.50994888,14.33597077,"C23","U120"
45743960,"18-10-18","0-20 cm",4.8,5.63,10.77,"32.3","",NA,NA,"16.8","3.4","89.2",NA,NA,135,"SE","SE2","SE23","SE232",58.67148161,14.35566581,"E10","U111"
45743978,"20-09-18","0-20 cm",2.9,3.88,9.92,"129.2","",NA,NA,"17.1","3.8","139",NA,NA,189,"SE","SE2","SE23","SE232",58.83302032,14.37557161,"C22","U120"
45744008,"07-08-18","0-20 cm",3.3,4.14,23.4,"412.2","",NA,NA,"60.6","14.1","316.4",NA,NA,97,"SE","SE1","SE12","SE124",59.10226549,14.40922535,"C31","U120"
45744058,"17-10-18","0-20 cm",3.4,4.36,4.92,"55.3","","1",NA,"16.8","2.4","72.9",NA,NA,251,"SE","SE3","SE31","SE311",59.55104942,14.46667988,"C31","U120"
45744224,"19-08-18","0-20 cm",3.3,4.15,5.77,"46.6","","1",NA,"10","2.3","58",NA,NA,347,"SE","SE3","SE31","SE312",61.04145619,14.67061,"C22","U120"
45744230,"19-08-18","0-20 cm",3.7,4.44,5.92,"58.8","","1",NA,"11.9","2.9","71",NA,NA,355,"SE","SE3","SE31","SE312",61.09534084,14.67838687,"C22","U120"
45744266,"21-08-18","0-20 cm",3.1,4.12,11.48,"461.3","","6",NA,"36.3","16.1","584.8",NA,NA,520,"SE","SE3","SE31","SE312",61.41867233,14.72568213,"C31","U120"
45744292,"08-08-18","0-20 cm",4.3,5.07,2.7,"19.5","","1",NA,"11.7","0.9","27.4",NA,NA,420,"SE","SE3","SE31","SE313",61.65221549,14.76053062,"C21","U120"
45744320,"11-08-18","0-20 cm",3.4,4.24,10.24,"164.9","",NA,NA,"30.5","7.5","42",NA,NA,511,"SE","SE3","SE32","SE322",61.90374887,14.79872661,"C31","U120"
45744346,"14-08-18","0-20 cm",3.7,4.45,3.2,"13.5","","1",NA,"11.2","0.7","24.5",NA,NA,370,"SE","SE3","SE32","SE322",62.13733992,14.83482973,"C22","U120"
45744436,"07-07-18","0-20 cm",4.1,4.61,7.31,"85.3","","1",NA,"26.8","3.1","164.9",NA,NA,10447,"SE","SE3","SE32","SE322",62.94611597,14.96475625,"C21","U120"
45762134,"18-07-18","0-20 cm",7,7.6,16.75,"15.5","","20",NA,"< LOD","1.9","80.9",NA,NA,739,"IT","ITI","ITI4","ITI42",42.26374329,13.08101475,"E20","U111"
45762138,"18-07-18","0-20 cm",7,7.29,42.3,"70","","18",NA,"< LOD","4.5","346.5",NA,NA,1195,"IT","ITI","ITI4","ITI42",42.29984274,13.08285587,"C10","U120"
