"POINTID","SURVEY_DATE","Depth","pH_CaCl2","pH_H2O","EC","OC","OC..20.30.cm.","CaCO3","CaCO3..20.30.cm.","P","N","K","Ox_Al","Ox_Fe","Elev","NUTS_0","NUTS_1","NUTS_2","NUTS_3","TH_LAT","TH_LONG","LC","LU"
29062002,"16-05-18","0-20 cm",6.1,6.71,8.09,"20.7","",NA,NA,"30","2.3","371",NA,NA,402,"ES","ES4","ES43","ES432",39.71516222,-6.558504854,"E20","U111"
29062134,"13-06-18","0-20 cm",4.4,5.03,7.11,"10.6","",NA,NA,"< LOD","1.3","52.3",NA,NA,715,"PT","PT1","PT16","PT16J",40.87717456,-6.869164101,"E30","U112"
29062458,"17-06-18","0-20 cm",3.8,4.54,15.04,"125.1","","1",NA,"< LOD","6.7","96.4",NA,NA,122,"ES","ES1","ES11","ES112",43.71679564,-7.70249205,"C10","U120"
29081706,"29-06-18","0-20 cm",7.5,7.74,19.94,"11","","299",NA,"14","1.3","644.1",0.6,0.8,57,"ES","ES6","ES61","ES618",37.10227564,-5.893322727,"B34","U111"
29081716,"19-06-18","0-20 cm",7.7,8.14,29.9,"9.5","","103",NA,"60.1","1.1","503.9",NA,NA,72,"ES","ES6","ES61","ES618",37.19093008,-5.913899227,"B34","U111"
29081976,"25-04-18","0-20 cm",4.6,4.87,8.09,"3.7","",NA,NA,"< LOD","0.5","48.1",NA,NA,432,"ES","ES4","ES43","ES432",39.48983509,-6.476387604,"E20","U111"
29082210,"09-08-18","0-20 cm",5.1,5.85,9.58,"19.6","","1",NA,"< LOD","1.8","161.6",NA,NA,611,"PT","PT1","PT11","PT11E",41.54891968,-7.031841889,"C10","U120"
29082220,"17-08-18","0-20 cm",5.4,6.1,4.87,"13.1","5.7",NA,NA,"20.3","1.3","187.1",NA,NA,405,"PT","PT1","PT11","PT11E",41.636707,-7.056708756,"E30","U112"
29082238,"17-08-18","0-20 cm",4.3,5.4,3.13,"18.6","",NA,NA,"< LOD","1.5","123.4",NA,NA,733,"PT","PT1","PT11","PT11E",41.79468135,-7.101713074,"D10","U120"
29082270,"13-07-18","0-20 cm",3.8,5.01,8.55,"47.7","","3",NA,"12.1","3.6","117.8",NA,NA,1123,"ES","ES1","ES11","ES113",42.0753887,-7.182503372,"D20","U111"
29082288,"16-07-18","0-20 cm",4.2,5,6.29,"89.9","",NA,NA,"25.8","4.4","101.3",NA,NA,1222,"ES","ES1","ES11","ES113",42.23321012,-7.228393409,"D20","U420"
29082342,"25-04-18","0-20 cm",4.5,5.06,29.4,"59.4","",NA,NA,"< LOD","5.6","157.7",NA,NA,731,"ES","ES1","ES11","ES112",42.70634398,-7.368023646,"C10","U420"
29082382,"29-05-18","0-20 cm",4,4.54,13.81,"50.7","",NA,NA,"< LOD","3","152.6",NA,NA,599,"ES","ES1","ES11","ES112",43.05649378,-7.473387089,"C10","U120"
29082418,"27-05-18","0-20 cm",4.3,4.6,29.5,"83","","1",NA,"119.7","7.4","180.7",NA,NA,691,"ES","ES1","ES11","ES112",43.37139568,-7.569654223,"E20","U111"
29101954,"11-07-18","0-20 cm",5.4,6.19,8.87,"21.2","",NA,NA,"< LOD","2.5","247",NA,NA,426,"ES","ES4","ES43","ES432",39.29965161,-6.403980721,"E20","U111"
29102034,"19-06-18","0-20 cm",6.3,6.46,9.09,"14.2","","2",NA,"57.9","1.7","118.6",NA,NA,332,"ES","ES4","ES43","ES432",40.00501396,-6.586578765,"B55","U111"
29102206,"09-08-18","0-20 cm",5.8,6.42,4.01,"5","2.8",NA,NA,"24.3","0.6","39.5",0.5,0.4,619,"PT","PT1","PT11","PT11E",41.51784815,-6.998495697,"B81","U111"
29102286,"16-07-18","0-20 cm",4.1,4.55,72.87,"85.4","",NA,NA,"35.5","8.4","274.8",NA,NA,1095,"ES","ES1","ES11","ES113",42.21977986,-7.199600359,"E20","U111"
29102326,"02-08-18","0-20 cm",3.6,4.16,8.64,"66.1","",NA,NA,"< LOD","3.5","38.9",NA,NA,829,"ES","ES1","ES11","ES112",42.57033853,-7.302535454,"C22","U120"
29122050,"17-06-18","0-20 cm",4.8,5.75,3.95,"11.2","","1",NA,"< LOD","1.1","52.6",NA,NA,404,"ES","ES4","ES43","ES432",40.1498963,-6.600808125,"C10","U120"
29122076,"27-06-18","0-20 cm",4.8,5.65,5.98,"19","","1",NA,"17.7","2.1","184.7",NA,NA,891,"ES","ES4","ES41","ES415",40.37884915,-6.661643553,"E20","U111"
29122112,"20-05-18","0-20 cm",4.9,5.54,7.29,"12.3","",NA,NA,"< LOD","1.4","72.1",NA,NA,775,"ES","ES4","ES41","ES415",40.69567099,-6.74687852,"E20","U111"
29122266,"18-05-18","0-20 cm",3.7,4.82,4.75,"89.5","",NA,NA,"< LOD","4.4","95.8",5,14.3,1009,"ES","ES1","ES11","ES113",42.04848211,-7.125117392,"D20","U420"
29122288,"16-07-18","0-20 cm",4.5,5.19,6.97,"41.3","",NA,NA,"< LOD","3.7","70.2",NA,NA,869,"ES","ES1","ES11","ES113",42.24141281,-7.181021443,"E20","U111"
29122342,"25-04-18","0-20 cm",4.1,4.42,32.4,"99.8","",NA,NA,"11.2","6.3","67.1",NA,NA,812,"ES","ES1","ES11","ES112",42.71462237,-7.3203035,"C22","U120"
29122396,"30-05-18","0-20 cm",4.5,4.68,34.81,"35.7","",NA,NA,"15.9","3.7","242.4",NA,NA,451,"ES","ES1","ES11","ES112",43.18733759,-7.462585722,"E20","U111"
29122450,"16-06-18","0-20 cm",4.5,4.97,25.41,"29.6","",NA,NA,"28.5","3","74",NA,NA,87,"ES","ES1","ES11","ES112",43.65955772,-7.607956372,"B71","U113"
29141956,"11-07-18","0-20 cm",5.3,6.02,8.03,"14","",NA,NA,"19.7","1.8","133.8",NA,NA,454,"ES","ES4","ES43","ES432",39.32505941,-6.363106919,"B13","U111"
29142064,"27-06-18","0-20 cm",3.8,4.72,4.33,"62","",NA,NA,"10.6","3.3","47",NA,NA,1157,"ES","ES4","ES41","ES415",40.27713752,-6.610489806,"C22","U120"
29142088,"05-07-18","0-20 cm",5.3,5.89,12.25,"31.6","",NA,NA,"< LOD","3.6","89.2",NA,NA,748,"ES","ES4","ES41","ES415",40.48844081,-6.66685274,"E20","U111"
29142114,"31-05-18","0-20 cm",4.6,5.12,16.17,"32.7","","1",NA,"< LOD","3.5","95.2",NA,NA,743,"ES","ES4","ES41","ES415",40.71724237,-6.728497886,"E20","U111"
29142340,"17-06-18","0-20 cm",4.6,5.12,28.9,"31.6","","2",NA,"< LOD","2.9","140.8",NA,NA,937,"ES","ES1","ES11","ES112",42.70123429,-7.291233993,"C10","U120"
29142438,"06-06-18","0-20 cm",3.9,4.8,22.5,"155.5","","1",NA,"11.2","10.4","130.1",NA,NA,585,"ES","ES1","ES11","ES112",43.55886276,-7.551197859,"D20","U415"
29161684,"19-06-18","0-20 cm",7.5,7.96,23,"11.9","","73",NA,"< LOD","1.3","458.4",1.5,2.4,173,"ES","ES6","ES61","ES612",36.92206541,-5.760540073,"E30","U112"
29161714,"19-06-18","0-20 cm",7.3,7.69,16.01,"10.8","","128",NA,"26.2","1.3","187.8",NA,NA,93,"ES","ES6","ES61","ES618",37.18815835,-5.821686321,"F40","U112"
29161738,"13-06-18","0-20 cm",7.5,8.14,15.26,"5.2","","130",NA,"< LOD","0.7","195.7",0.7,1,76,"ES","ES6","ES61","ES618",37.40091942,-5.871087707,"B13","U111"
29161918,"06-08-18","0-20 cm",6.8,6.95,17.5,"12","","1",NA,"41.8","1.1","278.3",0.4,0.7,365,"ES","ES4","ES43","ES431",38.99344449,-6.255847438,"B81","U111"
29162146,"28-06-18","0-20 cm",5,5.91,2.34,"8.8","",NA,NA,"10","1.1","78.7",NA,NA,643,"ES","ES4","ES41","ES415",41.00267893,-6.781966353,"E20","U111"
29162260,"18-05-18","0-20 cm",4,4.19,25.01,"54.7","",NA,NA,"29.9","3.6","107.4",8.5,5.1,1084,"ES","ES1","ES11","ES113",42.0039924,-7.062748973,"B14","U111"
29162278,"19-05-18","0-20 cm",4.4,5.09,3.53,"19.8","","1",NA,"21.7","2","87.9",NA,NA,854,"ES","ES1","ES11","ES113",42.1618939,-7.108231422,"D10","U420"
29181638,"24-07-18","0-20 cm",4.9,5.85,7.13,"34.4","","1",NA,"< LOD","2.7","338.2",NA,NA,507,"ES","ES6","ES61","ES612",36.51743459,-5.646238452,"C10","U120"
29181758,"18-06-18","0-20 cm",7.3,7.66,22.37,"13.4","","186",NA,"22.3","1.2","726.4",0.6,0.6,67,"ES","ES6","ES61","ES618",37.58189481,-5.890443596,"B34","U111"
29181908,"09-07-18","0-20 cm",6,6.32,11.83,"8.4","","2",NA,"17.4","1","72.4",NA,NA,304,"ES","ES4","ES43","ES431",38.9089554,-6.211235434,"F40","U112"
29182100,"01-06-18","0-20 cm",5.5,6.14,8.25,"3.8","","1",NA,"14.9","0.5","51.8",NA,NA,738,"ES","ES4","ES41","ES415",40.60197479,-6.649004014,"E20","U111"
29182186,"10-08-18","0-20 cm",5.1,5.91,2.93,"5","3.7",NA,NA,"11.4","0.6","64",0.9,2,571,"PT","PT1","PT11","PT11E",41.35827993,-6.855703558,"B81","U111"
29182286,"14-07-18","0-20 cm",4.9,5.46,10.72,"58.5","","2",NA,"< LOD","4.8","152.8",NA,NA,1173,"ES","ES1","ES11","ES113",42.23613532,-7.104859374,"C22","U120"
29182322,"03-08-18","0-20 cm",3.3,4.33,8.64,"97.5","","3",NA,"< LOD","4.2","64.5",NA,NA,1219,"ES","ES1","ES11","ES112",42.55175059,-7.196965045,"C22","U120"
29182358,"28-04-18","0-20 cm",5.9,6.18,34.9,"28","","1",NA,"52.4","2.9","192.8",NA,NA,547,"ES","ES1","ES11","ES112",42.86714733,-7.290385551,"E20","U111"
29201666,"28-05-18","0-20 cm",7.5,8.21,12.49,"7.1","","21",NA,"10.7","0.7","215.8",1.1,1.2,178,"ES","ES6","ES61","ES612",36.76972938,-5.68036453,"B12","U111"
29201738,"14-06-18","0-20 cm",7.3,7.97,15.31,"10.2","","8",NA,"< LOD","1","189.8",1.1,2.1,100,"ES","ES6","ES61","ES618",37.40839424,-5.826902789,"B11","U111"
29202138,"06-07-18","0-20 cm",5.2,5.93,7.38,"13.3","",NA,NA,"60.8","1.5","240.7",NA,NA,740,"ES","ES4","ES41","ES415",40.94028611,-6.716263901,"E20","U111"
29202218,"17-08-18","0-20 cm",4.1,5.23,3.07,"28.6","",NA,NA,"< LOD","2.8","56.9",NA,NA,1169,"PT","PT1","PT11","PT11E",41.64340585,-6.910904605,"E30","U112"
29202350,"29-04-18","0-20 cm",3.9,3.97,31,"86.9","","1",NA,"20.8","6.1","129.5",NA,NA,996,"ES","ES1","ES11","ES112",42.80119771,-7.245611181,"C10","U420"
29221700,"08-06-18","0-20 cm",7.4,7.75,17.74,"15.5","","248",NA,"15.2","1.4","598.5",NA,NA,125,"ES","ES6","ES61","ES618",37.07514259,-5.727088615,"B12","U111"
29221704,"08-06-18","0-20 cm",7.4,8.1,17.72,"16.9","","326",NA,"43.7","1.7","975",NA,NA,91,"ES","ES6","ES61","ES618",37.11062615,-5.735218825,"B12","U111"
29221830,"01-07-18","0-20 cm",7.3,7.55,7.81,"8.5","","2",NA,"12.7","0.9","98.8",0.5,1.2,694,"ES","ES4","ES43","ES431",38.22693699,-5.997517287,"B15","U111"
29221852,"23-06-18","0-20 cm",6,6.92,4.35,"6.8","",NA,NA,"< LOD","0.4","81.1",NA,NA,552,"ES","ES4","ES43","ES431",38.4215674,-6.044577545,"F40","U112"
29221982,"07-05-18","0-20 cm",5,5.83,3.68,"16.3","","1",NA,"12.3","2","120.3",NA,NA,397,"ES","ES4","ES43","ES432",39.56996583,-6.330673333,"C10","U120"
29222168,"18-08-18","0-20 cm",4.3,5.41,3.22,"21.6","",NA,NA,"< LOD","1.2","36.1",NA,NA,862,"PT","PT1","PT11","PT11D",41.20807248,-6.765225705,"E30","U112"
29222176,"18-08-18","0-20 cm",5.1,5.83,12.41,"35.6","",NA,NA,"12.3","4","121.4",NA,NA,593,"PT","PT1","PT11","PT11E",41.27839779,-6.784619099,"E20","U111"
29222204,"28-04-18","0-20 cm",6.3,6.68,14.29,"27.2","26.4",NA,NA,"< LOD","2.4","80.2",NA,NA,635,"PT","PT1","PT11","PT11E",41.52445163,-6.852970121,"E20","U111"
29222266,"18-05-18","0-20 cm",5.7,6.12,108.76,"49.1","",NA,NA,"122.6","4.8","1979.2",NA,NA,1299,"ES","ES4","ES41","ES419",42.0688161,-7.006988671,"E20","U111"
29222276,"19-05-18","0-20 cm",4.5,5.41,4.11,"57","",NA,NA,"< LOD","4.2","102.3",NA,NA,1244,"ES","ES1","ES11","ES113",42.15655632,-7.03218093,"D20","U420"
29222392,"04-06-18","0-20 cm",4.9,5.1,44.2,"39.8","","1",NA,"65.5","3.6","181.5",NA,NA,557,"ES","ES1","ES11","ES112",43.17311481,-7.331767882,"D10","U420"
29242332,"03-08-18","0-20 cm",4.2,4.83,4.23,"31.3","","1",NA,"68.4","3.1","37.8",NA,NA,915,"ES","ES1","ES11","ES112",42.65168689,-7.151251635,"C10","U420"
29242340,"17-06-18","0-20 cm",4,4.17,27.8,"48.8","","1",NA,"25","3.9","135.6",NA,NA,1268,"ES","ES1","ES11","ES112",42.7217973,-7.171900615,"C10","U120"
29242344,"29-05-18","0-20 cm",4.5,4.59,122.5,"88.4","",NA,NA,"91.1","9","396.9",NA,NA,1080,"ES","ES1","ES11","ES112",42.75684848,-7.182249589,"E20","U111"
29261662,"28-05-18","0-10 cm",7.7,8.15,22.6,"16.4","","183",NA,"< LOD","1.2","435.3",NA,NA,222,"ES","ES6","ES61","ES612",36.74526991,-5.606641389,"B12","U111"
29261670,"28-05-18","0-20 cm",7.5,7.65,16.28,"15.4","","65",NA,"30.9","1.8","749.4",NA,NA,192,"ES","ES6","ES61","ES612",36.81629604,-5.622648575,"B12","U111"
29261730,"22-05-18","0-20 cm",7.5,8.02,15.2,"7.3","","111",NA,"< LOD","0.9","362.8",NA,NA,99,"ES","ES6","ES61","ES618",37.34863645,-5.744200879,"B41","U111"
29261832,"01-07-18","0-20 cm",7.3,7.77,13.91,"9.2","","5",NA,"19.5","1","163.8",NA,NA,655,"ES","ES4","ES43","ES431",38.25218456,-5.957074641,"F40","U112"
29262144,"06-07-18","0-20 cm",4.5,5.49,2.26,"10.5","",NA,NA,"27.4","0.9","30.1",NA,NA,746,"ES","ES4","ES41","ES415",41.00496435,-6.660892231,"E20","U111"
29262270,"18-05-18","0-20 cm",5,5.72,4.39,"26.1","",NA,NA,"< LOD","2.4","64.2",NA,NA,1282,"ES","ES4","ES41","ES419",42.1120145,-6.969757339,"D10","U420"
29262306,"15-07-18","0-20 cm",4,4.65,6.57,"64.2","",NA,NA,"< LOD","2.6","60.4",NA,NA,636,"ES","ES1","ES11","ES113",42.427826,-7.06082529,"C32","U120"
29262336,"17-06-18","0-20 cm",3.7,3.83,25.07,"27.6","",NA,NA,"13","3","75.8",NA,NA,1307,"ES","ES1","ES11","ES112",42.69083645,-7.137705641,"D20","U420"
29262342,"17-06-18","0-20 cm",4.3,4.69,34.1,"29.2","",NA,NA,"< LOD","3.2","101.4",NA,NA,1181,"ES","ES1","ES11","ES112",42.74342044,-7.153191141,"C10","U120"
29281750,"30-07-18","0-20 cm",7.6,8.16,14.45,"9.4","","33",NA,"19.9","0.9","226.8",NA,NA,105,"ES","ES6","ES61","ES618",37.52966525,-5.763180488,"B13","U111"
29281840,"01-07-18","0-20 cm",7.4,7.95,20,"6.6","","9",NA,"< LOD","0.9","93.8",0.5,1.7,636,"ES","ES4","ES43","ES431",38.32674739,-5.951734048,"B15","U111"
29281846,"01-07-18","0-20 cm",7.4,7.78,14.82,"11.5","","39",NA,"15.6","1","448.7",NA,NA,625,"ES","ES4","ES43","ES431",38.37983676,-5.96452855,"B82","U111"
29282026,"18-06-18","0-20 cm",5.4,5.91,32.84,"30.6","",NA,NA,"15.1","3.1","84.3",NA,NA,341,"ES","ES4","ES43","ES432",39.96966888,-6.36200049,"B55","U111"
29282088,"20-05-18","0-20 cm",4.9,5.41,9.9,"17.5","","1",NA,"11.1","2","41.9",NA,NA,845,"ES","ES4","ES41","ES415",40.51600911,-6.505275509,"E20","U111"
29282160,"08-06-18","0-20 cm",5,5.73,5.48,"7.8","",NA,NA,"18.2","1","38.5",NA,NA,748,"ES","ES4","ES41","ES415",41.14965817,-6.675975109,"E20","U111"
29282182,"10-08-18","0-20 cm",5.1,6.03,5.11,"16","",NA,NA,"28.8","1.9","134.9",NA,NA,740,"PT","PT1","PT11","PT11E",41.34309981,-6.729083303,"E10","U111"
29282340,"17-06-18","0-20 cm",3.8,3.84,37.6,"56.6","","1",NA,"17.9","5.1","134.6",NA,NA,1279,"ES","ES1","ES11","ES112",42.72998333,-7.12414695,"C23","U120"
29301690,"08-06-18","0-20 cm",7.4,7.84,22.1,"13","","452",NA,"20","1.4","669.4",NA,NA,127,"ES","ES6","ES61","ES618",37.00118306,-5.61891898,"B12","U111"
29301726,"22-05-18","0-20 cm",7.4,7.99,14.57,"10.5","","146",NA,"11.8","1.1","528.8",NA,NA,103,"ES","ES6","ES61","ES618",37.32057666,-5.691872663,"B12","U111"
29302094,"13-07-18","0-20 cm",6.3,6.29,9.24,"14.2","",NA,NA,"44.4","1.5","191.8",NA,NA,685,"ES","ES4","ES41","ES415",40.57276698,-6.49621084,"E20","U111"
29302234,"20-08-18","0-20 cm",4.7,5.52,6.03,"20.5","","1",NA,"< LOD","1.4","81.7",NA,NA,944,"PT","PT1","PT11","PT11E",41.80401539,-6.832883439,"C33","U120"
29302338,"29-05-18","0-20 cm",5.2,5.57,31.4,"43.2","","1",NA,"61.8","4.8","157.8",NA,NA,1167,"ES","ES1","ES11","ES112",42.71653714,-7.095117011,"E20","U111"
29321682,"08-06-18","0-20 cm",7.5,7.73,17.23,"11.4","","505",NA,"18.8","1.7","539.9",0.7,0.7,212,"ES","ES6","ES61","ES618",36.93384941,-5.580878747,"B12","U111"
29321686,"08-06-18","0-20 cm",7.5,7.71,11.76,"5.8","","11",NA,"< LOD","0.7","81.9",0.8,0.9,208,"ES","ES6","ES61","ES618",36.96935643,-5.588903542,"B13","U111"
29321704,"04-06-18","0-20 cm",7.5,7.64,14.7,"11.2","","193",NA,"12.9","1","591",NA,NA,135,"ES","ES6","ES61","ES618",37.12910366,-5.625160261,"B31","U111"
29321746,"18-05-18","0-20 cm",6.9,7.78,14.04,"5.1","","2",NA,"28.1","0.5","81.2",NA,NA,144,"ES","ES6","ES61","ES618",37.50162898,-5.710692288,"B81","U111"
29322088,"04-07-18","0-20 cm",4.8,5.61,4.49,"14.9","",NA,NA,"< LOD","1.8","69.4",NA,NA,835,"ES","ES4","ES41","ES415",40.52383718,-6.459088111,"E20","U111"
29322114,"13-07-18","0-20 cm",4.4,5.29,4.14,"15.8","","1",NA,"< LOD","1.7","92.1",NA,NA,795,"ES","ES4","ES41","ES415",40.75278835,-6.520030077,"C10","U120"
29322312,"08-08-18","0-20 cm",3.5,4.11,7.44,"126.5","",NA,NA,"< LOD","5.7","76.7",NA,NA,1264,"ES","ES1","ES11","ES113",42.49263551,-7.00475849,"C32","U120"
29322340,"18-06-18","0-20 cm",4.2,4.27,42.88,"59","",NA,NA,"61.6","5.8","245.3",NA,NA,1205,"ES","ES1","ES11","ES112",42.73814694,-7.076381715,"E20","U111"
29322406,"25-06-18","0-20 cm",4.1,4.52,17.98,"40.3","","3",NA,"15.2","4","100.2",NA,NA,452,"ES","ES1","ES11","ES112",43.31633524,-7.248382244,"C10","U120"
29322442,"26-06-18","0-20 cm",3.3,4.18,12.31,"134.5","",NA,NA,"< LOD","5.8","87.3",NA,NA,91,"ES","ES1","ES11","ES112",43.63140426,-7.344123942,"C10","U120"
29341684,"08-06-18","0-20 cm",7.5,7.76,21.37,"12.1","","162",NA,"13.1","1.2","446.4",NA,NA,237,"ES","ES6","ES61","ES618",36.95527252,-5.562924478,"B12","U111"
29341696,"11-06-18","0-20 cm",7.6,8.38,14.6,"10.6","","62",NA,"< LOD","0.9","266.9",NA,NA,205,"ES","ES6","ES61","ES618",37.0617876,-5.587020112,"B31","U111"
29341706,"04-06-18","0-20 cm",7.5,7.6,15.23,"13.7","","110",NA,"16.3","1.4","589.9",NA,NA,131,"ES","ES6","ES61","ES618",37.15053111,-5.607180521,"F40","U112"
29341948,"13-07-18","0-20 cm",5.4,6.55,12.59,"12.5","",NA,NA,"12.7","1.6","65.1",NA,NA,526,"ES","ES4","ES43","ES432",39.29289178,-6.118408757,"E20","U111"
29341966,"05-05-18","0-20 cm",5.7,6.41,8.96,"15.3","",NA,NA,"10.5","1.7","130.8",NA,NA,491,"ES","ES4","ES43","ES432",39.45184307,-6.158305661,"F40","U112"
29342128,"11-07-18","0-20 cm",5.1,5.87,4.82,"7.9","","1",NA,"10.8","1.1","87.3",NA,NA,814,"ES","ES4","ES41","ES415",40.87995431,-6.529879053,"B55","U111"
29342170,"13-08-18","0-20 cm",4.8,6.06,2.35,"4","",NA,NA,"< LOD","0.6","78.3",NA,NA,698,"ES","ES4","ES41","ES415",41.24948849,-6.630026607,"B81","U111"
29342200,"20-08-18","0-20 cm",5.5,6.18,4.44,"16.1","6.3",NA,NA,"< LOD","1.9","78",NA,NA,557,"PT","PT1","PT11","PT11E",41.51326139,-6.702561032,"E20","U111"
29342206,"20-08-18","0-20 cm",5.9,6.41,15.88,"14.1","13.4",NA,NA,"70.9","1.5","177.5",1.6,1.8,654,"PT","PT1","PT11","PT11E",41.56599797,-6.71716932,"B72","U111"
29342236,"20-08-18","0-20 cm",5.3,6.46,2.77,"7.3","",NA,NA,"27.7","0.7","28.4",0.4,1.7,786,"PT","PT1","PT11","PT11E",41.82959097,-6.790723619,"B14","U111"
29342272,"18-05-18","0-20 cm",3.9,4.26,29,"83.1","",NA,NA,"22.5","7.5","73.8",NA,NA,1469,"ES","ES4","ES41","ES419",42.1457048,-6.880131372,"D20","U111"
29342300,"15-07-18","0-20 cm",4.4,5.2,3.49,"70.3","","1",NA,"15.4","3.9","76.5",NA,NA,1142,"ES","ES1","ES11","ES113",42.39142203,-6.950546825,"C22","U120"
29342332,"27-06-18","0-20 cm",4.3,4.77,20.1,"29.4","",NA,NA,"< LOD","3.2","103",NA,NA,1136,"ES","ES1","ES11","ES112",42.67208198,-7.03197634,"C10","U420"
29342336,"17-06-18","0-20 cm",4.6,4.86,49.4,"71.8","","1",NA,"36.3","7","144.5",NA,NA,1335,"ES","ES1","ES11","ES112",42.7071525,-7.042227449,"C10","U420"
29342404,"27-06-18","0-20 cm",4.1,4.38,11.32,"82.7","","3",NA,"< LOD","5.2","57.1",NA,NA,331,"ES","ES1","ES11","ES112",43.30294373,-7.219004823,"C10","U120"
29342422,"27-06-18","0-20 cm",4.4,4.49,17.37,"12.5","","5",NA,"< LOD","1.5","57.7",NA,NA,458,"ES","ES1","ES11","ES112",43.46052426,-7.266604898,"C10","U120"
29342440,"26-06-18","0-20 cm",4.4,4.97,18.6,"19.3","",NA,NA,"< LOD","2.3","74.8",NA,NA,65,"ES","ES1","ES11","ES112",43.61805076,-7.314548778,"E20","U420"
29361628,"03-05-18","0-20 cm",7.6,7.88,12.55,"12.5","","164",NA,"< LOD","0.9","211.5",NA,NA,151,"ES","ES6","ES61","ES612",36.46150514,-5.430036356,"E20","U111"
29361638,"09-05-18","0-20 cm",4.2,4.75,11.94,"29.3","","1",NA,"< LOD","1.8","68.6",NA,NA,803,"ES","ES6","ES61","ES617",36.55037225,-5.449678659,"C22","U120"
29361700,"11-06-18","0-20 cm",7.4,7.73,17.04,"12.7","","166",NA,"15.1","1.4","832.3",NA,NA,174,"ES","ES6","ES61","ES618",37.10095991,-5.573066277,"B11","U111"
29361718,"04-06-18","0-20 cm",7.5,8.53,16.61,"7.8","","36",NA,"< LOD","0.7","381",NA,NA,107,"ES","ES6","ES61","ES618",37.26068314,-5.609413709,"E30","U112"
29361794,"12-05-18","0-20 cm",7.1,7.5,33.52,"10.7","","3",NA,"35.8","1.2","55.9",0.4,1.6,678,"ES","ES6","ES61","ES618",37.93445485,-5.765551475,"B54","U111"
29361826,"03-06-18","0-20 cm",5.3,5.38,16.93,"10.3","",NA,NA,"15.7","1.2","64.7",NA,NA,665,"ES","ES4","ES43","ES431",38.21785201,-5.832612009,"E30","U112"
29361938,"13-07-18","0-10 cm",4.7,5.52,3.61,"17.5","",NA,NA,"< LOD","1.9","84.6",NA,NA,605,"ES","ES4","ES43","ES432",39.20837036,-6.073698898,"D10","U111"
29361970,"05-05-18","0-20 cm",5.5,6.09,14.98,"18.1","",NA,NA,"14.4","2.7","205.6",NA,NA,451,"ES","ES4","ES43","ES432",39.49098585,-6.144455469,"E20","U111"
29362142,"25-05-18","0-20 cm",4.5,5.05,7.01,"8.4","",NA,NA,"14.4","1","80.9",NA,NA,739,"ES","ES4","ES41","ES415",41.00710007,-6.539818368,"E20","U111"
29362376,"24-07-18","0-20 cm",4.2,4.55,20.8,"49.8","","1",NA,"< LOD","5.1","130.5",NA,NA,719,"ES","ES1","ES11","ES112",43.06180426,-7.121627337,"C10","U120"
29381630,"03-05-18","0-20 cm",7.4,7.99,23.1,"21.3","","47",NA,"< LOD","2.5","573.1",NA,NA,145,"ES","ES6","ES61","ES612",36.48291006,-5.412130126,"E30","U111"
29381732,"22-05-18","0-20 cm",7.5,8.01,20.8,"10.2","","173",NA,"16.5","1.2","731.2",1.8,1.3,112,"ES","ES6","ES61","ES618",37.38855887,-5.615753914,"B12","U111"
29381756,"18-05-18","0-20 cm",7.5,7.66,16.91,"10.9","","293",NA,"10.6","1.3","211.4",NA,NA,73,"ES","ES6","ES61","ES618",37.60139159,-5.664777941,"B76","U111"
29382056,"16-06-18","0-20 cm",5,5.68,7.26,"27.8","",NA,NA,"16.3","2.5","175.7",1.6,2.9,557,"ES","ES4","ES43","ES432",40.25353699,-6.315895314,"B81","U111"
29382110,"11-07-18","0-20 cm",5.7,6.02,32.1,"15.7","","1",NA,"67.5","1.7","248",NA,NA,808,"ES","ES4","ES41","ES415",40.72931592,-6.441116348,"F40","U112"
29382188,"21-08-18","0-20 cm",5.1,6,3.02,"7.8","5.3",NA,NA,"< LOD","0.7","27.2",1.1,2.6,695,"PT","PT1","PT11","PT11E",41.41569461,-6.626633207,"B73","U111"
29382218,"20-08-18","0-20 cm",4.4,4.98,3.76,"13.6","12.3",NA,NA,"22.5","1.1","52.1",NA,NA,849,"PT","PT1","PT11","PT11E",41.67941715,-6.699487839,"F40","U112"
29401708,"04-06-18","0-20 cm",7.5,8.25,14.46,"9.7","","17",NA,"< LOD","1","466",NA,NA,150,"ES","ES6","ES61","ES618",37.17929393,-5.545124698,"B31","U111"
29401744,"22-05-18","0-20 cm",6.7,7.21,20.73,"10.7","","3",NA,"54.7","1.1","150.7",NA,NA,196,"ES","ES6","ES61","ES618",37.4986743,-5.618082098,"F40","U112"
29401920,"12-07-18","0-20 cm",6.7,7.22,22.21,"16.4","","1",NA,"62.9","1.4","838.2",NA,NA,313,"ES","ES4","ES43","ES431",39.05690302,-5.989043335,"B42","U111"
29401924,"12-07-18","0-20 cm",5.7,6.28,20.03,"10.1","",NA,NA,"70.3","1.2","205",NA,NA,317,"ES","ES4","ES43","ES432",39.09225628,-5.997759626,"B16","U111"
29401956,"24-04-18","0-20 cm",4.8,5.54,6.34,"6.8","",NA,NA,"11.8","1","126",0.5,1,444,"ES","ES4","ES43","ES432",39.37498542,-6.067962544,"E20","U111"
29402104,"26-06-18","0-20 cm",4.2,5.12,4.27,"7.5","",NA,NA,"65","1","83.6",NA,NA,827,"ES","ES4","ES41","ES415",40.68037545,-6.403921853,"F40","U112"
