"POINTID","BDfine_0_2","coarse_vol","geometry"
29621748,1.15376687704722,0.037153846153846,c(-5.382567622, 37.57438479)
29621878,1.12630163993189,0.055776923076923,c(-5.650701857, 38.72657321)
29622346,0.809041923695493,0.112765384615385,c(-6.732931427, 42.85131405)
29642098,1.04298998150303,0.080930769230769,c(-6.112117774, 40.67385538)
29661672,1.23425417924181,0.044844230769231,c(-5.187727211, 36.90664205)
29661762,0.972524510761298,0.015346153846154,c(-5.366421505, 37.70586743)
29662386,0.885703735671311,0.166713461538462,c(-6.786725618, 43.21023417)
29681740,0.983391565007425,0.023573076923077,c(-5.300047391, 37.51424028)
29682168,1.47695253797735,0.104223076923077,c(-6.228033459, 41.29833581)
29701724,1.09129593810445,0.030625,c(-5.246042532, 37.37578642)
29701918,0.844345906983336,0.050211538461538,c(-5.645289484, 39.09538267)
29701972,1.2643382990557,0.035309615384615,c(-5.761655838, 39.57292089)
29702110,1.00837144227196,0.073590384615385,c(-6.070077803, 40.79112312)
29702138,1.37180168466278,0.149567307692308,c(-6.134666333, 41.03791552)
29702264,0.470405121978143,0.128942307692308,c(-6.434138056, 42.14690774)
29702300,1.13708439897698,0.248076923076923,c(-6.522442765, 42.4632909)
29721970,1.03884623691806,0.020596153846154,c(-5.73450943, 39.55897477)
29722178,1.08216216216216,0.110576923076923,c(-6.204733215, 41.39411491)
29722312,1.1458472808847,0.122169230769231,c(-6.528307689, 42.57265318)
29741732,0.822493259725254,0.041353846153846,c(-5.217685116, 37.4540125)
29742308,1.16898667698601,0.130336538461539,c(-6.494561649, 42.54145434)
29761754,1.03146322493852,0.085134615384615,c(-5.239352241, 37.65292859)
29761880,1.27404232698761,0.073876923076923,c(-5.49718734, 38.77007189)
29761960,0.94475487612019,0.0515,c(-5.667289483, 39.4780049)
29762042,0.722610639538651,0.050276923076923,c(-5.847051383, 40.20254746)
29801730,1.13963543874523,0.0564,c(-5.147323961, 37.44699575)
29821720,1.00944778853703,0.059446153846154,c(-5.105491555, 37.36173444)
29822380,0.53143596377749,0.048615384615385,c(-6.578738779, 43.18949591)
29842170,0.960692570176793,0.178311538461538,c(-6.04551611, 41.34667503)
29862388,0.742244931597165,0.066615384615385,c(-6.550769133, 43.26763067)
29901692,1.19558808241678,0.075057692307692,c(-4.96256813, 37.1270662)
29901728,1.21730789738967,0.044255769230769,c(-5.032708362, 37.44702882)
29902060,0.871113670872821,0.081778846153846,c(-5.725747452, 40.38772144)
29902262,0.934691976243158,0.174326923076923,c(-6.192278414, 42.16821794)
29921750,1.20043475334281,0.028626923076923,c(-5.053832046, 37.64601061)
29921768,1.06398726621568,0.057625,c(-5.08949015, 37.80585444)
29922134,1.62495868469003,0.092346153846154,c(-5.869130613, 41.04451691)
29922218,0.960706432105553,0.104492307692308,c(-6.063946057, 41.78477209)
29922282,0.684506234223208,0.195507692307692,c(-6.216718577, 42.34802254)
29941704,1.11857763023493,0.036061538461538,c(-4.941694374, 37.24080186)
29941866,1.03630519370665,0.090615384615385,c(-5.265329746, 38.67878985)
29941888,1.16346219637359,0.100615384615385,c(-5.310800011, 38.8737391)
29942046,0.96122582047381,0.0798,c(-5.648653659, 40.27152011)
29942222,0.905784334333378,0.194907692307692,c(-6.049794621, 41.82382157)
29942392,0.777248677248677,0.069538461538462,c(-6.464333047, 43.31853154)
29962070,0.671141635350525,0.050215384615385,c(-5.678649537, 40.48721619)
