"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018"
49604430,"FI","FI1","FI19","FI194"
49604542,"FI","FI1","FI19","FI195"
49604566,"FI","FI1","FI19","FI195"
49604568,"FI","FI1","FI19","FI195"
49604884,"FI","FI1","FI1D","FI1D7"
49604946,"FI","FI1","FI1D","FI1D7"
49622620,"HU","HU2","HU23","HU231"
49623100,"PL","PL2","PL22","PL224"
49623196,"PL","PL7","PL71","PL713"
49623334,"PL","PL9","PL92","PL923"
49623502,"PL","PL6","PL62","PL621"
49624258,"FI","FI1","FI1C","FI1C1"
49624302,"FI","FI1","FI19","FI196"
49624882,"FI","FI1","FI1D","FI1D7"
49625026,"FI","FI1","FI1D","FI1D7"
49642720,"HU","HU2","HU21","HU211"
49642738,"HU","HU2","HU21","HU211"
49642882,"SK","SK0","SK02","SK022"
49643256,"PL","PL7","PL71","PL715"
49643278,"PL","PL7","PL71","PL715"
49643472,"PL","PL6","PL62","PL621"
49644300,"FI","FI1","FI19","FI196"
49644354,"FI","FI1","FI19","FI196"
49644912,"FI","FI1","FI1D","FI1D7"
49644930,"FI","FI1","FI1D","FI1D7"
49662906,"SK","SK0","SK03","SK031"
49663176,"PL","PL7","PL71","PL713"
49663270,"PL","PL7","PL71","PL715"
49663284,"PL","PL7","PL71","PL715"
49663320,"PL","PL9","PL92","PL923"
49663464,"PL","PL6","PL62","PL621"
49664350,"FI","FI1","FI19","FI196"
49664530,"FI","FI1","FI19","FI194"
49664548,"FI","FI1","FI19","FI195"
49664566,"FI","FI1","FI19","FI195"
49665282,"FI","FI1","FI1D","FI1D7"
49682560,"HU","HU2","HU23","HU231"
49682686,"HU","HU2","HU21","HU211"
49682884,"SK","SK0","SK02","SK022"
49683178,"PL","PL7","PL71","PL713"
49683466,"PL","PL6","PL62","PL621"
49684306,"FI","FI1","FI19","FI196"
49684342,"FI","FI1","FI19","FI196"
49684522,"FI","FI1","FI19","FI194"
49684538,"FI","FI1","FI19","FI195"
49684564,"FI","FI1","FI19","FI195"
49684592,"FI","FI1","FI1D","FI1D5"
49685086,"FI","FI1","FI1D","FI1D7"
49701980,"IT","ITF","ITF4","ITF44"
49702798,"SK","SK0","SK02","SK023"
49702838,"SK","SK0","SK02","SK023"
49702880,"SK","SK0","SK03","SK032"
49702910,"SK","SK0","SK03","SK031"
49703024,"PL","PL2","PL22","PL22C"
49703144,"PL","PL2","PL22","PL224"
49703482,"PL","PL6","PL62","PL621"
49703500,"PL","PL6","PL62","PL621"
49704256,"FI","FI1","FI1C","FI1C1"
49704292,"FI","FI1","FI19","FI196"
49704296,"FI","FI1","FI19","FI196"
49704374,"FI","FI1","FI19","FI196"
49704436,"FI","FI1","FI19","FI194"
49704508,"FI","FI1","FI19","FI194"
49704544,"FI","FI1","FI19","FI195"
49704562,"FI","FI1","FI19","FI195"
49705016,"FI","FI1","FI1D","FI1D7"
49705052,"FI","FI1","FI1D","FI1D7"
49705076,"FI","FI1","FI1D","FI1D7"
49722502,"HR","HR0","HR04","HR04B"
49722596,"HU","HU2","HU23","HU231"
49722812,"SK","SK0","SK02","SK023"
49722854,"SK","SK0","SK03","SK032"
49724240,"FI","FI1","FI1C","FI1C1"
49724396,"FI","FI1","FI19","FI196"
49724432,"FI","FI1","FI19","FI194"
49724506,"FI","FI1","FI19","FI194"
49724528,"FI","FI1","FI19","FI194"
49724574,"FI","FI1","FI19","FI195"
49724820,"FI","FI1","FI1D","FI1D7"
49724864,"FI","FI1","FI1D","FI1D7"
49741978,"IT","ITF","ITF4","ITF44"
49741988,"IT","ITF","ITF4","ITF44"
49742582,"HU","HU2","HU23","HU231"
49742784,"SK","SK0","SK02","SK023"
49742816,"SK","SK0","SK02","SK023"
49743234,"PL","PL7","PL71","PL711"
49743238,"PL","PL7","PL71","PL712"
49744242,"FI","FI1","FI1C","FI1C1"
49744314,"FI","FI1","FI19","FI196"
49744332,"FI","FI1","FI19","FI196"
49744408,"FI","FI1","FI19","FI196"
49744418,"FI","FI1","FI19","FI194"
49744436,"FI","FI1","FI19","FI194"
49744548,"FI","FI1","FI19","FI195"
49744598,"FI","FI1","FI1D","FI1D5"
49762854,"SK","SK0","SK03","SK032"
49763232,"PL","PL7","PL71","PL711"
49763304,"PL","PL9","PL92","PL923"
49763448,"PL","PL6","PL62","PL621"
49763466,"PL","PL6","PL62","PL621"
49764330,"FI","FI1","FI19","FI196"
49764590,"FI","FI1","FI1D","FI1D5"
49765086,"FI","FI1","FI1D","FI1D7"
49781958,"IT","ITF","ITF4","ITF44"
49782648,"HU","HU2","HU23","HU233"
49782670,"HU","HU2","HU21","HU211"
49782732,"HU","HU2","HU21","HU211"
49782822,"SK","SK0","SK02","SK023"
49782958,"SK","SK0","SK03","SK031"
49782972,"PL","PL2","PL22","PL225"
49783174,"PL","PL7","PL71","PL713"
49783236,"PL","PL7","PL71","PL711"
49783246,"PL","PL7","PL71","PL712"
49784196,"FI","FI1","FI1C","FI1C1"
