"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
36462918,"Yes",NA,NA,NA,NA,1,230,6,6.28,7.08,8.8,0,7,1.2,90.6,"B11","U111","FR","FRD","FRD2","FRD21"
36462948,"Yes",NA,NA,NA,NA,1,251,3.2,4.25,33.2,185.8,0,44,8,274.7,"C31","U120","FR","FRD","FRD2","FRD21"
36462984,"Yes",NA,NA,NA,NA,3,385,5.7,6.03,9.03,11.8,0,43.7,1.6,120.1,"B12","U111","FR","FRD","FRD2","FRD22"
36462990,"Yes",NA,NA,NA,NA,1,350,5.6,6.23,16.64,10.5,0,27.1,1.5,186,"B11","U111","FR","FRD","FRD2","FRD22"
36462994,"Yes",NA,NA,NA,NA,3,477,6,6.15,55.6,9.9,1,38.7,1.6,207,"B21","U111","FR","FRD","FRD2","FRD22"
36463156,"Yes",NA,NA,NA,NA,2,151,3.8,4.37,8.81,34,0,42.9,2.2,50.5,"C10","U120","UK","UKJ","UKJ4","UKJ46"
36463164,"Yes",NA,NA,NA,NA,1,150,5.6,5.85,22.4,16.5,0,64.6,1.9,125.9,"B32","U111","UK","UKJ","UKJ4","UKJ46"
36463188,"Yes",NA,NA,NA,NA,3,328,6.9,7.14,23.3,27.9,5,84.1,2.9,465.1,"B41","U111","UK","UKJ","UKJ4","UKJ46"
36463264,"Yes",NA,NA,NA,NA,1,149,7.4,7.83,28.2,13.7,791,38.7,2.2,181.7,"B11","U111","UK","UKH","UKH1","UKH12"
36463404,"Yes",NA,NA,NA,NA,2,161,5.7,6.37,20.1,11.7,0,42.4,1.2,174,"B11","U111","UK","UKF","UKF3","UKF30"
36463488,"Yes",NA,NA,NA,NA,2,105,6.6,6.77,25.9,15,0,51.4,1.8,126.2,"B41","U111","UK","UKE","UKE1","UKE12"
36463506,"Yes",NA,NA,NA,NA,2,242,6.5,6.62,42.1,31.6,1,20.7,3.6,157.1,"B11","U111","UK","UKE","UKE2","UKE22"
36482182,"Yes",52,14,39,47,2,155,6,6.2,11.14,45.2,1,14.6,5,141.5,"E10","U420","ES","ES5","ES51","ES512"
36482268,"Yes",NA,NA,NA,NA,1,392,5.3,6.65,11.58,7.4,0,24.2,0.9,57.3,"B31","U111","FR","FRJ","FRJ2","FRJ21"
36482286,"Yes",NA,NA,NA,NA,2,52,7.4,7.95,12.15,5.2,28,12.8,0.8,117,"B33","U111","FR","FRJ","FRJ2","FRJ23"
36482398,"Yes",NA,NA,NA,NA,1,247,7.2,7.23,27.7,61.2,11,4.8,6.3,227.1,"D10","U111","FR","FRJ","FRJ2","FRJ25"
36482412,"Yes",NA,NA,NA,NA,2,298,7.2,7.53,24.7,42.1,21,6.9,4,262.7,"C10","U120","FR","FRJ","FRJ2","FRJ25"
36482524,"Yes",NA,NA,NA,NA,1,233,5.4,5.71,11.8,36.3,0,26.1,4.2,222,"E20","U111","FR","FRI","FRI2","FRI21"
36482614,"Yes",NA,NA,NA,NA,3,341,5.1,5.44,11.99,45.8,0,27.1,4.6,120.4,"E20","U111","FR","FRI","FRI2","FRI23"
36482632,"Yes",NA,NA,NA,NA,1,284,5.1,5.47,13.95,14.8,0,7,1.6,49.8,"E20","U111","FR","FRB","FRB0","FRB03"
36482692,"Yes",NA,NA,NA,NA,1,158,6.7,6.79,29.3,14.3,0,32.2,1.7,284.8,"F40","U111","FR","FRB","FRB0","FRB03"
36482736,"Yes",NA,NA,NA,NA,3,204,4.6,5.23,7,17.2,0,5.6,1.4,54.7,"C10","U120","FR","FRB","FRB0","FRB04"
36482776,"Yes",NA,NA,NA,NA,3,32,7.5,7.91,18.27,7.1,161,15.4,1.1,234.4,"B12","U111","FR","FRB","FRB0","FRB05"
36482794,"Yes",NA,NA,NA,NA,1,3,5.3,5.7,10.97,24.8,0,21.2,2.2,257.3,"B12","U111","FR","FRB","FRB0","FRB05"
36482830,"Yes",NA,NA,NA,NA,2,106,4.8,5.47,14.17,12.1,0,30.7,1.2,202.6,"E20","U111","FR","FRB","FRB0","FRB02"
36483268,"Yes",NA,NA,NA,NA,3,140,7.2,7.42,56.7,37.5,186,73.1,4.5,136.4,"E20","U111","UK","UKH","UKH1","UKH12"
36483340,"Yes",7,21,25,54,3,89,7.1,7.45,15.46,24.8,32,96.9,2.4,254.5,"E20","U111","UK","UKF","UKF3","UKF30"
36483460,"Yes",NA,NA,NA,NA,3,288,6.7,6.88,23.8,16.4,1,26.1,1.5,121.5,"B32","U111","UK","UKE","UKE1","UKE12"
36502284,"Yes",NA,NA,NA,NA,2,294,7.4,7.93,13.49,9.5,6,14.9,1.3,189.3,"B13","U111","FR","FRJ","FRJ1","FRJ11"
36502504,"Yes",NA,NA,NA,NA,3,313,4.5,4.65,53.1,35.1,0,51.3,4.2,198.2,"E20","U111","FR","FRI","FRI2","FRI21"
36502698,"Yes",NA,NA,NA,NA,1,170,4.9,5.51,6.05,9.4,0,27.7,1,85.1,"E20","U111","FR","FRB","FRB0","FRB03"
36502824,"Yes",NA,NA,NA,NA,3,229,4.5,4.99,6.04,14.9,0,44.1,1.6,139.8,"B32","U111","FR","FRB","FRB0","FRB02"
36502878,"Yes",NA,NA,NA,NA,1,366,5.8,6.24,18.98,15.5,0,23.9,1.8,91.4,"B32","U111","FR","FRB","FRB0","FRB02"
36502900,"Yes",NA,NA,NA,NA,3,220,3.9,4.46,8.05,22.5,0,33,1.6,57.7,"C10","U120","FR","FRD","FRD2","FRD21"
36502932,"Yes",NA,NA,NA,NA,3,200,5.2,5.58,14.57,13.6,0,67.7,1.7,292.5,"B11","U111","FR","FRD","FRD2","FRD21"
36502954,"Yes",NA,NA,NA,NA,2,83,5.1,5.49,22,9.6,0,47.7,1.4,119.9,"B32","U111","FR","FRD","FRD2","FRD21"
36503184,"Yes",NA,NA,NA,NA,2,115,4.5,4.69,61.9,26.8,0,50.4,3,275,"E20","U111","UK","UKJ","UKJ4","UKJ46"
36503238,"Yes",NA,NA,NA,NA,3,216,5.4,5.7,22.4,60.8,0,18.6,6.3,364.3,"E10","U361","UK","UKH","UKH3","UKH35"
36503368,"Yes",NA,NA,NA,NA,1,120,7.2,7.47,37.4,31.7,3,14,2.9,241.8,"B43","U111","UK","UKF","UKF3","UKF30"
36522178,"Yes",33,17,36,46,1,227,5.7,5.9,10.69,48.9,1,27.6,5.2,216.4,"E30","U112","ES","ES5","ES51","ES512"
36522208,"Yes",31,6,60,34,1,243,4.6,5.08,11.84,70.6,0,41.4,5.9,139.3,"C10","U420","FR","FRJ","FRJ2","FRJ21"
36522280,"Yes",NA,NA,NA,NA,1,98,7.1,7.58,13.2,3.2,278,14.8,0.6,109.5,"B13","U111","FR","FRJ","FRJ1","FRJ11"
36522298,"Yes",NA,NA,NA,NA,1,117,7.1,7.57,14.09,7.8,15,33.3,1.1,164.5,"B11","U111","FR","FRJ","FRJ2","FRJ23"
36522978,"Yes",NA,NA,NA,NA,1,106,3.4,4.25,29.7,97.3,0,45,4.9,109.1,"C10","U120","FR","FRD","FRD2","FRD22"
36522982,"Yes",NA,NA,NA,NA,1,136,6.1,6.38,12.17,9.8,0,33.6,1.3,141.5,"B35","U111","FR","FRD","FRD2","FRD22"
36523014,"Yes",NA,NA,NA,NA,1,142,6.2,6.34,16.17,7.4,0,31.6,1.1,164,"B32","U111","FR","FRD","FRD2","FRD22"
36523204,"Yes",NA,NA,NA,NA,1,108,6.4,6.63,24,18.8,0,46.7,2.2,288.5,"B11","U111","UK","UKI","UKI5","UKI52"
36523266,"Yes",NA,NA,NA,NA,1,216,7.5,7.86,27.8,17,340,25.2,2.1,140.7,"B21","U111","UK","UKH","UKH1","UKH12"
36523374,"Yes",NA,NA,NA,NA,1,95,7.5,7.84,23.1,14.4,20,38.8,1.6,116.5,"B11","U111","UK","UKF","UKF3","UKF30"
36523392,"Yes",NA,NA,NA,NA,1,81,7.4,7.75,18.07,24.3,171,32.9,2.1,121.7,"B11","U111","UK","UKF","UKF3","UKF30"
36523464,"Yes",NA,NA,NA,NA,1,103,7.1,7.28,38.8,23.9,25,21.8,2.7,124.8,"B11","U111","UK","UKE","UKE1","UKE12"
36542372,"Yes",NA,NA,NA,NA,1,165,6.7,6.88,26,36.4,1,5.7,3.6,344.7,"D10","U420","FR","FRJ","FRJ2","FRJ28"
36542452,"Yes",NA,NA,NA,NA,1,80,6.8,6.91,62.7,101.3,6,11.2,8.5,210.4,"C10","U120","FR","FRJ","FRJ2","FRJ25"
36542458,"Yes",NA,NA,NA,NA,1,20,6.5,6.62,53.1,50.7,1,7.6,4.2,176.2,"C10","U120","FR","FRJ","FRJ2","FRJ25"
36542470,"Yes",NA,NA,NA,NA,1,123,6.1,6.38,26.2,31,0,35.6,3.2,64.8,"E20","U111","FR","FRJ","FRJ2","FRJ25"
36542566,"Yes",NA,NA,NA,NA,1,129,4.6,4.9,73.7,37.4,0,74.3,4.2,299.7,"E20","U111","FR","FRI","FRI2","FRI23"
36542722,"Yes",NA,NA,NA,NA,3,206,6.1,6.33,15.63,33.5,1,78.9,3.2,370.6,"E20","U111","FR","FRB","FRB0","FRB04"
36542764,"Yes",NA,NA,NA,NA,1,364,6.7,6.83,13.61,9.7,0,34,1.2,163.7,"B13","U111","FR","FRB","FRB0","FRB05"
36542974,"Yes",NA,NA,NA,NA,1,242,7.2,7.35,63.3,39,176,34.5,5.1,86.7,"E20","U111","FR","FRD","FRD2","FRD22"
36543136,"Yes",NA,NA,NA,NA,3,334,4.4,4.86,8.77,26.4,0,9,2.5,142.1,"C33","U120","UK","UKJ","UKJ2","UKJ22"
36543196,"Yes",NA,NA,NA,NA,3,314,5.4,5.65,19.99,30.7,0,30.7,2.8,136.5,"E20","U350","UK","UKH","UKH3","UKH32"
36543448,"Yes",NA,NA,NA,NA,1,225,7.1,7.32,29.2,18.2,3,41.4,1.9,154.2,"B32","U111","UK","UKE","UKE1","UKE12"
36543496,"Yes",NA,NA,NA,NA,1,164,6.1,6.23,35.8,15.9,1,36.4,1.8,241,"B13","U111","UK","UKE","UKE2","UKE22"
36562276,"Yes",NA,NA,NA,NA,1,228,7.5,8.03,13.46,5.4,266,17.9,1.3,140.8,"B31","U111","FR","FRJ","FRJ1","FRJ11"
36562280,"Yes",NA,NA,NA,NA,1,176,7.4,7.78,14.95,10.9,360,5.8,1.3,88.2,"E20","U111","FR","FRJ","FRJ1","FRJ11"
36562298,"Yes",NA,NA,NA,NA,1,188,7.5,7.79,25.4,5.8,67,7.3,0.9,106.5,"B31","U111","FR","FRJ","FRJ2","FRJ23"
36562352,"Yes",NA,NA,NA,NA,1,187,4.7,5.21,6.5,17,0,9.4,1.7,117.6,"D10","U410","FR","FRJ","FRJ2","FRJ27"
36562582,"Yes",NA,NA,NA,NA,1,169,3.3,4.04,39.6,167.6,1,95.1,10.1,189.2,"C21","U420","FR","FRI","FRI2","FRI23"
36562628,"Yes",NA,NA,NA,NA,1,100,5.7,6.02,31.6,16.6,0,39.5,1.9,486.6,"E20","U111","FR","FRB","FRB0","FRB03"
36562636,"Yes",NA,NA,NA,NA,1,119,4.8,5.12,35.9,19.8,0,27.9,2.3,208.1,"E10","U111","FR","FRB","FRB0","FRB03"
36562654,"Yes",NA,NA,NA,NA,1,214,5.9,6.17,5.27,12.6,0,13.2,1.4,31.8,"E30","U112","FR","FRB","FRB0","FRB03"
36562708,"Yes",NA,NA,NA,NA,1,179,6.2,6.34,15.18,14.5,0,28.2,1.6,189.4,"B11","U111","FR","FRB","FRB0","FRB04"
36562754,"Yes",NA,NA,NA,NA,1,18,6.1,6.28,9.42,14.9,0,25.9,1.6,207.9,"B32","U111","FR","FRB","FRB0","FRB05"
36562924,"Yes",NA,NA,NA,NA,3,365,6.9,7.22,8.05,12.7,3,37.2,1.6,87.4,"B11","U111","FR","FRD","FRD2","FRD21"
36562934,"Yes",NA,NA,NA,NA,2,15,5,5.51,8.7,12.9,0,37.2,1.7,124,"B11","U111","FR","FRD","FRD2","FRD21"
36562982,"Yes",NA,NA,NA,NA,1,41,5.2,5.57,9.3,17.2,0,41.9,1.9,113.2,"E30","U111","FR","FRD","FRD2","FRD22"
36563144,"Yes",NA,NA,NA,NA,1,36,6.5,6.83,10.83,15.5,0,19,2,101.7,"B32","U111","UK","UKJ","UKJ2","UKJ22"
36563158,"Yes",NA,NA,NA,NA,1,35,6.9,7.12,15.34,27.9,13,18,2.8,110.2,"C10","U420","UK","UKJ","UKJ4","UKJ46"
36582164,"Yes",16,16,27,57,1,7,7.1,7.42,35.7,53.7,551,8.5,3.9,329.6,"C32","U120","ES","ES5","ES51","ES511"
36582224,"Yes",31,19,27,54,1,35,6.7,7,39,69.1,29,13.6,6.6,446.5,"E20","U111","FR","FRJ","FRJ1","FRJ11"
36582290,"Yes",NA,NA,NA,NA,1,17,7.4,7.81,18.11,10.1,263,17.8,1.4,204.6,"B31","U111","FR","FRJ","FRJ2","FRJ23"
36582404,"Yes",NA,NA,NA,NA,1,26,7,7.08,9.23,18.9,1,0,1.8,113.5,"C10","U120","FR","FRJ","FRJ2","FRJ25"
36582458,"Yes",NA,NA,NA,NA,1,13,7.2,7.42,36.8,24.2,38,10,2.7,57.1,"E20","U111","FR","FRJ","FRJ2","FRJ25"
36582596,"Yes",NA,NA,NA,NA,2,16,5.5,5.75,13.41,59.8,1,31.6,5.6,155.9,"E20","U111","FR","FRI","FRI2","FRI23"
36582614,"Yes",NA,NA,NA,NA,2,451,5,5.45,17.76,18.9,0,11.1,2.3,196.3,"B12","U111","FR","FRI","FRI2","FRI23"
36582776,"Yes",NA,NA,NA,NA,2,348,6.7,6.96,17.73,10.7,0,36.7,1.4,163.4,"B16","U111","FR","FRB","FRB0","FRB05"
36583442,"Yes",NA,NA,NA,NA,1,250,7.5,7.7,46.5,25,88,42.2,2.6,330.5,"B11","U111","UK","UKE","UKE1","UKE12"
36602158,"Yes",27,17,40,43,1,57,7.1,7.35,17.09,37,54,7.5,2.5,126.5,"E10","U420","ES","ES5","ES51","ES511"
36602180,"Yes",45,21,34,46,1,11,4.8,5.02,41.2,27.5,1,9.4,3,73.2,"D10","U111","FR","FRJ","FRJ1","FRJ15"
36602258,"Yes",NA,NA,NA,NA,1,76,6.9,7.26,18.62,33.5,374,23.3,3.9,102.5,"E20","U111","FR","FRJ","FRJ2","FRJ21"
36602384,"Yes",NA,NA,NA,NA,1,46,6,6.31,34.4,28.1,0,18.1,2.9,324.1,"E20","U111","FR","FRJ","FRJ2","FRJ28"
36602428,"Yes",NA,NA,NA,NA,1,14,6.6,6.74,9.21,49,1,7,4.7,155.8,"C10","U120","FR","FRJ","FRJ2","FRJ25"
36602464,"Yes",NA,NA,NA,NA,1,85,5.1,5.32,45.8,17.4,0,43.1,2.1,214.3,"D10","U410","FR","FRJ","FRJ2","FRJ25"
36602546,"Yes",NA,NA,NA,NA,1,43,5.2,5.57,7.3,34.6,0,15.5,3.6,77.7,"E20","U111","FR","FRI","FRI2","FRI23"
36602568,"Yes",NA,NA,NA,NA,1,65,4.1,4.25,50.6,42.1,0,16.4,3.3,102.2,"C10","U420","FR","FRI","FRI2","FRI23"
36602618,"Yes",NA,NA,NA,NA,1,30,4.7,5.24,9.52,33.5,0,20.7,3.4,110.5,"E20","U111","FR","FRI","FRI2","FRI23"
36602712,"Yes",NA,NA,NA,NA,1,40,5.9,6.1,15.05,7,0,12.1,1,156.3,"B32","U111","FR","FRB","FRB0","FRB04"
36602752,"Yes",NA,NA,NA,NA,4,439,6.9,7.11,23.2,21.6,7,75.7,2.3,280.6,"B11","U111","FR","FRB","FRB0","FRB05"
36602780,"Yes",NA,NA,NA,NA,1,71,7.5,7.69,24,15.9,51,34.9,2.4,262.8,"B12","U111","FR","FRB","FRB0","FRB05"
36602806,"Yes",NA,NA,NA,NA,1,41,6.2,6.4,6.6,8.3,0,12,1,128.1,"B13","U111","FR","FRB","FRB0","FRB05"
36602816,"Yes",NA,NA,NA,NA,1,215,5.7,5.94,6.69,12.6,0,33.2,1.4,137.3,"B11","U111","FR","FRB","FRB0","FRB02"
36602860,"Yes",NA,NA,NA,NA,2,40,4.4,4.8,15.97,10.6,0,52,1.4,94.7,"B11","U111","FR","FRB","FRB0","FRB02"
36602888,"Yes",NA,NA,NA,NA,1,22,6.2,6.49,12.03,14.7,0,73.9,1.8,363.2,"B11","U111","FR","FRD","FRD2","FRD21"
36602892,"Yes",NA,NA,NA,NA,1,23,6,6.25,7.58,16.3,0,54.3,1.9,188.3,"B11","U111","FR","FRD","FRD2","FRD21"
36602982,"Yes",NA,NA,NA,NA,2,28,6.3,6.37,40.2,10.8,0,32,1.6,83.4,"B16","U111","FR","FRD","FRD2","FRD22"
36603000,"Yes",NA,NA,NA,NA,1,60,5.1,5.24,76.7,13.6,0,52.7,2,324,"B16","U111","FR","FRD","FRD2","FRD22"
36603014,"Yes",NA,NA,NA,NA,2,441,5.9,6.53,7.84,8.1,0,46.8,1.2,196.5,"B35","U111","FR","FRD","FRD2","FRD22"
36603158,"Yes",NA,NA,NA,NA,4,116,6.9,7.18,12.73,17.2,4,101.5,1.8,190,"B41","U111","UK","UKJ","UKJ4","UKJ45"
36603202,"Yes",NA,NA,NA,NA,2,134,6.9,7,40.8,24.4,1,38.2,3,402.8,"B32","U111","UK","UKH","UKH3","UKH32"
36622170,"Yes",72,17,37,45,2,93,5.7,5.86,22.3,42.4,1,37.1,4.4,175.9,"C32","U420","ES","ES5","ES51","ES512"
36622218,"Yes",43,10,41,49,1,60,6.9,7.04,31.9,91.4,271,41.3,7.8,197.5,"C31","U120","FR","FRJ","FRJ1","FRJ11"
36622224,"Yes",58,11,38,51,2,212,6.8,7.07,58.8,229.7,48,37.9,16.4,413,"C31","U420","FR","FRJ","FRJ1","FRJ11"
36622674,"Yes",NA,NA,NA,NA,3,178,4.2,4.69,4.49,2.8,0,4.5,0.3,20.5,"C10","U120","FR","FRB","FRB0","FRB03"
36622782,"Yes",NA,NA,NA,NA,1,230,5.9,6.11,11.3,11.2,0,27.8,1.3,193.3,"B16","U111","FR","FRB","FRB0","FRB05"
36642156,"Yes",36,24,23,53,2,130,7.2,7.44,15.91,18.4,476,0,2,88.1,"C32","U420","ES","ES5","ES51","ES512"
36642166,"Yes",54,11,38,50,1,65,4.6,5.07,11.12,87.9,1,27.1,7.9,136.9,"E10","U111","ES","ES5","ES51","ES511"
36642184,"Yes",41,25,24,51,1,199,5.6,5.92,7.86,20.7,0,8.3,2.4,126.4,"B11","U111","FR","FRJ","FRJ1","FRJ15"
36642378,"Yes",NA,NA,NA,NA,1,217,7,7.18,48,41.3,8,17.7,5,338.9,"B52","U111","FR","FRJ","FRJ2","FRJ28"
36642598,"Yes",NA,NA,NA,NA,1,199,5.1,5.56,4.52,11.9,0,30.9,1.4,58.8,"B11","U111","FR","FRI","FRI2","FRI22"
36642706,"Yes",NA,NA,NA,NA,2,179,5.5,5.83,5.08,15.3,1,25.2,1.8,87.6,"B12","U111","FR","FRB","FRB0","FRB04"
36642796,"Yes",NA,NA,NA,NA,3,7,5.9,6.03,6.07,9.8,0,21.5,1.2,145.8,"B14","U111","FR","FRB","FRB0","FRB05"
36642840,"Yes",NA,NA,NA,NA,1,236,5.6,6,6.25,8.2,0,39,1.1,84.9,"B13","U111","FR","FRB","FRB0","FRB02"
36642912,"Yes",NA,NA,NA,NA,1,186,5.4,5.85,6.86,14.6,0,48.6,1.6,224,"B11","U111","FR","FRD","FRD2","FRD21"
36642922,"Yes",NA,NA,NA,NA,4,465,4.4,4.68,22.8,8.3,0,64.4,1.2,210.8,"B13","U111","FR","FRD","FRD2","FRD21"
36642976,"Yes",NA,NA,NA,NA,4,456,6.5,6.74,20.4,10.6,1,72.9,1.4,162.4,"B16","U111","FR","FRD","FRD2","FRD22"
36643002,"Yes",NA,NA,NA,NA,2,390,6.6,6.89,20,9.8,1,32.3,1.2,202.9,"B35","U111","FR","FRD","FRD2","FRD22"
36643156,"Yes",NA,NA,NA,NA,1,322,5.4,5.73,11.52,34.3,0,20.3,3.3,140.3,"E20","U111","UK","UKJ","UKJ4","UKJ46"
36643264,"Yes",NA,NA,NA,NA,2,432,7.3,7.58,22.7,20.3,108,26.5,2.3,118.6,"B11","U111","UK","UKH","UKH1","UKH12"
36643290,"Yes",NA,NA,NA,NA,1,312,7,7.16,25.3,21.8,1,31,2.6,179.7,"B41","U111","UK","UKH","UKH1","UKH12"
36662296,"Yes",NA,NA,NA,NA,4,228,7.4,7.78,16.34,7.9,188,20.4,1,152.7,"B31","U111","FR","FRJ","FRJ2","FRJ23"
36662416,"Yes",NA,NA,NA,NA,1,121,7.1,7.33,47.6,93.6,304,7,7.7,243.8,"C10","U420","FR","FRJ","FRJ2","FRJ25"
36662524,"Yes",NA,NA,NA,NA,2,13,4.2,4.62,63.1,58.5,0,71.6,5.6,382.4,"E20","U111","FR","FRI","FRI2","FRI21"
36662704,"Yes",NA,NA,NA,NA,4,225,5.5,5.74,19.97,8.5,0,21.8,1.1,53.8,"B11","U111","FR","FRB","FRB0","FRB03"
36662812,"Yes",NA,NA,NA,NA,4,178,6.5,6.77,7.99,12.7,0,38.8,1.5,150.9,"B16","U111","FR","FRB","FRB0","FRB02"
36662830,"Yes",NA,NA,NA,NA,4,93,4.9,5.34,11.74,9.9,0,36.7,1.3,119.4,"B11","U111","FR","FRB","FRB0","FRB02"
36662866,"Yes",NA,NA,NA,NA,1,0,7.2,7.65,14.3,22,33,56.6,2.4,210.4,"B13","U111","FR","FRB","FRB0","FRB02"
36662880,"Yes",NA,NA,NA,NA,1,196,6.3,6.67,18.56,10.2,0,31.6,1.3,151.2,"B11","U111","FR","FRB","FRB0","FRB02"
36662884,"Yes",NA,NA,NA,NA,2,135,6.6,6.91,10.99,15.5,2,33.4,1.7,183.9,"B11","U111","FR","FRB","FRB0","FRB02"
36662908,"Yes",NA,NA,NA,NA,1,445,5.9,6.22,6.57,10.5,0,29.7,1.3,129.7,"F40","U111","FR","FRD","FRD2","FRD21"
36663142,"Yes",NA,NA,NA,NA,2,204,5.6,5.94,24.2,66.2,0,44.2,7,198.4,"E20","U111","UK","UKJ","UKJ2","UKJ22"
36663376,"Yes",NA,NA,NA,NA,1,194,7.4,7.77,29.5,30.1,26,46.8,3.1,433.2,"B11","U111","UK","UKF","UKF3","UKF30"
36663442,"Yes",NA,NA,NA,NA,1,168,7.1,7.27,36.9,22.2,5,44.5,2.4,241.6,"B11","U111","UK","UKE","UKE1","UKE12"
36682238,"Yes",31,23,20,57,1,190,7,7.27,35.1,68.5,645,11.2,3.7,90.4,"C31","U120","FR","FRJ","FRJ1","FRJ11"
36682302,"Yes",NA,NA,NA,NA,2,230,7.3,7.75,13.48,9,194,29.8,1.3,210.3,"B13","U111","FR","FRJ","FRJ2","FRJ27"
36682522,"Yes",NA,NA,NA,NA,2,327,5,5.19,29.1,19.6,3,89.6,2.3,192.2,"B16","U111","FR","FRI","FRI2","FRI21"
36682626,"Yes",NA,NA,NA,NA,1,461,4.6,4.87,21.4,11,0,11.3,1.5,30.2,"E20","U111","FR","FRB","FRB0","FRB03"
36682810,"Yes",NA,NA,NA,NA,1,0,6,6.29,8.43,20.3,0,23.7,2.2,171.2,"B11","U111","FR","FRB","FRB0","FRB02"
36682846,"Yes",NA,NA,NA,NA,1,344,5.4,5.74,9.15,8.7,0,37.4,1.2,107.7,"B11","U111","FR","FRB","FRB0","FRB02"
36682864,"Yes",NA,NA,NA,NA,1,135,5.7,6.15,14.65,9.5,1,36.7,1.2,127.8,"B11","U111","FR","FRB","FRB0","FRB02"
36683238,"Yes",29,43,14,43,2,169,7.1,7.58,18.84,15.2,55,18.7,2,243.9,"B11","U111","UK","UKH","UKH3","UKH35"
36702196,"Yes",23,11,47,42,1,229,4.2,4.7,9.35,68.8,0,15.4,4.1,78.6,"C22","U120","FR","FRJ","FRJ1","FRJ15"
36702214,"Yes",49,8,63,29,2,174,6.5,7.04,13.34,50.2,8,17,4.5,194.4,"E20","U210","FR","FRJ","FRJ2","FRJ21"
36702280,"Yes",NA,NA,NA,NA,1,207,7.3,7.91,13.19,7.3,61,35.9,1,160.8,"B31","U111","FR","FRJ","FRJ1","FRJ11"
36702298,"Yes",NA,NA,NA,NA,1,2,6.3,6.56,6.88,10.3,0,38.2,1.2,109,"B31","U111","FR","FRJ","FRJ2","FRJ23"
36702348,"Yes",NA,NA,NA,NA,1,0,5.6,5.88,6.83,16,0,13,1.5,78.5,"E20","U420","FR","FRJ","FRJ2","FRJ27"
36702402,"Yes",NA,NA,NA,NA,1,21,6.9,7.11,22.3,57.1,4,9.3,4.3,321.2,"C10","U120","FR","FRJ","FRJ2","FRJ25"
36702430,"Yes",NA,NA,NA,NA,1,154,7.2,7.52,12.86,50.4,10,7.3,5,248.5,"E20","U111","FR","FRJ","FRJ2","FRJ25"
36702442,"Yes",NA,NA,NA,NA,1,172,6.7,6.97,112.2,80.9,3,49,8.8,625.5,"E20","U111","FR","FRJ","FRJ2","FRJ25"
36702474,"Yes",NA,NA,NA,NA,1,147,4.7,5.17,8.18,33.3,0,22,2.9,226.6,"C10","U410","FR","FRI","FRI2","FRI21"
36702532,"Yes",NA,NA,NA,NA,1,225,5.3,5.76,11.9,37.8,0,20.6,3.9,207.8,"E20","U111","FR","FRI","FRI2","FRI21"
36702658,"Yes",NA,NA,NA,NA,1,191,7.2,7.45,16.39,8.6,27,32.6,1.1,63.5,"B32","U111","FR","FRB","FRB0","FRB03"
36702712,"Yes",NA,NA,NA,NA,2,150,6,6.25,14.21,8.3,1,26,1.1,157.4,"B11","U111","FR","FRB","FRB0","FRB03"
36703150,"Yes",NA,NA,NA,NA,1,262,5.6,5.93,15.71,28,0,69,3.3,209.6,"E20","U111","UK","UKJ","UKJ4","UKJ45"
36703230,"Yes",NA,NA,NA,NA,3,96,7.2,7.36,14,10.7,1,26.4,1.3,96.8,"B22","U111","UK","UKH","UKH3","UKH34"
36703252,"Yes",NA,NA,NA,NA,1,145,7.3,7.66,15.85,17.6,24,25.9,1.9,89.9,"B11","U111","UK","UKH","UKH3","UKH34"
36703270,"Yes",NA,NA,NA,NA,2,45,7.3,7.59,34.6,18.6,14,41.7,2.5,233.6,"B11","U111","UK","UKH","UKH1","UKH14"
36703392,"Yes",NA,NA,NA,NA,1,56,6.6,6.8,27.7,22.9,0,28.2,2.8,130.5,"B32","U111","UK","UKF","UKF3","UKF30"
36722152,"Yes",27,30,13,57,1,2,7.1,7.32,31.2,35.3,309,47.6,4.2,351.9,"E20","U111","ES","ES5","ES51","ES512"
36722164,"Yes",57,15,48,38,1,91,6.2,6.3,8.75,65.8,4,7.3,4.1,105.6,"C10","U420","ES","ES5","ES51","ES512"
36722246,"Yes",NA,NA,NA,NA,2,58,5.4,5.77,10.58,33.1,0,10.6,2.4,92.1,"C32","U120","FR","FRJ","FRJ1","FRJ11"
36722386,"Yes",NA,NA,NA,NA,1,54,7.2,7.27,83,53.6,241,55.2,6.1,423.2,"E20","U111","FR","FRJ","FRJ2","FRJ28"
36722668,"Yes",NA,NA,NA,NA,1,79,6.1,6.26,15.36,26,0,1.6,2.1,176.3,"C10","U120","FR","FRB","FRB0","FRB03"
36722782,"Yes",NA,NA,NA,NA,2,189,6.2,6.38,19.01,12.7,0,60.1,1.6,300,"B12","U111","FR","FRB","FRB0","FRB05"
36722872,"Yes",NA,NA,NA,NA,1,97,5.3,5.71,4.14,10.5,0,17,1.2,78.5,"B11","U111","FR","FRB","FRB0","FRB02"
36722926,"Yes",NA,NA,NA,NA,1,120,4.9,5.26,59.3,28.3,0,32.3,2.7,110,"C10","U120","FR","FRD","FRD2","FRD21"
