"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
41922402,"Yes",3,23,30,47,1,161,7.3,7.6,44.9,9.4,60,161.4,1.5,251.9,"B82","U111","IT","ITC","ITC1","ITC17"
41922420,"Yes",NA,NA,NA,NA,1,202,6.6,6.77,15.88,7,1,18.1,1.1,69.5,"B11","U111","IT","ITC","ITC1","ITC17"
41922438,"Yes",NA,NA,NA,NA,1,366,7.2,7.54,20.5,10.6,192,20.4,1.5,258.3,"B82","U111","IT","ITC","ITC1","ITC18"
41922892,"Yes",NA,NA,NA,NA,1,207,6,6.02,30,7.1,2,24.9,1,228,"B11","U111","DE","DEB","DEB3","DEB3H"
41922924,"Yes",NA,NA,NA,NA,1,541,7.2,7.49,59.1,21.5,26,60.1,2.5,659.8,"B82","U111","DE","DEB","DEB3","DEB3C"
41922942,"Yes",NA,NA,NA,NA,1,391,7.6,8.12,24.9,18.3,125,42.8,1.2,396,"B43","U111","DE","DEB","DEB3","DEB3C"
41922964,"Yes",NA,NA,NA,NA,1,496,7.6,7.77,44.5,15.7,118,26.8,1.6,587.3,"B18","U111","DE","DEB","DEB3","DEB3B"
41923014,"Yes",NA,NA,NA,NA,1,140,5,4.97,22.1,18.3,1,22.2,1.8,118.5,"C31","U120","DE","DE7","DE71","DE71D"
41923090,"Yes",NA,NA,NA,NA,1,212,4.4,4.63,16.64,33.4,1,117.4,2.7,183,"C10","U120","DE","DEA","DEA5","DEA5A"
41923140,"Yes",NA,NA,NA,NA,1,120,4.5,4.51,50,48.6,0,17.7,3.4,49.3,"C21","U120","DE","DEA","DEA5","DEA57"
41923186,"Yes",NA,NA,NA,NA,1,135,6.8,7.1,23.5,26.8,1,21.1,2.9,159.9,"E20","U111","DE","DEA","DEA3","DEA38"
41923212,"Yes",NA,NA,NA,NA,1,549,4.7,5.15,23,13.5,1,92.8,1.6,265.1,"B11","U111","DE","DEA","DEA4","DEA42"
41941786,"Yes",NA,NA,NA,NA,1,137,6.6,6.83,9.01,7.3,1,8.2,0.8,78.6,"E30","U112","IT","ITG","ITG2","ITG2C"
41941882,"Yes",NA,NA,NA,NA,1,137,6.3,6.8,12.87,13.1,0,8.6,1.3,303.3,"B55","U111","IT","ITG","ITG2","ITG28"
41942462,"Yes",NA,NA,NA,NA,2,400,4.8,5.23,31.6,10.9,0,11.8,1.6,79.1,"B17","U111","IT","ITC","ITC1","ITC12"
