"POINTID","Elevation","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3","LC0_Desc.x","Revisited_point","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
32401828,499,19,32,20,48,1,7.5,7.93,13.16,31.4,362,0,1.6,350.7,"C10","U420","ES","ES4","ES42","ES421","Woodland","No",0.704,0.788,NA,0.746,0.746,0.19,0.639100827414513,0.054515384615385
32401886,414,NA,NA,NA,NA,3,7.4,8,16.94,1.3,343,56.3,1,405.5,"B82","U111","ES","ES4","ES42","ES421","Cropland","No",1.223,1.254,NA,1.239,1.2385,0.16,1.12617160177197,0.076215384615385
32401912,1159,NA,NA,NA,NA,4,7.7,8.11,15.78,11,168,12.4,1,232.2,"F40","U112","ES","ES4","ES42","ES423","Bareland","No",6.89,NA,NA,NA,NA,NA,NA,NA
32401972,1348,NA,NA,NA,NA,1,7.5,7.74,46.7,6.8,389,7,1,584.2,"B31","U111","ES","ES4","ES42","ES423","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32401976,405,30,35,13,52,1,7.5,7.85,18.56,18.9,563,9.4,2.1,180.4,"F40","U112","ES","ES4","ES42","ES423","Bareland","No",NA,NA,NA,NA,NA,NA,NA,NA
32401984,577,NA,NA,NA,NA,1,7.5,7.62,224,12.9,435,14.9,1.3,212,"B13","U111","ES","ES4","ES42","ES423","Cropland","No",1.198,1.336,NA,1.267,1.267,0.09,1.20585606423247,0.043857692307692
32402074,1056,NA,NA,NA,NA,1,7.4,7.86,19.58,16.4,310,5.9,1.5,193.9,"D20","U420","ES","ES4","ES42","ES424","Shrubland","No",1.228,1.302,NA,1.265,1.265,0.19,1.12901913419363,0.092442307692308
32402080,1111,NA,NA,NA,NA,3,7.3,7.66,15.98,35.3,486,8.8,2.4,279.3,"D20","U420","ES","ES4","ES42","ES424","Shrubland","No",1.459,1.481,NA,1.47,1.47,0.42,1.11810753555937,0.237461538461538
32402098,1362,11,16,45,39,2,6,6.23,5.73,10.5,0,0,1.1,84.7,"D20","U420","ES","ES4","ES42","ES424","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402110,1162,15,19,47,34,1,6.2,6.4,4.38,6.2,1,8.7,0.8,114.7,"B11","U111","ES","ES4","ES42","ES424","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402116,1323,22,37,14,50,2,7.1,7.49,17.51,34.3,50,3,3.5,342.6,"D20","U420","ES","ES4","ES42","ES424","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402120,1392,23,25,12,62,1,7.1,7.35,21,72.6,5,7.8,7.5,306.5,"D10","U420","ES","ES4","ES41","ES417","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402188,1036,7,15,52,33,1,5.5,5.86,12.1,12.9,1,7.3,1.3,89.4,"C10","U120","ES","ES4","ES41","ES412","Woodland","No",0.877,0.951,NA,0.914,0.914,0.07,0.871464736082523,0.024607692307692
32402210,1108,28,27,23,50,2,5.4,5.7,20,19.9,1,42.6,2.2,279.7,"C22","U120","ES","ES4","ES41","ES412","Woodland","No",1.109,NA,NA,NA,1.109,0.28,0.90677708475287,0.119430769230769
32402254,1031,NA,NA,NA,NA,4,7.7,8.08,18.55,19.4,138,28.2,1.9,702.9,"B11","U111","ES","ES4","ES41","ES412","Cropland","No",1.058,1.206,NA,1.132,1.132,0.01,1.125580604787,0.004353846153846
32402264,1151,NA,NA,NA,NA,1,7.7,8.12,16.55,12.3,253,26.1,1.7,398.7,"B13","U111","ES","ES4","ES41","ES412","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402300,1051,NA,NA,NA,NA,2,7,7.44,36.9,103.5,394,32.1,4.5,214.7,"C32","U420","ES","ES4","ES41","ES412","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402314,1068,NA,NA,NA,NA,4,6.5,6.82,24.7,52.2,3,37.3,5.7,237.3,"E20","U111","ES","ES4","ES41","ES412","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402318,1053,NA,NA,NA,NA,2,7.2,7.35,45.3,93.9,25,53.8,8.8,622.3,"E20","U111","ES","ES4","ES41","ES412","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32402332,1294,NA,NA,NA,NA,3,5,5.41,15.5,25.8,0,9.6,2.9,76.4,"E20","U111","ES","ES2","ES21","ES213","Grassland","No",0.971,1.105,NA,1.038,1.038,0.39,0.749946701409452,0.1557
32402336,1044,NA,NA,NA,NA,1,4.3,4.53,107.4,54.1,0,105,5.4,388.7,"E10","U111","ES","ES2","ES21","ES213","Grassland","No",1.004,0.952,NA,0.978,0.978,0.12,0.90132439661006,0.045138461538462
32402926,1093,NA,NA,NA,NA,3,5.6,6.07,10.28,38.6,1,50.5,4.5,241.6,"B13","U111","FR","FRH","FRH0","FRH02","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32403658,1021,4,10,39,51,1,4.6,4.77,47.4,38.1,1,21.6,3.6,47.5,"E20","U111","UK","UKN","UKN1","UKN12","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32403676,1149,NA,NA,NA,NA,4,4.4,4.65,27,28.2,0,100.1,2.2,78.8,"E30","U111","UK","UKN","UKN1","UKN12","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32421728,1404,26,30,31,39,1,7.4,7.93,18.43,12.4,603,47.1,1.2,156.5,"F40","U111","ES","ES6","ES61","ES611","Bareland","No",NA,NA,NA,NA,NA,NA,NA,NA
32421754,1046,33,39,16,45,2,7.5,7.59,234,10.9,350,16.7,1.2,195.3,"A11","U410","ES","ES6","ES62","ES620","Artificial land","No",NA,NA,NA,NA,NA,NA,NA,NA
32421826,113,22,19,53,28,4,7.4,7.97,19.04,12.9,783,38.4,1.4,158.4,"B11","U111","ES","ES4","ES42","ES421","Cropland","No",1.042,1.12,NA,1.081,1.081,0.22,0.928069833797594,0.091469230769231
32421848,1077,35,36,19,45,2,7.7,7.91,12.52,28.2,316,0,2.1,596.8,"C10","U420","ES","ES4","ES42","ES421","Woodland","No",1.036,1.096,NA,1.066,1.066,0.35,0.808990075890251,0.1435
