"SURVEY_DATE","POINTID_2018","Elev","Depth","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","OC..20.30.cm.","CaCO3_2018","CaCO3..20.30.cm.","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","TH_LAT","TH_LONG","LC_2018","LU_2018","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
"06-07-18",40523090,174,"0-20 cm",NA,NA,NA,NA,1,6.1,6.51,26.46,"14.6","",NA,NA,"79.1","1.3","188.7",NA,NA,"DE","DEA","DEA2","DEA2D",50.85823891,6.177697005,"B16","U111",NA,NA,NA,NA,NA,NA,NA,NA
"24-05-18",40523276,1,"0-20 cm",NA,NA,NA,NA,1,5.5,6.15,10.21,"15.9","","1",NA,"63.2","1.9","62",1.1,7.9,"NL","NL2","NL21","NL211",52.52723861,6.034248217,"B16","U111",1.491,1.643,NA,1.567,1.567,0.01,1.56073643845794,0.006026923076923
"01-06-18",40542300,1345,"0-20 cm",22,19,26,55,1,6.5,6.88,39.58,"103.6","","3",NA,"< LOD","9.1","317",NA,NA,"FR","FRL","FRL0","FRL05",43.75621745,6.691460577,"D10","U111",0.503,0.54,NA,0.522,0.5215,0.22,0.425548129579482,0.044126923076923
"06-06-18",40542404,1252,"0-20 cm",35,20,41,39,1,7.2,7.6,19.36,"53.2","","344",NA,"< LOD","2.5","104.9",NA,NA,"FR","FRL","FRL0","FRL02",44.69313445,6.636704357,"C32","U120",NA,NA,NA,NA,NA,NA,NA,NA
"31-05-18",40542494,1233,"0-20 cm",37,24,21,55,1,7.1,7.35,33.1,"103","","80",NA,"13.9","4.4","165.4",NA,NA,"FR","FRK","FRK2","FRK27",45.50338401,6.587348671,"C31","U120",0.549,0.905,NA,0.727,0.727,0.37,0.510862673261805,0.103457692307692
"04-06-18",40542512,1420,"0-20 cm",45,12,42,46,1,3.8,4.47,9.65,"68.8","",NA,NA,"17.2","3.4","75.5",NA,NA,"FR","FRK","FRK2","FRK27",45.66537706,6.577248819,"C21","U120",0.453,0.645,NA,0.549,0.549,0.45,0.33365349879938,0.095019230769231
"14-07-18",40562266,60,"0-20 cm",NA,NA,NA,NA,1,6.5,6.79,12.67,"15.3","",NA,NA,"14.8","1.7","319.9",NA,NA,"FR","FRL","FRL0","FRL05",43.45054969,6.733481591,"B81","U111",NA,NA,NA,NA,NA,NA,NA,NA
"01-06-18",40562298,1208,"0-20 cm",55,13,37,51,1,6.8,7.13,44,"153.6","","133",NA,"12.6","7.9","330.2",NA,NA,"FR","FRL","FRL0","FRL05",43.73898525,6.717239047,"C22","U120",NA,NA,NA,NA,NA,NA,NA,NA
"23-05-18",40562312,1068,"0-20 cm",21,22,18,60,1,6.8,7.06,37.45,"59.1","","31",NA,"155.7","6","989.9",NA,NA,"FR","FRL","FRL0","FRL03",43.86515389,6.710065175,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"05-06-18",40562500,1248,"0-10 cm",41,23,24,53,1,7,7.4,20.1,"40.6","","104",NA,"10.8","4.3","158.7",NA,NA,"FR","FRK","FRK2","FRK27",45.55820632,6.609548168,"C10","U120",0.854,NA,NA,NA,0.854,0.41,0.582274452632608,0.134669230769231
