"POINTID","Elev","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","CaCO3_2018","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","LC_0","LC_2018","LU_2018","BDsample_0","coarse_mas","geometry"
42603492,6,"1",5.3,5.81,16.96,21.7,NA,96.9,1.9,70.8,0.8,3.9,"B","B16","U111",1.422,0.02,c(9.057999827, 54.53058699)
42621864,1085,"2",5.5,6.08,10.27,58.1,NA,NA,3.6,285.8,NA,NA,"D","D20","U420",0.9405,0.14,c(9.314115252, 39.8665902)
42623116,190,"1",5.4,6.09,7.2,12.7,NA,18.3,1.7,110.6,NA,NA,"F","F40","U111",1.265,0.03,c(9.156744928, 51.15206736)
42623368,1,"1",5.4,6.05,10.74,31.4,NA,53.2,1.8,112.5,NA,NA,"E","E20","U111",1.174,0.05,c(9.11270304, 53.41664479)
42643222,306,"1",3,3.75,14.95,132,NA,27.1,5.7,104.9,NA,NA,"C","C10","U120",0.6385,0.14,c(9.168074855, 52.1049232)
42662462,124,"1",5.9,6.58,9.85,13.2,1,32.1,1.7,94.4,NA,NA,"B","B13","U111",1.48,0.21,c(9.300280753, 45.26777197)
42682790,739,"1",5.1,5.51,12.49,49.1,2,16.5,3.4,179.8,NA,NA,"C","C10","U120",0.997,0.07,c(9.287054685, 48.22122929)
42683042,563,"2",5.2,5.73,21.4,45.9,NA,16.8,4.6,396.3,NA,NA,"E","E20","U111",0.866,0.05,c(9.253215375, 50.48747753)
42683078,285,"1",6,6.45,10.12,9.2,NA,56.2,1.1,69.7,NA,NA,"F","F40","U111",1.24,0.05,c(9.248046884, 50.81109238)
42683096,201,"1",5,5.73,8.67,11.7,NA,37.6,1.1,108.3,NA,NA,"B","B55","U111",1.3855,0.06,c(9.245429085, 50.97288993)
42683482,25,"1",5.9,6.31,14.19,18.8,1,80.1,1.7,132.2,NA,NA,"B","B16","U111",1.4685,0.06,c(9.183307444, 54.44160796)
42721934,567,"1",5.7,6.19,25.48,20.1,NA,19.9,2.2,645.9,NA,NA,"E","E10","U111",1.0015,0.3,c(9.424716582, 40.50095409)
42722438,132,"1",7.1,7.51,103.37,22.9,5,70.7,3,2812.8,NA,NA,"E","E30","U112",1.0525,0.17,c(9.37903231, 45.05194907)
42722500,235,"1",6.5,6.87,13.26,24.4,2,11.1,2.2,74.8,NA,NA,"C","C33","U361",1.089,0.16,c(9.372725019, 45.61066608)
42722532,1045,"1",4.1,4.84,5.22,44.8,NA,11.7,3.2,59.1,NA,NA,"C","C10","U420",0.85,0.23,c(9.369403623, 45.89895649)
42722806,742,"1",6.3,6.8,10.96,18.7,NA,76.5,2.1,221.4,1.3,2.8,"B","B18","U111",1.218,0.09,c(9.338978782, 48.36551222)
42723522,26,"1",5.5,5.99,9.24,32.9,NA,42.1,3.1,47.2,NA,NA,"B","B55","U111",1.1575,0.04,c(9.238314898, 54.80142341)
42723778,-1,"1",4.5,5.18,11,15.5,NA,55.9,1.6,44.3,0.2,0.6,"B","B55","U111",1.568,0.08,c(9.19235457, 57.1020883)
42743070,369,"1",4,4.68,6.07,21.3,NA,17.9,1.5,75.5,NA,NA,"C","C10","U120",1.1995,0.08,c(9.334194444, 50.73970212)
42763074,350,"1",5.5,5.9,10.39,21.8,NA,14.4,2.4,101.6,NA,NA,"E","E20","U111",1.135,0.06,c(9.362034855, 50.77581896)
42763084,296,"1",3.7,4.3,6.35,21.4,NA,16.5,1.3,54.1,1.4,2.3,"C","C10","U120",1.189,0.05,c(9.360804732, 50.86570957)
42763282,47,"1",5,5.56,15.36,20.6,1,81.6,1.6,214.7,NA,NA,"B","B16","U111",1.421,0.03,c(9.335175903, 52.64521359)
42763458,8,"1",5.1,5.83,6.8,11.4,NA,104.8,1.1,79.2,1.4,2.2,"B","B16","U111",1.4625,0.07,c(9.310163878, 54.22670426)
42782380,1014,"1",5.6,6.01,20.5,63.1,4,21.9,6.2,130.4,NA,NA,"C","C33","U120",0.997,0.41,c(9.460114596, 44.52950168)
42782484,145,"1",7.1,8.02,19.75,19.1,51,47.4,1.7,143,NA,NA,"B","B16","U111",1.2295,0.03,c(9.450974062, 45.46692673)
42783592,48,"1",5.5,6.13,15.02,12.1,NA,27.2,1.3,147.6,3.4,6.6,"B","B16","U111",1.5955,0.15,c(9.321100343, 55.43098188)
42802392,802,"1",6.9,7.07,15.86,47.8,31,NA,3.3,280.2,NA,NA,"C","C10","U120",0.561,0.1,c(9.484238655, 44.63782495)
42802824,691,"1",7,7.36,20.8,42.4,448,158,4.3,229,NA,NA,"C","C31","U120",0.878,0.23,c(9.445112804, 48.52803778)
42822448,95,"1",6,6.54,13.49,12.6,NA,27,1.8,118.8,NA,NA,"B","B13","U111",1.62,0.06,c(9.50495604, 45.14275321)
42823644,118,"1",3.1,4.11,7.68,21.7,NA,21.3,2.3,62.1,NA,NA,"C","C33","U420",0.656,0.08,c(9.376956583, 55.89861239)
42842416,226,"1",7.3,7.97,16.44,15.6,85,NA,1.9,256.6,NA,NA,"E","E30","U111",1.077,0.27,c(9.532762142, 44.85442975)
42843218,151,"1",3.8,4.37,7.16,23.6,NA,16,1.6,50,NA,NA,"C","C10","U120",1.2115,0.1,c(9.460399141, 52.07066744)
42843682,77,"1",5.7,6.14,15.18,17.6,NA,34.9,1.8,141.4,1.2,3.8,"B","B16","U111",1.3855,0.07,c(9.403723581, 56.24027982)
42862808,786,"1",7,7.42,22,34.5,9,81.8,3.5,345,NA,NA,"B","B16","U111",0.886,0.16,c(9.527667889, 48.38447238)
42863186,383,"1",4,4.28,39.8,96.5,NA,40.1,5.3,80.2,NA,NA,"C","C10","U120",0.813,0.15,c(9.492815929, 51.78320611)
42863320,47,"1",5.5,6.16,12.59,25.3,NA,67.9,1.7,62.6,NA,NA,"B","B16","U111",1.3595,0.05,c(9.478855088, 52.98742006)
42863582,21,"1",6.2,6.62,16.06,31.9,NA,32.2,2.3,113.1,NA,NA,"B","B11","U111",1.9075,0.04,c(9.448639891, 55.34173183)
42863654,105,"1",5.7,6.33,10.31,10.4,NA,34.2,1.1,51,NA,NA,"B","B51","U111",1.5175,0.08,c(9.439575629, 55.9887789)
42882534,1394,"1",5.7,6.08,11.77,64.1,1,NA,6.9,102.6,NA,NA,"E","E10","U111",0.8855,0.32,c(9.575166996, 45.91799478)
42883694,45,"1",5.5,6.21,12.54,15.7,NA,74.3,1.6,193.1,1.4,2.7,"B","B32","U111",1.7585,0.08,c(9.466703629, 56.34841417)
42903450,0,"1",5.2,5.49,29.6,146,NA,88.1,12.5,172.8,NA,NA,"E","E20","U111",0.6385,0.19,c(9.525589937, 54.15583067)
42903702,46,"1",5.5,6.09,12.74,13.8,NA,48.8,1.4,147.6,1.3,5.1,"B","B13","U111",1.487,0.13,c(9.498091653, 56.42044647)
42903756,27,"1",5,5.53,21,28.7,NA,43.4,2.4,63,NA,NA,"B","B41","U111",1.1655,0.04,c(9.491691529, 56.90581832)
42923736,40,"1",5.7,6.26,7.51,24.4,NA,47.7,2,94,1.9,2.2,"B","B11","U111",1.545,0.08,c(9.526723231, 56.72616783)
42942490,167,"1",7.2,7.77,18.24,24.6,28,41.3,2.5,128,NA,NA,"B","B16","U111",1.1945,0.06,c(9.654920593, 45.52185581)
42942810,776,"2",6.8,7.16,17.51,43.1,3,52.8,4.4,376.2,NA,NA,"E","E20","U111",0.8845,0.32,c(9.635497544, 48.40287369)
42942840,395,"1",6.6,6.93,16.39,48.2,3,NA,4.7,187.2,NA,NA,"E","E20","U111",0.867,0.34,c(9.633530647, 48.67275769)
42943084,372,"1",3.8,4.28,6.07,24,NA,11.6,1.2,47.3,NA,NA,"C","C33","U120",1.1175,0.08,c(9.616477132, 50.86684024)
42963748,35,"1",5.3,6.12,8,35.7,NA,52.5,2.4,91.2,4.2,0.9,"B","B13","U111",1.36,0.32,c(9.590846015, 56.83425285)
42982530,1252,"1",4.4,5.02,6.89,32.1,NA,NA,2.8,108,NA,NA,"C","C10","U120",1.0945,0.32,c(9.70409907, 45.88239682)
43002406,938,"1",6.1,6.26,13.61,52.2,1,NA,4,283.2,NA,NA,"C","C10","U120",0.7305,0.04,c(9.735234346, 44.76498593)
43022470,115,"1",7.3,7.54,25.69,21.1,45,96.4,2.5,356,0.9,3.2,"B","B16","U111",1.435,0.08,c(9.757958253, 45.34191481)
43022488,159,"1",7.1,7.73,21.87,19.8,51,43.6,1.8,167,NA,NA,"B","B16","U111",1.28,0.17,c(9.757245159, 45.50411848)
43022722,478,"1",7.1,7.2,40.6,49.7,27,13.4,5.8,107.6,NA,NA,"E","E20","U111",1.0815,0.07,c(9.747450877, 47.61132489)
43022764,585,"1",5.8,6.05,22.5,25.1,NA,28.8,3,108.8,NA,NA,"E","E20","U111",1.0915,0.02,c(9.745583466, 47.98929011)
43023088,244,"1",6.2,6.7,12.62,11.3,NA,36.3,1.3,543.8,NA,NA,"B","B11","U111",1.3985,0.04,c(9.72990393, 50.90311828)
43023106,394,"1",3.5,4.02,11.09,42.7,NA,41.3,2.3,97.4,NA,NA,"C","C31","U120",0.7665,0.07,c(9.728960856, 51.06492096)
43023370,36,"1",6.1,6.61,11.06,12.8,1,50.3,1.2,172,NA,NA,"B","B11","U111",1.28,0.07,c(9.71412843, 53.43752308)
43042466,113,"1",5.2,6.13,6.8,9.2,NA,74.6,1.1,117.5,NA,NA,"B","B55","U111",1.315,0.03,c(9.783577322, 45.30592254)
43043086,356,"1",4,4.58,5.78,20.9,1,16.8,1.3,34.8,NA,NA,"C","C32","U120",1.455,0.04,c(9.758428202, 50.88520267)
43043486,9,"1",5.1,5.8,4.89,9.9,NA,69.1,0.9,62.7,5.4,4.3,"B","B16","U111",1.532,0.16,c(9.737804833, 54.47996571)
43062380,1032,"1",4.4,5.14,8,38.3,NA,NA,3,158.5,NA,NA,"C","C10","U120",0.7685,0.16,c(9.81166543, 44.53073047)
43083104,348,"1",4.6,4.91,33,81.4,NA,22.6,7.5,122.3,NA,NA,"C","C10","U120",0.584,0.11,c(9.814623724, 51.04711144)
43083270,41,"1",4.4,4.98,21,15.9,NA,47.7,1.8,135,NA,NA,"B","B11","U111",1.4965,0.04,c(9.808404767, 52.53906787)
43083598,32,"1",6,6.56,20.1,18.4,NA,85,2,305.3,0.8,2.9,"B","B16","U111",1.5735,0.05,c(9.794468908, 55.48655689)
43083770,-1,"1",4.8,5.65,7.61,18.9,NA,27,1.8,116.6,NA,NA,"B","B13","U111",1.5775,0.06,c(9.786126319, 57.03248123)
43122426,112,"1",7.1,7.71,14.17,11.9,4,NA,1.6,176.7,NA,NA,"B","B11","U111",1.0925,0.04,c(9.886163262, 44.94555634)
43122714,569,"1",6.4,6.64,36.8,35.8,3,12.8,4.3,122.2,NA,NA,"E","E20","U111",0.926,0.27,c(9.880537765, 47.53954963)
43123092,263,"1",4.8,5.56,6.61,25.8,NA,13,2.8,199.7,NA,NA,"E","E20","U111",1.2145,0.04,c(9.871960406, 50.93931968)
43123120,429,"1",3.1,3.59,11.81,78.5,NA,28.3,3.4,64.1,NA,NA,"C","C21","U120",0.682,0.12,c(9.87126248, 51.19100966)
43123686,75,"1",5.2,5.97,10.99,18.7,NA,24.5,1.7,196.5,NA,NA,"E","E10","U111",1.3695,0.1,c(9.85482253, 56.27752964)
43143096,385,"1",3.7,4.26,8.32,36.4,NA,51.6,1.7,80,NA,NA,"C","C32","U120",0.9655,0.21,c(9.900336512, 50.97530426)
43162914,471,"1",4.7,5.25,15.62,29.1,NA,47,3.3,172.4,NA,NA,"B","B11","U111",1.289,0.19,c(9.931214671, 49.33893917)
43163458,31,"1",5.9,6.52,8.52,6.9,NA,69.7,0.8,116.4,NA,NA,"B","B16","U111",1.515,0.18,c(9.923349374, 54.22860846)
43163818,-3,"1",5.4,5.87,21.2,15.4,NA,35.5,1.7,164.4,1.1,5.1,"B","B15","U111",1.648,0.13,c(9.916788887, 57.46414308)
43182496,214,"1",5.2,5.89,8.73,15.7,NA,45.5,1.9,113.1,NA,NA,"B","B82","U111",1.35,0.11,c(9.961619853, 45.57647566)
43182820,601,"1",4.6,5.11,18.75,15,NA,34.7,1.9,112.6,NA,NA,"B","B53","U111",1.283,0.04,c(9.959426918, 48.49343209)
43183752,54,"1",5.6,6.17,15.74,30,NA,25.4,3,86,NA,NA,"B","B11","U111",1.3195,0.09,c(9.950854592, 56.87084073)
43202452,90,"1",6.4,6.84,31.81,20.1,NA,120.9,2.6,362,NA,NA,"B","B16","U111",1.029,0.11,c(9.987298167, 45.17996972)
43202710,1100,"1",3.2,4.08,8.97,47.5,NA,16.3,3.6,87.2,NA,NA,"C","C31","U120",0.7875,0.14,c(9.98673564, 47.50361239)
43202746,657,"1",5.7,6.12,13.95,38.4,NA,33.6,4.1,213.6,NA,NA,"E","E20","U111",0.931,0.04,c(9.986651958, 47.82760571)
43203016,379,"1",6.6,6.95,14.61,20.1,1,32,2,281.8,NA,NA,"A","A30","U319",1.234,0.11,c(9.985978687, 50.25615159)
43203586,60,"1",5.7,6.2,16.72,10.4,NA,51.2,1.2,163.2,NA,NA,"B","B55","U111",1.488,0.04,c(9.984232435, 55.37888094)
43223216,186,"1",3.9,4.47,9.24,46.6,NA,32.1,2.9,118,NA,NA,"C","C10","U120",0.9585,0.12,c(10.01457821, 52.05392305)
43223266,45,"1",3.5,4,5.14,18,NA,15.6,0.9,20.1,NA,NA,"C","C22","U120",1.3855,0.08,c(10.01472613, 52.5032738)
43223702,54,"2",6.4,6.84,22.7,12.8,1,60,1.5,141.1,NA,NA,"B","B13","U111",1.366,0.16,c(10.01619085, 56.42141926)
43223738,45,"1",3.6,4.4,31,61.1,1,72.9,4,137,NA,NA,"C","C10","U120",0.7735,0.02,c(10.0163278, 56.74500428)
43262402,375,"2",7.2,7.54,30.64,20.9,285,115,2.8,1315.8,NA,NA,"B","B11","U111",0.8065,0.1,c(10.06299926, 44.72924009)
43262410,251,"1",5.3,5.76,7.56,31.2,NA,27.1,3,138.5,1.3,2.3,"E","E20","U111",1.0385,0.09,c(10.06308012, 44.80136341)
43262834,581,"1",6.7,7.08,14.12,16.4,1,35.7,1.8,208.2,NA,NA,"E","E20","U111",0.894,0.11,c(10.06779193, 48.61936548)
43263126,519,"1",6.1,6.3,17.77,57.7,3,20.5,4.4,302.3,NA,NA,"C","C10","U120",0.9055,0.1,c(10.07160466, 51.24499074)
43283052,700,"1",5.7,5.98,32.8,61.7,NA,35.4,6.2,196.7,NA,NA,"E","E20","U111",0.766,0.17,c(10.09882346, 50.57976424)
43283592,78,"1",5.8,6.33,18.92,13.2,NA,50.1,1.4,211.3,1.1,3.7,"B","B32","U111",1.427,0.07,c(10.11052159, 55.43275432)
43303764,1,"1",4.5,4.93,22.7,14.7,NA,55.2,1.5,120.8,NA,NA,"B","B13","U111",1.2175,0.03,c(10.14785572, 56.97863627)
43303776,37,"1",3.4,4.09,14,64.6,1,71.4,4.4,80.9,NA,NA,"C","C10","U120",0.753,0.05,c(10.14827823, 57.08650851)
43342562,1561,"1",3.9,4.5,10.92,104.8,NA,29.8,5.8,116.6,NA,NA,"C","C21","U420",0.5715,0.07,c(10.16814159, 46.17092951)
43343760,11,"1",5.3,5.84,20.7,39.2,NA,71.5,2.6,127.9,NA,NA,"B","B84","U111",0.995,0.07,c(10.21336653, 56.94258891)
43343818,27,"1",4.8,5.36,13.96,8.9,NA,53.4,1,96.5,0.8,1.1,"B","B15","U111",1.3565,0,c(10.21634835, 57.46399253)
43362402,209,"1",5.8,6.58,11.96,9.3,1,NA,1.2,96.2,NA,NA,"B","B13","U111",1.0355,0.27,c(10.18899747, 44.72908814)
43362694,1141,"1",5.7,6.21,14.25,54.3,NA,NA,4.7,114.3,NA,NA,"C","C21","U120",0.6625,0.32,c(10.19841354, 47.35941868)
43363356,12,"1",5.7,6.06,19.71,75.7,NA,26.8,6.3,63,NA,NA,"E","E20","U111",1.0575,0.04,c(10.22502792, 53.31184447)
43382354,1200,"1",4,4.63,8.5,64,NA,15.4,3.8,46.2,NA,NA,"C","C10","U120",0.5975,0.02,c(10.21256675, 44.29622267)
43382422,74,"1",7.4,8.08,15.21,19.5,106,NA,1.7,181.4,NA,NA,"B","B52","U111",1.106,0.2,c(10.21488607, 44.9093402)
43402550,1367,"1",4.6,5.17,11.46,55.1,1,20.3,5.9,60.4,NA,NA,"E","E20","U111",0.863,0.32,c(10.24525359, 46.06269076)
43403168,191,"1",6.6,6.94,19.78,40.5,1,30.6,3.6,51,NA,NA,"E","E20","U111",1.309,0.1,c(10.27435101, 51.62219834)
43403554,32,"1",5.7,6.15,10.19,13.7,NA,15.2,1.5,81.5,1.1,3.3,"B","B13","U111",1.586,0.09,c(10.29745107, 55.09095824)
43403558,80,"1",5.3,6.01,7.28,9.5,NA,14.6,1,87.2,NA,NA,"B","B32","U111",1.4085,0.07,c(10.29771545, 55.1269039)
43423280,61,"1",3.3,3.81,10.59,45.9,NA,26.2,2.6,76.3,NA,NA,"C","C33","U120",0.9145,0.07,c(10.31013078, 52.62868622)
43443572,53,"1",7.3,8.03,16.85,7.3,34,15.2,0.9,75.2,NA,NA,"B","B13","U111",1.3625,0.08,c(10.36151704, 55.25255005)
43502416,70,"1",7.3,8.09,17.15,16.8,160,NA,2.2,340.9,0.2,1.2,"B","B52","U111",1.3635,0.05,c(10.36621503, 44.85483194)
43503136,477,"1",6.6,6.83,11.42,17.4,NA,11.1,1.9,134.5,NA,NA,"B","B13","U111",1.6305,0.08,c(10.41611594, 51.33415553)
43542718,1031,"1",4.8,5.58,11.68,38.8,NA,17.7,4.2,67.1,NA,NA,"E","E20","U111",0.966,0.11,c(10.43832919, 47.57473671)
43543126,248,"1",7,7.38,16.1,17,2,56.2,1.8,174.1,NA,NA,"B","B11","U111",1.289,0.04,c(10.47258486, 51.24405372)
43543590,15,"1",7.1,7.64,19.23,16.9,6,10.1,2.1,76.2,NA,NA,"B","B13","U111",1.319,0.04,c(10.52078813, 55.4137572)
43562354,1149,"1",5.3,6.04,5.8,25.1,NA,NA,2.4,145.8,NA,NA,"C","C10","U120",0.9735,0.03,c(10.43763419, 44.29551783)
43562476,135,"1",7,7.44,17.34,33.7,7,12.5,3.4,107.7,NA,NA,"E","E20","U111",1.098,0.46,c(10.44629988, 45.39531906)
43582384,571,"1",7.1,7.73,22.42,23.5,145,31.6,2.8,669.3,NA,NA,"B","B52","U111",1.1275,0.17,c(10.46485051, 44.56593137)
43583564,120,"1",5.5,6.12,19.11,25,NA,62.1,2.4,162.4,NA,NA,"B","B51","U111",1.0635,0.01,c(10.58052722, 55.1798371)
43602380,763,"1",7.1,7.56,17.18,24.1,46,NA,2.7,185.3,NA,NA,"E","E20","U111",1.1195,0.06,c(10.48966479, 44.52974986)
43622348,1298,"1",4.4,5.54,6.27,35.2,NA,10.1,2.5,195.7,NA,NA,"C","C10","U120",0.8465,0.03,c(10.51216942, 44.24106382)
43622366,453,"1",6.2,6.75,13.57,23.4,NA,NA,2.5,185.3,NA,NA,"E","E20","U111",1.0165,0.15,c(10.51363085, 44.40338918)
43622524,498,"2",4.2,4.7,41.7,100.3,NA,15.3,4.1,127.6,NA,NA,"C","C10","U120",0.8045,0.53,c(10.52694676, 45.82744853)
43622816,479,"1",6,6.33,31.7,30,NA,16.1,3.4,75.2,NA,NA,"E","E20","U111",1.1275,0.09,c(10.55409257, 48.45606867)
43623598,14,"1",5.8,6.36,7.74,19.1,NA,34.6,2,183.4,NA,NA,"E","E30","U420",1.1665,0.02,c(10.6481984, 55.48506575)
43623698,-2,"1",5.7,6.26,9.95,13.9,NA,41.7,1.4,79.3,NA,NA,"B","B13","U111",1.67,0.09,c(10.66318953, 56.38376611)
43662364,770,"1",7.1,7.84,16.25,20.8,212,NA,2.2,212.3,NA,NA,"B","B11","U111",1.028,0.15,c(10.56356081, 44.38509448)
43662400,89,"1",7.3,7.92,20.24,15.1,46,18.1,1.9,312.7,NA,NA,"B","B52","U111",1.393,0.09,c(10.56680259, 44.70968979)
43663254,81,"1",6.7,7.02,16.63,9.7,NA,56,1.1,245.4,0.7,2.3,"B","B11","U111",1.506,0.04,c(10.66104641, 52.39359669)
43663296,71,"1",4.8,5.41,7.29,16.7,NA,17.1,1,73.6,NA,NA,"C","C10","U120",1.1195,0.06,c(10.66673287, 52.77101949)
43663318,50,"1",3.6,4.14,8.16,34.3,NA,30.5,2.3,67,NA,NA,"C","C10","U120",0.914,0.04,c(10.66975963, 52.96871151)
43682430,57,"1",7.1,7.84,13.86,16.2,4,14.4,2.1,313.8,NA,NA,"B","B33","U111",1.1565,0.19,c(10.59485393, 44.97998781)
43682854,377,"1",6.4,6.6,21.3,47.5,4,41.2,4.6,334.1,NA,NA,"E","E20","U111",1.056,0.12,c(10.6395324, 48.79746434)
43722430,62,"1",7.4,8.25,23.16,7.9,135,NA,1,126.9,1.8,0.7,"B","B16","U111",1.1755,0.04,c(10.64547772, 44.97968844)
43742350,1090,"1",6.6,7,34.2,95.6,53,12.6,5.7,281.8,NA,NA,"C","C10","U120",0.478,0.03,c(10.66227597, 44.25825215)
43742362,707,"1",6.8,7.27,19.06,37.4,19,NA,3.8,293.8,NA,NA,"E","E20","U111",0.947,0.17,c(10.66353483, 44.36646791)
43782552,1116,"1",4.3,4.97,9.37,42.5,NA,12.9,2.6,70,NA,NA,"C","C21","U120",0.7545,0.12,c(10.7359874, 46.07844879)
43782612,898,"1",6.3,6.55,53.34,36.9,1,31.2,4.4,270.3,NA,NA,"E","E20","U111",0.835,0.09,c(10.74344133, 46.61878932)
43802266,127,"1",7.2,7.99,18.18,7.8,132,NA,1.1,211,NA,NA,"E","E20","U111",1.434,0.06,c(10.72763067, 43.49999276)
43802352,669,"1",6.9,7.16,19.84,41.7,5,10.6,3.8,291.8,NA,NA,"E","E20","U111",1.014,0.34,c(10.73747976, 44.27578288)
43802474,167,"1",6.9,7.49,18.93,29.1,90,258,2.6,429.9,NA,NA,"B","B54","U111",1.099,0.02,c(10.75207423, 45.37555908)
43802576,1333,"1",4.3,4.63,40.7,59,NA,25,4.5,267,NA,NA,"C","C21","U120",0.7075,0.03,c(10.76487203, 46.29442355)
43802684,781,"1",7,7.13,73.5,143.5,83,27.2,12.1,109.5,NA,NA,"E","E20","U111",0.7165,0.15,c(10.7790551, 47.26679362)
43802766,578,"1",6.6,6.87,29.2,98,2,28.7,10.1,83.9,NA,NA,"E","E20","U111",0.661,0.07,c(10.79028519, 48.00474266)
43803090,273,"1",7.1,7.32,21.7,53.6,18,48.1,5,893.2,NA,NA,"E","E20","U111",1.217,0.21,c(10.83901336, 50.91837108)
43822404,73,"1",7.1,7.8,21.66,23.1,108,62.3,2.6,399.1,1,2.5,"B","B82","U111",1.22,0.04,c(10.76881421, 44.7444623)
43822458,76,"1",6.8,7.26,26.35,42.1,93,82.1,4.6,416.6,NA,NA,"E","E20","U111",1.0965,0.15,c(10.77554315, 45.23118983)
43822800,498,"1",6.2,6.75,11.25,29.6,NA,52,3.1,355.2,1.7,7.5,"B","B13","U111",1.295,0.2,c(10.82201339, 48.31044871)
43842966,298,"1",6.4,6.76,15.02,9.6,NA,16.6,1.1,125.5,NA,NA,"B","B22","U111",1.417,0.06,c(10.87504555, 49.80320762)
43843470,18,"1",6.9,7.43,17.6,34.4,56,56.7,3.2,209.3,0.6,4.9,"A","A30","U319",1.453,0.05,c(10.9682488, 54.3326751)
43862296,65,"1",7.3,7.96,19.36,14.3,80,10.8,1.8,134,NA,NA,"B","B55","U111",1.282,0.03,c(10.80536367, 43.77011622)
43862872,515,"2",6.2,6.67,17.51,17.7,NA,59.4,1.8,347.6,NA,NA,"B","B16","U111",1.3175,0.12,c(10.88733194, 48.95768734)
43863456,21,"1",6.7,6.93,19.5,13.7,NA,47,1.6,199.4,NA,NA,"B","B32","U111",1.6535,0.07,c(10.99596982, 54.20663961)
43882828,374,"1",7.2,7.52,27.5,54.7,62,51.8,4.8,169.8,1.3,5.7,"B","B13","U111",1.269,0.09,c(10.90739236, 48.56170253)
43902582,1045,"2",4.7,5.46,13.03,22.7,NA,NA,1.6,155.6,NA,NA,"C","C21","U120",1.049,0.1,c(10.8954023, 46.347452)
43922404,68,"1",7,8.26,19.49,13.3,87,NA,1.7,265.3,NA,NA,"B","B16","U111",1.353,0.15,c(10.89483975, 44.74345914)
43922494,510,"2",7.3,7.81,25.97,23.2,108,35.7,2.8,301.3,NA,NA,"B","B82","U111",0.719,0.03,c(10.90799329, 45.55456517)
43942340,557,"1",6.9,7.14,19.81,38.4,37,NA,3.2,224.4,NA,NA,"C","C10","U120",0.9145,0.26,c(10.91073507, 44.16617295)
43942996,359,"3",5.7,6.01,13.1,57.6,1,NA,5.4,364.2,NA,NA,"E","E20","U111",1.0015,0.47,c(11.01964097, 50.07177141)
43943536,18,"1",7.3,7.98,18.11,13.6,9,23.8,1.6,70,0.8,1,"B","B13","U111",1.404,0.12,c(11.13821025, 54.92438155)
43962488,338,"1",7.3,7.99,18.62,13.1,93,NA,1.7,250.4,NA,NA,"B","B82","U111",0.993,0,c(10.95820016, 45.50005436)
43962526,633,"1",5.5,5.85,21.6,33.6,NA,NA,2.6,79.6,NA,NA,"C","C10","U120",0.902,0.35,c(10.96421322, 45.84239887)
43962530,1308,"1",7,7.16,38.4,59.7,200,NA,4.9,151.5,NA,NA,"C","C10","U120",0.5905,0.09,c(10.9648519, 45.87843078)
43962560,1089,"3",7,7.15,73.1,98.8,188,14.9,7.7,186.4,NA,NA,"C","C21","U120",0.6495,0.06,c(10.96967729, 46.14864441)
43962614,743,"1",6.4,6.79,36.09,72.6,2,56.5,7.9,268.4,NA,NA,"B","B71","U111",0.7165,0.15,c(10.97852271, 46.63491829)
43982388,83,"1",7.4,8.1,16.2,14.4,128,NA,1.8,214.9,NA,NA,"B","B13","U111",1.317,0.21,c(10.96797345, 44.59854166)
43982406,65,"1",7.4,8.24,16.18,14.6,107,NA,1.6,353.3,NA,NA,"B","B33","U111",1.213,0.06,c(10.97076414, 44.76081357)
43982428,63,"2",7.2,7.85,20.97,20.9,128,32.4,2.6,606.3,NA,NA,"B","B22","U111",1.232,0.07,c(10.97420386, 44.95912044)
43983288,43,"1",3.3,3.85,8.52,33.8,NA,17.3,1.4,30.3,NA,NA,"C","C22","U120",1.0975,0.06,c(11.13892778, 52.69556264)
44002614,1116,"1",4.4,4.92,15.35,18.1,1,17.8,1.5,48.6,NA,NA,"E","E20","U111",0.9545,0.1,c(11.03070488, 46.63443103)
44022576,637,"1",7.3,7.53,28.47,15.5,10,NA,1.6,97.1,NA,NA,"B","B71","U111",1.04,0.31,c(11.05004999, 46.29200522)
44023246,156,"1",3.6,4.17,8.37,30.3,NA,27.2,2.3,74.1,NA,NA,"C","C10","U120",1.2565,0.26,c(11.1878905, 52.31759962)
44023516,9,"3",7.4,8.09,17.67,14.2,8,33.8,1.6,180.9,NA,NA,"B","B13","U111",1.471,0.06,c(11.25737805, 54.74349141)
44042974,411,"1",5.6,6.3,8.99,20.3,NA,62.8,2,145.5,NA,NA,"B","B11","U111",0.983,0.12,c(11.15452498, 49.87265039)
44043276,104,"1",3,3.49,12.43,93.2,NA,31.4,3.7,75,NA,NA,"C","C22","U120",0.571,0.02,c(11.22465385, 52.58686347)
44062500,1140,"1",6.2,6.54,113.4,94.7,6,49.6,10.4,278,NA,NA,"E","E20","U111",0.615,0.16,c(11.08808544, 45.60693326)
44062504,1383,"2",4.7,4.9,37.12,59.3,1,NA,6.2,139,NA,NA,"E","E20","U111",0.647,0.09,c(11.0888012, 45.64296961)
44062508,1500,"3",6,6.07,44.61,60.2,NA,NA,6.3,218.4,NA,NA,"E","E20","U111",0.693,0.61,c(11.08951819, 45.67900513)
