"POINTID","Elev","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","CaCO3_2018","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","LC_0","LC_2018","LU_2018","BDsample_0","coarse_mas","geometry"
28582198,599,"1",4.1,4.95,3.73,26.2,NA,NA,1.6,67.6,NA,NA,"C","C22","U420",0.997,0.29,c(-7.586287699, 41.34070601)
28582414,175,"1",4.3,4.88,6.24,25,NA,NA,1.6,45,NA,NA,"C","C32","U120",1.15,0.1,c(-8.160282865, 43.22973941)
28601668,107,"1",7.6,8.14,20.1,7.4,135,22.9,0.9,358.8,1,0.6,"B","B34","U111",1.2155,0.08,c(-6.340807857, 36.67438127)
28602222,739,"1",6.4,6.89,21,21,6,17.4,1.3,128.3,NA,NA,"E","E10","U420",1.5665,0.34,c(-7.624298224, 41.55520217)
28602250,1086,"1",4.4,4.51,28.2,62.2,NA,32,3.8,42.2,NA,NA,"E","E30","U112",1.0345,0.24,c(-7.696589842, 41.80044333)
28602334,843,"1",3.7,4.25,8.31,89.5,NA,NA,5.9,56.3,NA,NA,"C","C10","U120",0.9815,0.07,c(-7.918251953, 42.53533642)
28621900,303,"1",7.4,8.08,15.21,11.1,387,15.7,0.9,242.1,NA,NA,"B","B82","U111",1.2075,0.29,c(-6.82374795, 38.72895988)
28622188,613,"1",4.1,4.97,3.72,29.8,NA,NA,1.6,53.1,NA,NA,"C","C22","U120",1.0415,0.31,c(-7.514255471, 41.26139044)
28622242,1182,"1",3.9,4.51,14.12,90.3,NA,28,5.4,58.9,NA,NA,"D","D20","U420",1.296,0.44,c(-7.652383136, 41.73459301)
28642186,635,"2",4.8,5.64,5.26,16.7,NA,13.5,1.5,127.7,0.8,0.8,"B","B82","U111",1.1605,0.32,c(-7.485892281, 41.24801479)
